1	Öko-Töpfer	Öko-Töpfer	N	NN	Masc|_|_	2	obja	_	-
2	lädt	laden	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
3	in	in	PREP	APPR	_	2	pp	_	-
4	Sachen	Sache	N	NN	Fem|_|Pl	3	pn	_	-
5	"	"	$(	$(	_	0	root	_	-
6	Großräumiger	großräumig	ADJA	ADJA	Pos|Masc|Nom|Sg|St|	7	attr	_	(0
7	Naturschutz	Naturschutz	N	NN	Masc|Nom|Sg	2	subj	_	-
8	in	in	PREP	APPR	_	7	pp	_	-
9	Niedersachsen	Niedersachsen	N	NE	Neut|_|Sg	8	pn	_	0)
10	"	"	$(	$(	_	0	root	_	-
11	zu	zu	PREP	APPR	Dat	2	pp	_	-
12	einer	eine	ART	ART	Indef|Fem|Dat|Sg	14	det	_	-
13	"	"	$(	$(	_	0	root	_	-
14	Bereisung	Bereisung	N	NN	Fem|Dat|Sg	11	pn	_	-
15	"	"	$(	$(	_	0	root	_	-
16	ein	ein	PTKVZ	PTKVZ	_	2	avz	_	-
17	.	.	$.	$.	_	0	root	_	-

1	Von	von	PREP	APPR	Dat	3	pp	_	-
2	Köln	Köln	N	NE	Neut|Dat|Sg	1	pn	_	-
3	geht	gehen	V	VVFIN	_|_|Pres|Ind	0	root	_	-
4	'	'	$(	$(	_	0	root	_	-
5	s	s	PRO	PPER	_|_|_|Nom	3	subj	_	(0)
6	laut	laut	PREP	APPR	Dat	3	pp	_	-
7	Programm	Programm	N	NN	Neut|Dat|Sg	6	pn	_	-
8	mit	mit	PREP	APPR	Dat	3	pp	_	-
9	dem	die	ART	ART	Def|_|Dat|Sg	10	det	_	-
10	Zug	Zug	N	NN	_|Dat|Sg	8	pn	_	-
11	nach	nach	PREP	APPR	Dat	3	pp	_	-
12	Hannover	Hannover	N	NE	Neut|Dat|Sg	11	pn	_	-
13	,	,	$,	$,	_	0	root	_	-
14	von	von	PREP	APPR	Dat	11	kon	_	-
15	dort	dort	ADV	ADV	_	21	adv	_	-
16	mit	mit	PREP	APPR	Dat	21	pp	_	-
17	einer	eine	ART	ART	Indef|Fem|Dat|Sg	18	det	_	-
18	Bundeswehrmaschine	Bundeswehrmaschine	N	NN	Fem|Dat|Sg	16	pn	_	-
19	(	(	$(	$(	_	0	root	_	-
20	militärischer	militärisch	ADJA	ADJA	Pos|Masc|Nom|Sg|St|	21	attr	_	-
21	Teil	Teil	N	NN	Masc|Nom|Sg	14	pn	_	-
22	)	)	$(	$(	_	0	root	_	-
23	nach	nach	PREP	APPR	Dat	14	kon	_	-
24	München	München	N	NE	Neut|Dat|Sg	23	pn	_	-
25	,	,	$,	$,	_	0	root	_	-
26	dann	dann	ADV	ADV	_	3	adv	_	-
27	mit	mit	PREP	APPR	Dat	3	pp	_	-
28	dem	die	ART	ART	Def|Masc|Dat|Sg	29	det	_	-
29	Helikopter	Helikopter	N	NN	Masc|Dat|Sg	27	pn	_	-
30	in	in	PREP	APPR	Acc	29	pp	_	-
31	den	die	ART	ART	Def|Masc|Acc|Sg	33	det	_	-
32	Bayrischen	bayrisch	ADJA	ADJA	Pos|Masc|Acc|Sg|_|	33	attr	_	-
33	Wald	Wald	N	NN	Masc|Acc|Sg	30	pn	_	-
34	,	,	$,	$,	_	0	root	_	-
35	hernach	hernach	ADV	ADV	_	36	adv	_	-
36	mit	mit	PREP	APPR	Dat	27	kon	_	-
37	selbigem	selbige	PRO	PDS	_|Dat|Sg	36	pn	_	-
38	zum	zu	PREP	APPRART	Dat	37	pp	_	-
39	Biosphären-Reservat	Biosphären-Reservat	N	NN	Neut|Dat|Sg	38	pn	_	-
40	Rhön	Rhön	N	NE	Neut|Dat|Sg	39	app	_	-
41	.	.	$.	$.	_	0	root	_	-

