1	Ach	ach	ITJ	ITJ	_	0	root	_	-
2	,	,	$,	$,	_	0	root	_	-
3	der	die	ART	ART	Def|Masc|Nom|Sg	4	det	_	(0
4	Klaus	Klaus	N	NE	Masc|Nom|Sg	26	subj	_	-
5	,	,	$,	$,	_	0	root	_	-
6	der	die	PRO	PRELS	Masc|Nom|Sg	10	subj	_	(0)
7	immer	immer	ADV	ADV	_	8	adv	_	-
8	so	so	ADV	ADV	_	9	adv	_	-
9	traurig	traurig	ADV	ADJD	Pos|	10	adv	_	-
10	guckt	gucken	V	VVFIN	3|Sg|Pres|Ind	4	rel	_	-
11	und	und	KON	KON	_	10	kon	_	-
12	dankenswerterweise	dankenswerterweise	ADV	ADV	_	15	adv	_	-
13	keine	keine	ART	PIAT	Fem|Nom|Sg	14	det	_	-
14	Gelegnheit	Gelegnheit	N	NN	Fem|Nom|Sg	15	subj	_	-
15	ausläßt	auslassen	V	VVFIN	3|Sg|Pres|Ind	11	cj	_	-
16	,	,	$,	$,	_	0	root	_	-
17	als	als	KOKOM	KOKOM	_	23	kom	_	-
18	"	"	$(	$(	_	0	root	_	-
19	der	die	ART	ART	Def|Masc|Nom|Sg	20	det	_	-
20	Monitor-Bednarz	Monitor-Bednarz	N	NN	_|_|_	17	cj	_	-
21	"	"	$(	$(	_	0	root	_	-
22	dumme	dumm	ADJA	ADJA	Pos|Fem|Nom|Pl|St|	23	attr	_	-
23	PolitikerInnen	PolitikerIn	N	NN	Fem|Nom|Pl	4	app	_	-
24	bloßzustellen	bloßzustellen	N	NE	Fem|Nom|Pl	23	app	_	0)
25	,	,	$,	$,	_	0	root	_	-
26	schreibt	schreiben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
27	immer	immer	ADV	ADV	_	28	adv	_	-
28	wieder	wieder	ADV	ADV	_	26	adv	_	-
29	mal	mal	ADV	ADV	_	26	adv	_	-
30	traurige	traurig	ADJA	ADJA	Pos|_|_|_|_|	31	attr	_	-
31	Bücher	Buch	N	NN	_|_|_	26	obja	_	-
32	über	über	PREP	APPR	_	31	pp	_	-
33	Osteuropa	Osteuropa	N	NE	_|_|_	32	pn	_	-
34	,	,	$,	$,	_	0	root	_	-
35	weil	weil	KOUS	KOUS	_	40	konj	_	-
36	da	da	ADV	ADV	_	40	adv	_	-
37	alles	alle	PRO	PIS	Neut|Nom|Sg	40	subj	_	-
38	den	die	ART	ART	Def|Masc|Acc|Sg	39	det	_	-
39	Bach	Bach	N	NN	Masc|Acc|Sg	40	obja	_	-
40	runtergeht	runtergehen	V	VVFIN	3|Sg|Pres|Ind	26	neb	_	-
41	und	und	KON	KON	_	40	kon	_	-
42	trotzdem	trotzdem	PROAV	PROAV	_	45	pp	_	-
43	so	so	ADV	ADV	_	44	adv	_	-
44	mystisch	mystisch	ADV	ADJD	Pos|	45	pred	_	-
45	ist	sein	V	VAFIN	3|Sg|Pres|Ind	41	cj	_	-
46	.	.	$.	$.	_	0	root	_	-

1	Im	in	PREP	APPRART	Dat	4	pp	_	-
2	Bremer	Bremer	ADJA	ADJA	_|Masc|Dat|Sg|_	3	attr	_	-
3	Ratskeller	Ratskeller	N	NN	Masc|Dat|Sg	1	pn	_	-
4	liest	lesen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
5	Bednarz	Bednarz	N	NN	_|Nom|Sg	4	subj	_	(1)
6	am	an	PREP	APPRART	Dat	4	pp	_	-
7	2.	2.	ADJA	ADJA	_|Masc|Dat|Sg|_|	8	attr	_	-
8	Mai	Mai	N	NN	Masc|Dat|Sg	6	pn	_	-
9	um	um	PREP	APPR	_	4	pp	_	-
10	20	20	CARD	CARD	_	11	attr	_	-
11	Uhr	Uhr	N	NN	Fem|_|Sg	9	pn	_	-
12	aus	aus	PREP	APPR	Dat	4	pp	_	-
13	seinem	seine	ART	PPOSAT	Neut|Dat|Sg	15	det	_	(1)
14	neuesten	neu	ADJA	ADJA	Sup|_|Dat|Sg|Wk|	15	attr	_	-
15	Buch	Buch	N	NN	_|Dat|Sg	12	pn	_	-
16	"	"	$(	$(	_	0	root	_	-
17	Ballade	Ballade	N	NN	_|Dat|Sg	15	app	_	-
18	zum	zu	PREP	APPRART	Dat	17	pp	_	-
19	Baikalsee	Baikalsee	N	NN	Neut|Dat|Sg	18	pn	_	(2
20	"	"	$(	$(	_	0	root	_	-
21	,	,	$,	$,	_	0	root	_	-
22	das	die	PRO	PRELS	Neut|_|Sg	28	obja	_	(2)
23	mancher	manche	PRO	PIS	Masc|Nom|Sg	28	subj	_	-
24	schon	schon	ADV	ADV	_	28	adv	_	-
25	aus	aus	PREP	APPR	Dat	28	pp	_	-
26	dem	die	ART	ART	Def|_|Dat|Sg	27	det	_	-
27	TV	TV	N	NN	_|Dat|Sg	25	pn	_	-
28	kennt	kennen	V	VVFIN	3|Sg|Pres|Ind	19	rel	_	2)
29	.	.	$.	$.	_	0	root	_	-

