1	Ob	ob	KOUS	KOUS	_	0	root	_	-
2	Lewinsky-Affaire	Lewinsky-Affaire	N	NN	Fem|_|Sg	0	root	_	-
3	,	,	$,	$,	_	0	root	_	-
4	deutsches	deutsch	ADJA	ADJA	Pos|Neut|_|Sg|St|	5	attr	_	-
5	Beamtentum	Beamtentum	N	NN	Neut|_|Sg	2	kon	_	-
6	oder	oder	KON	KON	_	5	kon	_	-
7	doppelte	doppelt	ADJA	ADJA	Pos|_|_|Sg|_|	8	attr	_	-
8	Staatsbürgerschaft	Staatsbürgerschaft	N	NN	_|_|Sg	6	cj	_	-
9	-	-	$(	$(	_	0	root	_	-
10	der	die	ART	ART	Def|Masc|Nom|Sg	11	det	_	(0
11	Polit-Kabarettist	Polit-Kabarettist	N	NN	Masc|Nom|Sg	14	subj	_	-
12	Jürgen	Jürgen	N	NE	_|Nom|Sg	11	app	_	-
13	Timm	Timm	N	NE	_|Nom|Sg	12	app	_	0)
14	seziert	sezieren	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
15	mit	mit	PREP	APPR	Dat	14	pp	_	-
16	scharfen	scharf	ADJA	ADJA	Pos|_|Dat|_|_|	17	attr	_	-
17	Zwischentönen	Zwischenton	N	NN	_|Dat|_	15	pn	_	-
18	.	.	$.	$.	_	0	root	_	-

1	Er	er	PRO	PPER	3|Sg|Masc|Nom	2	subj	_	(0)
2	sprüht	sprühen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
3	vor	vor	PREP	APPR	Dat	2	pp	_	-
4	Anspielungen	Anspielung	N	NN	Fem|Dat|Pl	3	pn	_	-
5	,	,	$,	$,	_	0	root	_	-
6	Situationskomik	Situationskomik	N	NN	Fem|Dat|Sg	4	kon	_	-
7	und	und	KON	KON	_	6	kon	_	-
8	gemeinem	gemein	ADJA	ADJA	Pos|Masc|Dat|Sg|St|	9	attr	_	-
9	Humor	Humor	N	NN	Masc|Dat|Sg	7	cj	_	-
10	.	.	$.	$.	_	0	root	_	-

1	In	in	PREP	APPR	Acc	4	pp	_	-
2	Lebende	lebend	ADJA	ADJA	Pos|Masc|Acc|Pl|St|<PPRES	3	attr	_	(1
3	Beweise	Beweis	N	NN	Masc|Acc|Pl	1	pn	_	1)
4	kriegen	kriegen	V	VVFIN	_|Pl|Pres|_	0	root	_	-
5	alle	alle	ART	PIDAT	_|_|_	7	det	_	-
6	ihr	ihre	ART	PPOSAT	Neut|_|Sg	7	det	_	(1)
7	Fett	Fett	N	NN	Neut|_|Sg	4	obja	_	-
8	weg	weg	PTKVZ	PTKVZ	_	4	avz	_	-
9	.	.	$.	$.	_	0	root	_	-

1	Aktuelle	aktuell	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	2	attr	_	-
2	Zielscheibe	Zielscheibe	N	NN	Fem|Nom|Sg	3	subj	_	-
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
4	der	die	ART	ART	Def|Masc|Nom|Sg	5	det	_	-
5	Krieg	Krieg	N	NN	Masc|Nom|Sg	3	pred	_	-
6	im	in	PREP	APPRART	Dat	5	pp	_	-
7	Kosovo	Kosovo	N	NE	_|Dat|Sg	6	pn	_	-
8	und	und	KON	KON	_	5	kon	_	-
9	die	die	ART	ART	Def|Fem|Nom|Sg	10	det	_	-
10	Verrücktheit	Verrücktheit	N	NN	Fem|Nom|Sg	8	cj	_	-
11	weltpolitischer	weltpolitisch	ADJA	ADJA	Pos|Fem|Gen|Pl|St|	12	attr	_	-
12	Entscheidungen	Entscheidung	N	NN	Fem|Gen|Pl	10	gmod	_	-
13	.	.	$.	$.	_	0	root	_	-

1	Der	die	ART	ART	Def|Masc|Nom|Sg	3	det	_	-
2	weinerliche	weinerlich	ADJA	ADJA	Pos|Masc|Nom|Sg|Wk|	3	attr	_	-
3	Tonfall	Tonfall	N	NN	Masc|Nom|Sg	4	subj	_	-
4	tarnt	tarnen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
5	dabei	dabei	PROAV	PROAV	_	4	pp	_	-
6	die	die	ART	ART	Def|Masc|_|Pl	8	det	_	-
7	bösen	bös	ADJA	ADJA	Pos|Masc|_|Pl|Wk|	8	attr	_	-
8	Texte	Text	N	NN	Masc|_|Pl	4	obja	_	-
9	,	,	$,	$,	_	0	root	_	-
10	temporeiche	temporeich	ADJA	ADJA	Pos|Fem|_|Pl|St|	11	attr	_	-
11	Gesangseinlagen	Gesangseinlage	N	NN	Fem|_|Pl	0	root	_	-
12	lockern	lockern	N	NE	Fem|_|Pl	11	app	_	-
13	auf	auf	PTKVZ	PTKVZ	_	0	root	_	-
14	.	.	$.	$.	_	0	root	_	-

