1	Drei	drei	CARD	CARD	_	12	subj	_	-
2	der	die	ART	ART	Def|Masc|Gen|Pl	7	det	_	-
3	am	an	PREP	APPRART	Dat	6	pp	_	-
4	elftägigen	elftägig	ADJA	ADJA	Pos|Masc|Dat|Sg|Wk|	5	attr	_	-
5	Hungerstreik	Hungerstreik	N	NN	Masc|Dat|Sg	3	pn	_	-
6	beteiligten	beteiligt	ADJA	ADJA	Pos|Masc|Gen|Pl|Wk|	7	attr	_	-
7	Kurden	Kurde	N	NN	Masc|Gen|Pl	1	gmod	_	-
8	im	in	PREP	APPRART	Dat	7	pp	_	-
9	Abschiebegefängnis	Abschiebegefängnis	N	NN	_|Dat|_	8	pn	_	-
10	in	in	PREP	APPR	_	9	pp	_	-
11	Glasmoor	Glasmoor	N	NN	Neut|_|Sg	10	pn	_	-
12	sollen	sollen	V	VMFIN	3|Pl|Pres|_	0	root	_	-
13	heute	heute	ADV	ADV	_	17	adv	_	-
14	in	in	PREP	APPR	Acc	17	pp	_	-
15	die	die	ART	ART	Def|Fem|Acc|Sg	16	det	_	-
16	Türkei	Türkei	N	NE	Fem|Acc|Sg	14	pn	_	-
17	abgeschoben	abschieben	V	VVPP	_	18	aux	_	-
18	werden	werden	V	VAINF	_	12	aux	_	-
19	.	.	$.	$.	_	0	root	_	-

1	Nur	nur	ADV	ADV	_	2	adv	_	-
2	im	in	PREP	APPRART	Dat	6	pp	_	-
3	Fall	Fall	N	NN	Masc|Dat|Sg	2	pn	_	-
4	Mehmed	Mehmed	N	NE	Masc|Dat|Sg	3	app	_	-
5	D.	D.	N	NE	Masc|Dat|Sg	4	app	_	-
6	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
7	noch	noch	ADV	ADV	_	12	adv	_	-
8	die	die	ART	ART	Def|Fem|Nom|Sg	9	det	_	-
9	Entscheidung	Entscheidung	N	NN	Fem|Nom|Sg	6	subj	_	-
10	des	die	ART	ART	Def|Neut|Gen|Sg	11	det	_	-
11	Verwaltungsgerichts	Verwaltungsgericht	N	NN	Neut|Gen|Sg	9	gmod	_	-
12	abgewartet	abwarten	V	VVPP	_	6	aux	_	-
13	.	.	$.	$.	_	0	root	_	-

1	Damit	Damit	PROAV	PROAV	_	2	pp	_	-
2	setzen	setzen	V	VVFIN	3|Pl|Pres|_	0	root	_	-
3	die	die	ART	ART	Def|Fem|Nom|Pl	5	det	_	-
4	Hamburger	Hamburger	ADJA	ADJA	Pos|Fem|Nom|Pl|_|	5	attr	_	-
5	Behörden	Behörde	N	NN	Fem|Nom|Pl	2	subj	_	-
6	das	die	ART	ART	Def|Neut|_|Sg	8	det	_	-
7	massive	massiv	ADJA	ADJA	Pos|Neut|_|Sg|Wk|	8	attr	_	-
8	Vorgehen	Vorgehen	N	NN	Neut|_|Sg	2	obja	_	-
9	gegen	gegen	PREP	APPR	Acc	8	pp	_	-
10	Kurden	Kurde	N	NN	Masc|Acc|_	9	pn	_	-
11	fort	fort	PTKVZ	PTKVZ	_	2	avz	_	-
12	.	.	$.	$.	_	0	root	_	-

