1	Um	Um	KOUI	KOUI	_	12	konj	_	-
2	die	die	ART	ART	Def|Fem|_|Sg	4	det	_	-
3	"	"	$(	$(	_	0	root	_	-
4	Mauer	Mauer	N	NN	Fem|_|Sg	12	obja	_	-
5	des	die	ART	ART	Def|Neut|Gen|Sg	6	det	_	-
6	Schweigens	Schweigen	N	NN	Neut|Gen|Sg	4	gmod	_	-
7	"	"	$(	$(	_	0	root	_	-
8	bei	bei	PREP	APPR	Dat	12	pp	_	-
9	der	die	ART	ART	Def|Fem|Dat|Sg	10	det	_	(2
10	Polizei	Polizei	N	NN	Fem|Dat|Sg	8	pn	_	2)
11	zu	zu	PTKZU	PTKZU	_	12	part	_	-
12	durchbrechen	durchbrechen	V	VVINF	_	14	neb	_	-
13	,	,	$,	$,	_	0	root	_	-
14	griff	greifen	V	VVFIN	_|Sg|Past|Ind	0	root	_	-
15	die	die	ART	ART	Def|_|_|_	0	root	_	-
16	Statt	statt	PREP	APPR	_	0	root	_	-
17	Partei	Partei	N	NN	Fem|_|Sg	16	pn	_	-
18	im	in	PREP	APPRART	Dat	17	pp	_	-
19	Mai	Mai	N	NN	Masc|Dat|Sg	18	pn	_	-
20	eine	eine	ART	ART	Indef|Fem|_|Sg	0	root	_	-
21	von	von	PREP	APPR	_	0	root	_	-
22	der	die	ART	ART	Def|_|_|_	23	det	_	-
23	GAL	GAL	N	NN	_|_|_	21	pn	_	-
24	seit	seit	PREP	APPR	Dat	23	pp	_	-
25	langem	lang	ADJA	ADJA	Pos|_|Dat|Sg|St|	27	attr	_	-
26	gestellte	gestellt	ADJA	ADJA	Pos|Fem|_|Sg|_|	27	attr	_	-
27	Forderung	Forderung	N	NN	Fem|_|Sg	24	pn	_	-
28	auf	auf	PTKVZ	PTKVZ	_	0	root	_	-
29	:	\:	$.	$.	_	0	root	_	-
30	Die	die	ART	ART	Def|Fem|_|Sg	31	det	_	-
31	Schaffung	Schaffung	N	NN	Fem|_|Sg	0	root	_	-
32	eines	eine	ART	ART	Indef|_|Gen|Sg	34	det	_	-
33	unabhängigen	unabhängig	ADJA	ADJA	Pos|_|Gen|Sg|_|	34	attr	_	-
34	Polizeibeauftragten	Polizeibeauftragte	N	NN	_|Gen|Sg	31	gmod	_	-
35	als	als	KOKOM	KOKOM	_	34	kom	_	-
36	Ansprechpartner	Ansprechpartner	N	NN	Masc|_|_	35	cj	_	-
37	für	für	PREP	APPR	Acc	36	pp	_	-
38	BürgerInnen	BürgerIn	N	NN	Fem|Acc|Pl	37	pn	_	-
39	und	und	KON	KON	_	38	kon	_	-
40	Beamte	Beamter	N	NN	Masc|Acc|Pl	39	cj	_	-
41	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|Nom|Sg	2	det	_	-
2	Bürgerschaft	Bürgerschaft	N	NN	Fem|Nom|Sg	3	subj	_	-
3	ließ	lassen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
4	den	die	ART	ART	Def|Masc|Acc|Sg	5	det	_	-
5	Senat	Senat	N	NN	Masc|Acc|Sg	3	obja	_	-
6	deshalb	deshalb	PROAV	PROAV	_	7	pp	_	-
7	prüfen	prüfen	V	VVINF	_	3	obji	_	-
8	,	,	$,	$,	_	0	root	_	-
9	ob	ob	KOUS	KOUS	_	16	konj	_	-
10	die	die	ART	ART	Def|Fem|Nom|Sg	11	det	_	-
11	Einführung	Einführung	N	NN	Fem|Nom|Sg	16	subj	_	-
12	einer	eine	ART	ART	Indef|Fem|Gen|Sg	14	det	_	-
13	neuen	neu	ADJA	ADJA	Pos|Fem|Gen|Sg|Wk|	14	attr	_	-
14	Kontrollinstanz	Kontrollinstanz	N	NN	Fem|Gen|Sg	11	gmod	_	-
15	sinnvoll	sinnvoll	ADV	ADJD	Pos|	16	pred	_	-
16	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
17	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Neut|Nom|Pl	2	det	_	-
2	Ergebnisse	Ergebnis	N	NN	Neut|Nom|Pl	3	subj	_	-
3	liegen	liegen	V	VVFIN	3|Pl|Pres|_	0	root	_	-
4	nun	nun	ADV	ADV	_	3	adv	_	-
5	vor	vor	PTKVZ	PTKVZ	_	3	avz	_	-
6	:	\:	$.	$.	_	0	root	_	-
7	Nach	nach	PREP	APPR	Dat	13	pp	_	-
8	einer	eine	ART	ART	Indef|Fem|Dat|Sg	9	det	_	-
9	Expertenanhörung	Expertenanhörung	N	NN	Fem|Dat|Sg	7	pn	_	-
10	und	und	KON	KON	_	9	kon	_	-
11	behördeninternen	behördenintern	ADJA	ADJA	Pos|Fem|Dat|Pl|_|	12	attr	_	-
12	Beratungen	Beratung	N	NN	Fem|Dat|Pl	10	cj	_	-
13	kam	kommen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
14	die	die	ART	ART	Def|Fem|Nom|Sg	15	det	_	(0
15	Innenbehörde	Innenbehörde	N	NN	Fem|Nom|Sg	13	subj	_	0)
16	zu	zu	PREP	APPR	Dat	13	objp	_	-
17	dem	die	ART	ART	Def|Masc|Dat|Sg	18	det	_	-
18	Schluß	Schluß	N	NN	Masc|Dat|Sg	16	pn	_	-
19	,	,	$,	$,	_	0	root	_	-
20	daß	daß	KOUS	KOUS	_	27	konj	_	-
21	ein	eine	ART	ART	Indef|Masc|Nom|Sg	23	det	_	-
22	unabhängiger	unabhängig	ADJA	ADJA	Pos|Masc|Nom|Sg|St|	23	attr	_	-
