1	Wie	wie	KOUS	_	_	5	KONJ	_	_
2	Veranstaltungskonzepte	Veranstaltungskonzept	NN	_	_	5	SUBJ	_	_
3	professionell	professionell	ADJD	_	_	4	ADV	_	_
4	entwickelt	entwickeln	VVPP	_	_	5	AUX	_	_
5	werden	werden%passiv	VAFIN	_	_	25	OBJC	_	_
6	,	,	$,	_	_	5	-PUNCT-	_	_
7	will	wollen%aux	VMFIN	_	_	0	ROOT	_	_
8	ein	ein	ART	_	_	9	DET	_	(0
9	Seminar	Seminar	NN	_	_	7	SUBJ	_	_
10	des	das	ART	_	_	11	DET	_	(1
11	netzwerks	Netzwerk	NN	_	_	9	GMOD	_	_
12	kulturelle	kulturell	ADJA	_	_	13	ATTR	_	_
13	bildung	Bildung	NN	_	_	11	GMOD	_	0)|1)
14	am	an	APPRART	_	_	25	PP	_	_
15	17.	17.	ADJA	_	_	18	ATTR	_	_
16	und	und	KON	_	_	15	KON	_	_
17	18.	18.	ADJA	_	_	16	CJ	_	_
18	Mai	Mai	NN	_	_	14	PN	_	_
19	jeweils	jeweils	ADV	_	_	20	ADV	_	_
20	von	von	APPR	_	_	25	PP	_	_
21	10	10	CARD	_	_	20	PN	_	_
22	-	-	APPR	_	_	20	KON	_	_
23	17	17	CARD	_	_	24	ATTR	_	_
24	Uhr	Uhr	NN	_	_	22	PN	_	_
25	vermitteln	vermitteln	VVINF	_	_	7	AUX	_	_
26	.	.	$.	_	_	25	-PUNCT-	_	_

1	Die	die	ART	_	_	2	DET	_	(0
2	Fortbildung	Fortbildung	NN	_	_	3	SUBJ	_	0)
3	findet	statt#finden	VVFIN	_	_	0	ROOT	_	_
4	in	in	APPR	_	_	3	PP	_	_
5	der	die	ART	_	_	6	DET	_	_
6	Volkshochschule	Volkshochschule	NN	_	_	4	PN	_	_
7	,	,	$,	_	_	6	-PUNCT-	_	_
8	Schanzenstraße	Schanzenstraße	NN	_	_	6	APP	_	_
9	75	75	CARD	_	_	8	APP	_	_
10	,	,	$,	_	_	9	-PUNCT-	_	_
11	statt	_	PTKVZ	_	_	3	AVZ	_	_
12	und	und	KON	_	_	3	KON	_	_
13	kostet	kosten	VVFIN	_	_	12	CJ	_	_
14	160	160	CARD	_	_	18	ATTR	_	_
15	,	,	$,	_	_	14	-PUNCT-	_	_
16	ermäßigt	ermäßigt	ADJD	_	_	17	ADV	_	_
17	80	80	CARD	_	_	14	KON	_	_
18	Mark	Mark	NN	_	_	13	OBJA	_	_
19	.	.	$.	_	_	18	-PUNCT-	_	_

1	Schriftliche	schriftlich	ADJA	_	_	2	ATTR	_	_
2	Anmeldungen	Anmeldung	NN	_	_	0	ROOT	_	_
3	an	an	APPR	_	_	2	PP	_	_
4	das	das	ART	_	_	5	DET	_	(1
