1	Nicht	nicht	PTKNEG	PTKNEG	_	5	adv	_	-
2	nur	nur	ADV	ADV	_	3	adv	_	-
3	unter	unter	PREP	APPR	_	5	pp	_	-
4	Wohnungsmangel	Wohnungsmangel	N	NN	_|_|Sg	3	pn	_	-
5	leidende	leidend	ADJA	ADJA	Pos|Masc|Nom|Pl|St|<PPRES	6	attr	_	-
6	Schriftsteller	Schriftsteller	N	NN	Masc|Nom|Pl	9	subj	_	-
7	aus	aus	PREP	APPR	Dat	6	pp	_	-
8	Berlin	Berlin	N	NE	_|Dat|Sg	7	pn	_	(0)
9	können	können	V	VMFIN	3|Pl|Pres|_	0	root	_	-
10	sich	sie	PRO	PRF	3|_|_	20	obja	_	-
11	um	um	PREP	APPR	Acc	20	pp	_	-
12	ein	eine	ART	ART	Indef|Neut|Acc|Sg	13	det	_	-
13	Aufenthaltsstipendium	Aufenthaltsstipendium	N	NN	Neut|Acc|Sg	11	pn	_	-
14	im	in	PREP	APPRART	Dat	20	pp	_	-
15	Alfred-Döblin-Haus	Alfred-Döblin-Haus	N	NN	Neut|Dat|Sg	14	pn	_	-
16	in	in	PREP	APPR	_	20	pp	_	-
17	Wewelsfleth	Wewelsfleth	N	NE	_|_|_	16	pn	_	-
18	/	/	$(	$(	_	0	root	_	-
19	Schleswig-Holstein	Schleswig-Holstein	N	NE	_|_|_	17	kon	_	-
20	bewerben	bewerben	V	VVINF	_	9	aux	_	-
21	.	.	$.	$.	_	0	root	_	-

1	Vielleicht	vielleicht	ADV	ADV	_	2	adv	_	-
2	finden	finden	V	VVFIN	3|Pl|Pres|_	0	root	_	-
3	dort	dort	ADV	ADV	_	2	adv	_	-
4	auch	auch	ADV	ADV	_	2	adv	_	-
5	gestreßte	gestreßte	ADJA	ADJA	_	6	attr	_	-
6	Hauptstädter	Hauptstädter	N	NN	_|Nom|Pl	2	subj	_	-
7	endlich	endlich	ADV	ADJD	Pos|	2	adv	_	-
8	die	die	ART	ART	Def|Fem|_|Sg	9	det	_	-
9	Ruhe	Ruhe	N	NN	Fem|_|Sg	2	obja	_	-
10	für	für	PREP	APPR	Acc	2	pp	_	-
11	ein	eine	ART	ART	Indef|Neut|Acc|Sg	14	det	_	-
12	großes	groß	ADJA	ADJA	Pos|Neut|Acc|Sg|St|	14	attr	_	-
13	literarisches	literarisch	ADJA	ADJA	Pos|Neut|Acc|Sg|St|	14	attr	_	-
14	Werk	Werk	N	NN	Neut|Acc|Sg	10	pn	_	-
15	.	.	$.	$.	_	0	root	_	-

1	Das	die	ART	ART	Def|Neut|Nom|Sg	2	det	_	-
2	Haus	Haus	N	NN	Neut|Nom|Sg	3	subj	_	-
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
4	übrigens	übrigens	ADV	ADV	_	3	adv	_	-
5	der	die	ART	ART	Def|Masc|Nom|Sg	7	det	_	-
6	frühere	früh	ADJA	ADJA	_|Masc|Nom|Sg|Wk|	7	attr	_	-
7	Wohnsitz	Wohnsitz	N	NN	Masc|Nom|Sg	3	pred	_	-
8	von	von	PREP	APPR	_	7	pp	_	-
9	Günter	Günter	N	NE	_|_|_	8	pn	_	-
10	Grass	Grass	N	NE	_|_|_	9	app	_	-
11	und	und	KON	KON	_	0	root	_	-
12	,	,	$,	$,	_	0	root	_	-
13	wie	wie	PWAV	PWAV	_	16	adv	_	-
14	man	man	PRO	PIS	_|Nom|Sg	16	subj	_	-
15	gerüchteweise	gerüchteweise	ADV	ADV	_	16	adv	_	-
16	erfuhr	erfahren	V	VVFIN	3|Sg|Past|Ind	11	cj	_	-
17	,	,	$,	$,	_	0	root	_	-
18	eine	eine	ART	ART	Indef|Fem|_|Sg	21	det	_	-
19	recht	recht	ADV	ADJD	Pos|	20	adv	_	-
20	abgeschiedene	abgeschieden	ADJA	ADJA	Pos|Fem|_|Sg|_|	21	attr	_	-
21	Kate	Kate	N	NN	Fem|_|Sg	0	root	_	-
22	.	.	$.	$.	_	0	root	_	-

1	Bewerbungsunterlagen	Bewerbungsunterlage	N	NN	Fem|Nom|Pl	2	subj	_	-
2	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	-
3	bei	bei	PREP	APPR	Dat	2	pp	_	-
4	der	die	ART	ART	Def|Fem|Dat|Sg	5	det	_	-
5	Stiftung	Stiftung	N	NN	Fem|Dat|Sg	3	pn	_	-
