1	Noch	noch	ADV	ADV	_	2	adv	_	-
2	nicht	nicht	PTKNEG	PTKNEG	_	3	adv	_	-
3	identifiziert	identifizieren	V	VVPP	_	4	aux	_	-
4	werden	werden	V	VAINF	_	5	aux	_	-
5	konnte	können	V	VMFIN	3|Sg|Past|Ind	0	root	_	-
6	ein	eine	ART	ART	Indef|Masc|Nom|Sg	7	det	_	(0
7	Mann	Mann	N	NN	Masc|Nom|Sg	5	subj	_	-
8	,	,	$,	$,	_	0	root	_	-
9	der	die	PRO	PRELS	Masc|Nom|Sg	21	subj	_	(0)
10	am	an	PREP	APPRART	Dat	20	pp	_	-
11	Dienstag	Dienstag	N	NN	_|Dat|Sg	10	pn	_	-
12	in	in	PREP	APPR	_	20	pp	_	-
13	Marzahn	Marzahn	N	NE	_|_|_	12	pn	_	-
14	mit	mit	PREP	APPR	Dat	20	pp	_	-
15	lebensgefährlichen	lebensgefährlich	ADJA	ADJA	Pos|Fem|Dat|Pl|_|	16	attr	_	-
16	Stichverletzungen	Stichverletzung	N	NN	Fem|Dat|Pl	14	pn	_	-
17	von	von	PREP	APPR	Dat	16	pp	_	-
18	einem	eine	ART	ART	Indef|Masc|Dat|Sg	19	det	_	-
19	Autofahrer	Autofahrer	N	NN	Masc|Dat|Sg	17	pn	_	-
20	gefunden	finden	V	VVPP	_	21	aux	_	-
21	wurde	werden	V	VAFIN	3|Sg|Past|Ind	7	rel	_	0)
22	.	.	$.	$.	_	0	root	_	-

1	Nach	nach	PREP	APPR	Dat	5	pp	_	-
2	Angaben	Angabe	N	NN	Fem|Dat|Pl	1	pn	_	-
3	der	die	ART	ART	Def|Fem|Gen|Sg	4	det	_	-
4	Polizei	Polizei	N	NN	Fem|Gen|Sg	2	gmod	_	-
5	lag	liegen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
6	der	die	ART	ART	Def|Masc|Nom|Sg	7	det	_	(0
7	Mann	Mann	N	NN	Masc|Nom|Sg	5	subj	_	0)
8	in	in	PREP	APPR	Dat	5	objp	_	-
9	der	die	ART	ART	Def|Fem|Dat|Sg	10	det	_	-
10	Allee	Allee	N	NN	Fem|Dat|Sg	8	pn	_	-
11	der	die	ART	ART	Def|_|Gen|_	12	det	_	-
12	Kosmonauten	Kosmonaut	N	NN	_|Gen|_	10	gmod	_	-
13	Ecke	Eck	N	NN	_|Gen|_	12	app	_	-
14	Rhinstraße	Rhinstraße	N	NE	Fem|_|Sg	13	app	_	-
15	.	.	$.	$.	_	0	root	_	-

