1	Was	was	PRO	PWS	Neut|_|Sg	13	obja	_	-
2	Columbus	Columbus	N	NE	_|Nom|Sg	13	subj	_	-
3	vor	vor	PREP	APPR	Dat	13	pp	_	-
4	500	500	CARD	CARD	_	5	attr	_	-
5	Jahren	Jahr	N	NN	Neut|Dat|Pl	3	pn	_	-
6	von	von	PREP	APPR	Dat	5	pp	_	-
7	den	die	ART	ART	Def|Masc|Dat|Pl	8	det	_	-
8	Indianern	Indianer	N	NN	Masc|Dat|Pl	6	pn	_	-
9	als	als	KOKOM	KOKOM	_	8	kom	_	-
10	Genußmittel	Genußmittel	N	NN	_|_|_	9	cj	_	-
11	nach	nach	PREP	APPR	Dat	6	kon	_	-
12	Europa	Europa	N	NE	_|Dat|Sg	11	pn	_	-
13	brachte	bringen	V	VVFIN	3|Sg|Past|Ind	15	subjc	_	-
14	,	,	$,	$,	_	0	root	_	-
15	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
16	längst	längst	ADV	ADV	_	20	adv	_	-
17	zum	zu	PREP	APPRART	Dat	20	objp	_	-
18	schädlichen	schädlich	ADJA	ADJA	Pos|_|Dat|Sg|Wk|	19	attr	_	-
19	Laster	Laster	N	NN	_|Dat|Sg	17	pn	_	-
20	degradiert	degradieren	V	VVPP	_	15	aux	_	-
21	:	\:	$.	$.	_	0	root	_	-
22	der	die	ART	ART	Def|Masc|Nom|Sg	23	det	_	-
23	Tabak	Tabak	N	NN	Masc|Nom|Sg	0	root	_	-
24	.	.	$.	$.	_	0	root	_	-

1	Eine	eine	ART	ART	Indef|Fem|Nom|Sg	3	det	_	-
2	neue	neu	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	3	attr	_	-
3	Studie	Studie	N	NN	Fem|Nom|Sg	9	subj	_	-
4	des	die	ART	ART	Def|Masc|Gen|Sg	6	det	_	-
5	britischen	britisch	ADJA	ADJA	Pos|Masc|Gen|Sg|_|	6	attr	_	-
6	Epidemiologen	Epidemiologe	N	NN	Masc|Gen|Sg	3	gmod	_	-
7	Richard	Richard	N	NE	Masc|Gen|Sg	6	app	_	-
8	Peto	Peto	N	NE	Masc|Gen|Sg	7	app	_	-
9	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
10	dieses	diese	ART	PDAT	Neut|_|Sg	11	det	_	-
11	Risiko	Risiko	N	NN	Neut|_|Sg	14	obja	_	-
12	jetzt	jetzt	ADV	ADV	_	14	adv	_	-
13	exakt	exakt	ADV	ADJD	Pos|	14	adv	_	-
14	quantifiziert	quantifizieren	V	VVPP	_	9	aux	_	-
15	.	.	$.	$.	_	0	root	_	-

1	Noch	noch	ADV	ADV	_	2	adv	_	-
2	in	in	PREP	APPR	Dat	5	pp	_	-
3	diesem	diese	ART	PDAT	_|Dat|Sg	4	det	_	-
4	Jahrzehnt	Jahrzehnt	N	NN	_|Dat|Sg	2	pn	_	-
5	werden	werden	V	VAFIN	3|Pl|Pres|_	0	root	_	-
6	in	in	PREP	APPR	Dat	14	pp	_	-
7	den	die	ART	ART	Def|Fem|Dat|Pl	8	det	_	-
8	Industrienationen	Industrienation	N	NN	Fem|Dat|Pl	6	pn	_	-
9	21	21	CARD	CARD	_	10	attr	_	-
10	Millionen	Million	N	NN	Masc|Nom|Pl	5	subj	_	-
11	Menschen	Mensch	N	NN	Masc|Nom|Pl	10	app	_	-
12	am	an	PREP	APPRART	Dat	14	pp	_	-
13	Nikotinkonsum	Nikotinkonsum	N	NN	Masc|Dat|Sg	12	pn	_	-
14	sterben	sterben	V	VVINF	_	5	aux	_	-
15	.	.	$.	$.	_	0	root	_	-

