1	Gib	geben	V	VVIMP	Sg	0	root	_	-
2	mir	ich	PRO	PPER	1|Sg|_|Dat	1	objd	_	(0)
3	noch	noch	ADV	ADV	_	2	adv	_	-
4	ein	eine	ART	ART	Indef|_|_|Sg	6	det	_	-
5	paar	paar	ART	PIDAT	Neut|_|_	6	attr	_	-
6	Jahre	Jahr	N	NN	Neut|_|_	1	obja	_	-
7	,	,	$,	$,	_	0	root	_	-
8	um	um	KOUI	KOUI	_	15	konj	_	-
9	ein	eine	ART	ART	Indef|Neut|_|Sg	12	det	_	-
10	bißchen	bißchen	ADV	ADV	_	11	adv	_	-
11	besser	gut	ADV	ADJD	Comp|	12	adv	_	-
12	Klavier	Klavier	N	NN	Neut|_|Sg	13	obja	_	-
13	spielen	spielen	V	VVINF	_	15	obji	_	-
14	zu	zu	PTKZU	PTKZU	_	15	part	_	-
15	lernen	lernen	V	VVINF	_	18	neb	_	-
16	,	,	$,	$,	_	0	root	_	-
17	dann	dann	ADV	ADV	_	18	adv	_	-
18	werde	werden	V	VAFIN	1|Sg|Pres|_	0	root	_	-
19	ich	ich	PRO	PPER	1|Sg|_|Nom	18	subj	_	(0)
20	auch	auch	ADV	ADV	_	23	adv	_	-
21	ein	eine	ART	ART	Indef|Neut|_|Sg	22	det	_	-
22	Jazzalbum	Jazzalbum	N	NN	Neut|_|Sg	23	obja	_	-
23	machen	machen	V	VVINF	_	18	aux	_	-
24	«	«	$(	$(	_	0	root	_	-
25	,	,	$,	$,	_	0	root	_	-
26	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	-
27	Stevie	Stevie	N	NE	_|Nom|Sg	26	subj	_	(1
28	Wonder	Wonder	N	NE	_|Nom|Sg	27	app	_	1)
29	kürzlich	kürzlich	ADV	ADV	_	26	adv	_	-
30	.	.	$.	$.	_	0	root	_	-

1	Sein	seine	ART	PPOSAT	Masc|Nom|Sg	3	det	_	(1)|(2
2	langjähriger	langjährig	ADJA	ADJA	Pos|Masc|Nom|Sg|St|	3	attr	_	-
3	Drummer	Drummer	N	NN	Masc|Nom|Sg	21	subj	_	-
4	Denis	Denis	N	NE	Masc|Nom|Sg	3	app	_	-
5	Davis	Davis	N	NE	Masc|Nom|Sg	4	app	_	2)
6	,	,	$,	$,	_	0	root	_	-
7	den	die	PRO	PRELS	Masc|Acc|Sg	15	obja	_	(2)
8	er	er	PRO	PPER	3|Sg|Masc|Nom	15	subj	_	(1)
9	in	in	PREP	APPR	_	15	pp	_	-
10	Do	Do	FM	FM	_|_|_	9	pn	_	-
11	I	I	FM	FM	_|_|_	10	app	_	-
12	Do	Do	FM	FM	_|_|_	11	app	_	-
13	so	so	ADV	ADV	_	14	adv	_	-
14	liebevoll	liebevoll	ADV	ADJD	Pos|	15	adv	_	-
15	anfeuert	anfeuern	V	VVFIN	3|Sg|Pres|Ind	5	rel	_	-
16	,	,	$,	$,	_	0	root	_	-
17	und	und	KON	KON	_	5	kon	_	-
18	Gitarrist	Gitarrist	N	NN	Masc|Nom|Sg	17	cj	_	-
19	Zachary	Zachary	N	NE	Masc|Nom|Sg	18	app	_	-
20	Breux	Breux	N	NE	Masc|Nom|Sg	19	app	_	-
21	sorgten	sorgen	V	VVFIN	_|Pl|Past|_	0	root	_	-
22	schon	schon	ADV	ADV	_	21	adv	_	-
23	beim	bei	PREP	APPRART	Dat	21	pp	_	-
24	ersten	erst	ADJA	ADJA	_|Neut|Dat|Sg|Wk|	25	attr	_	-
25	Intro	Intro	N	NN	Neut|Dat|Sg	23	pn	_	-
26	der	die	ART	ART	Def|Fem|Gen|Sg	27	det	_	-
27	Ray	Ray	N	NE	Fem|Gen|Sg	25	gmod	_	-
28	Ayers	Ayer	N	NN	Masc|Gen|Sg	29	gmod	_	-
29	Band	Band	N	NN	Fem|Gen|Sg	27	app	_	-
30	für	für	PREP	APPR	Acc	21	objp	_	-
31	den	die	ART	ART	Def|Masc|Acc|Sg	33	det	_	-
32	speziellen	speziell	ADJA	ADJA	Pos|Masc|Acc|Sg|_|	33	attr	_	-
33	Wonder-Groove	Wonder-Groove	N	NN	Masc|Acc|Sg	30	pn	_	-
34	.	.	$.	$.	_	0	root	_	-

1	Sie	sie	PRO	PPER	3|Pl|_|Nom	2	subj	_	(4)
2	gehören	gehören	V	VVFIN	3|Pl|Pres|_	0	root	_	-
3	zu	zu	PREP	APPR	Dat	2	objp	_	-
4	der	die	ART	ART	Def|Fem|Dat|Sg	5	det	_	(3
5	Sorte	Sorte	N	NN	Fem|Dat|Sg	3	pn	_	-
6	»	»	$(	$(	_	0	root	_	-
7	sidemen	sidemen	N	NE	Fem|Dat|Sg	5	app	_	3)
8	«	«	$(	$(	_	0	root	_	-
9	,	,	$,	$,	_	0	root	_	-
10	die	die	PRO	PRELS	_|_|_	0	root	_	(3)
11	an	an	PREP	APPR	Acc	14	objp	_	-
12	abgestellte	abgestellt	ADJA	ADJA	Pos|Masc|Acc|Pl|St|	13	attr	_	-
13	Eisblöcke	Eisblock	N	NN	Masc|Acc|Pl	11	pn	_	-
14	denken	denken	V	VVINF	_	15	aux	_	-
15	lassen	lassen	V	VVINF	_	0	root	_	-
16	,	,	$,	$,	_	0	root	_	-
17	wenn	wenn	KOUS	KOUS	_	34	konj	_	-
18	sie	sie	PRO	PPER	3|Pl|_|Nom	34	subj	_	(4)
19	links	links	ADV	ADV	_	34	adv	_	-
20	und	und	KON	KON	_	19	kon	_	-
21	rechts	rechts	PREP	APPR	_	20	cj	_	-
22	der	die	ART	ART	Def|_|_|_	24	det	_	-
