1	Das	die	PRO	PDS	Neut|Nom|Sg	2	subj	_	-
2	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
3	Echo	Echo	N	NN	Neut|_|Sg	10	obja	_	-
4	&	&	KON	KON	_	3	kon	_	-
5	The	The	FM	FM	Neut|_|Sg	4	cj	_	-
6	Bunnymen	Bunnymen	FM	FM	Neut|_|Sg	5	app	_	-
7	wohl	wohl	ADV	ADV	_	9	adv	_	-
8	kaum	kaum	ADV	ADV	_	9	adv	_	-
9	einer	eine	PRO	PIS	Fem|Gen|Sg	6	gmod	_	-
10	zugetraut	zugetrauen	V	VVPP	_	2	aux	_	-
11	.	.	$.	$.	_	0	root	_	-

1	Vor	vor	PREP	APPR	Dat	4	pp	_	-
2	zwei	zwei	CARD	CARD	_	3	attr	_	-
3	Jahren	Jahr	N	NN	Neut|Dat|Pl	1	pn	_	-
4	legten	legen	V	VVFIN	3|Pl|Past|_	0	root	_	-
5	sie	sie	PRO	PPER	3|Pl|_|Nom	4	subj	_	(1)
6	ein	eine	ART	ART	Indef|Neut|_|Sg	9	det	_	(0
7	erstaunlich	erstaunlich	ADV	ADJD	_	8	adv	_	-
8	gelungenes	gelungen	ADJA	ADJA	Pos|Neut|_|Sg|St|	9	attr	_	-
9	Comeback	Comeback	N	NN	Neut|_|Sg	4	obja	_	-
10	hin	hin	PTKVZ	PTKVZ	_	4	avz	_	-
11	,	,	$,	$,	_	0	root	_	-
12	in	in	PREP	APPR	Dat	23	pp	_	-
13	dem	die	PRO	PRELS	Neut|Dat|Sg	12	pn	_	(0)
14	sie	sie	PRO	PPER	3|Pl|_|Nom	23	subj	_	(1)
15	fast	fast	ADV	ADV	_	23	adv	_	-
16	wieder	wieder	ADV	ADV	_	23	adv	_	-
17	an	an	PREP	APPR	Acc	23	objp	_	-
18	die	die	ART	ART	Def|Fem|Acc|Pl	20	det	_	-
19	alten	alt	ADJA	ADJA	Pos|Fem|Acc|Pl|Wk|	20	attr	_	-
20	Songqualitäten	Songqualität	N	NN	Fem|Acc|Pl	17	pn	_	-
21	samt	samt	PREP	APPR	Dat	20	pp	_	-
22	Orchestereinsätzen	Orchestereinsatz	N	NN	_|Dat|_	21	pn	_	-
23	anknüpften	anknüpfen	V	VVFIN	3|Pl|Past|_	9	rel	_	0)
24	.	.	$.	$.	_	0	root	_	-

1	Ihre	ihre	ART	PPOSAT	Fem|Nom|Sg	3	det	_	(1)
2	neue	neu	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	3	attr	_	-
3	Veröffentlichung	Veröffentlichung	N	NN	Fem|Nom|Sg	4	subj	_	-
4	fragt	fragen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
5	nun	nun	ADV	ADV	_	4	adv	_	-
6	die	die	ART	ART	Def|Fem|_|Sg	8	det	_	-
7	wichtige	wichtig	ADJA	ADJA	Pos|Fem|_|Sg|_|	8	attr	_	-
8	Frage	Frage	N	NN	Fem|_|Sg	4	obja	_	-
9	What	What	FM	FM	Fem|_|Sg	8	app	_	-
10	Are	Are	FM	FM	Fem|_|Sg	9	app	_	-
11	You	You	FM	FM	Fem|_|Sg	10	app	_	-
12	Going	Going	FM	FM	Fem|_|Sg	11	app	_	-
13	To	To	FM	FM	Fem|_|Sg	12	app	_	-
14	Do	Do	FM	FM	Fem|_|Sg	13	app	_	-
15	With	With	FM	FM	Fem|_|Sg	14	app	_	-
16	Your	Your	FM	FM	Fem|_|Sg	15	app	_	-
17	Life	Life	FM	FM	Fem|_|Sg	16	app	_	-
18	?	?	$.	$.	_	0	root	_	-

1	und	und	KON	KON	_	0	root	_	-
2	geht	gehen	V	VVFIN	_|_|Pres|Ind	1	cj	_	-
3	sogar	sogar	ADV	ADV	_	2	adv	_	-
4	noch	noch	ADV	ADV	_	2	adv	_	-
5	besser	gut	ADV	ADJD	Comp|	2	pred	_	-
6	ins	in	PREP	APPRART	Acc	2	objp	_	-
7	Ohr	Ohr	N	NN	Neut|Acc|Sg	6	pn	_	-
8	.	.	$.	$.	_	0	root	_	-

