1	Länger	lang	ADV	ADJD	Comp|	5	adv	_	-
2	als	als	KOKOM	KOKOM	_	1	kom	_	-
3	zehn	zehn	CARD	CARD	_	4	attr	_	-
4	Jahre	Jahr	N	NN	Neut|_|Pl	2	cj	_	-
5	dauere	dauern	V	VVFIN	3|Sg|Pres|Subj	0	root	_	-
6	nun	nun	ADV	ADV	_	5	adv	_	-
7	schon	schon	ADV	ADV	_	5	adv	_	-
8	der	die	ART	ART	Def|Masc|Nom|Sg	9	det	_	-
9	Kampf	Kampf	N	NN	Masc|Nom|Sg	5	subj	_	-
10	um	um	PREP	APPR	Acc	9	pp	_	-
11	ein	eine	ART	ART	Indef|Neut|Acc|Sg	13	det	_	-
12	modernes	modern	ADJA	ADJA	Pos|Neut|Acc|Sg|St|	13	attr	_	-
13	Gesetz	Gesetz	N	NN	Neut|Acc|Sg	10	pn	_	-
14	zur	zu	PREP	APPRART	Dat	5	pp	_	-
15	Ausbildung	Ausbildung	N	NN	Fem|Dat|Sg	14	pn	_	-
16	von	von	PREP	APPR	_	15	pp	_	-
17	AltenpflegerInnen	AltenpflegerIn	N	NN	Fem|_|Pl	16	pn	_	-
18	,	,	$,	$,	_	0	root	_	-
19	moniert	monieren	V	VVFIN	3|Sg|Pres|Ind	5	s	_	-
20	Elke	Elke	N	NE	Fem|Nom|Sg	19	subj	_	(1
21	Steinhöfel	Steinhöfel	N	NE	Fem|Nom|Sg	20	app	_	1)
22	(	(	$(	$(	_	0	root	_	-
23	SPD	SPD	N	NE	Fem|Nom|Sg	21	app	_	-
24	)	)	$(	$(	_	0	root	_	-
25	,	,	$,	$,	_	0	root	_	-
26	Sprecherin	Sprecherin	N	NN	Fem|Nom|Sg	21	app	_	-
27	der	die	ART	ART	Def|_|_|_	28	det	_	-
28	Sozial-Deputation	Sozial-Deputation	N	NN	_|Gen|_	26	gmod	_	-
29	.	.	$.	$.	_	0	root	_	-

1	Wenn	wenn	KOUS	KOUS	_	5	konj	_	-
2	die	die	ART	ART	Def|Fem|Nom|Sg	3	det	_	-
3	Bundesregierung	Bundesregierung	N	NN	Fem|Nom|Sg	5	subj	_	-
4	weiterhin	weiterhin	ADV	ADV	_	5	adv	_	-
5	mauere	mauern	V	VVFIN	3|Sg|Pres|Subj	7	neb	_	-
6	,	,	$,	$,	_	0	root	_	-
7	müsse	müssen	V	VMFIN	3|Sg|Pres|Subj	32	s	_	-
8	das	die	ART	ART	Def|Neut|Nom|Sg	9	det	_	-
9	Bundesland	Bundesland	N	NN	Neut|Nom|Sg	7	subj	_	-
10	Bremen	Bremen	N	NE	Neut|Nom|Sg	9	app	_	-
11	eine	eine	ART	ART	Indef|Fem|_|Sg	14	det	_	-
12	eigene	eigen	ADJA	ADJA	Pos|Fem|_|Sg|_|	14	attr	_	-
13	gesetzliche	gesetzlich	ADJA	ADJA	Pos|Fem|_|Sg|_|	14	attr	_	-
14	Grundlage	Grundlage	N	NN	Fem|_|Sg	18	obja	_	-
15	für	für	PREP	APPR	Acc	14	pp	_	-
16	eine	eine	ART	ART	Indef|Fem|Acc|Sg	17	det	_	(0
17	Altenpflegeausbildung	Altenpflegeausbildung	N	NN	Fem|Acc|Sg	15	pn	_	-
18	schaffen	schaffen	V	VVINF	_	7	aux	_	-
19	,	,	$,	$,	_	0	root	_	-
20	die	die	PRO	PRELS	Fem|Nom|Sg	30	subj	_	(0)
21	den	die	ART	ART	Def|_|_|_	23	det	_	-
22	neuen	neu	ADJA	ADJA	Pos|_|Dat|Pl|_|	23	attr	_	-
23	Kenntnisse	Kenntnis	N	NN	_|Dat|Pl	30	objd	_	-
24	über	über	PREP	APPR	_	23	pp	_	-
25	Gerontologie	Gerontologie	N	NN	Fem|_|Sg	24	pn	_	-
26	und	und	KON	KON	_	25	kon	_	-
27	Rehabilitation	Rehabilitation	N	NN	Fem|_|Sg	26	cj	_	-
28	im	in	PREP	APPRART	Dat	30	pp	_	-
29	Alter	Alter	N	NN	_|Dat|Sg	28	pn	_	-
30	entspreche	entsprechen	V	VVFIN	3|Sg|Pres|Subj	17	rel	_	0)
31	,	,	$,	$,	_	0	root	_	-
32	sagt	sagen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
33	Steinhöfel	Steinhöfel	N	NE	_|Nom|Sg	32	subj	_	(1)
34	.	.	$.	$.	_	0	root	_	-

1	Der	die	ART	ART	Def|Masc|Nom|Sg	3	det	_	-
2	Bremer	Bremer	ADJA	ADJA	_|Masc|Nom|Sg|_	3	attr	_	-
3	Senat	Senat	N	NN	Masc|Nom|Sg	4	subj	_	-
4	solle	sollen	V	VMFIN	3|Sg|Pres|Subj	0	root	_	-
5	noch	noch	ADV	ADV	_	9	adv	_	-
6	1995	1995	CARD	CARD	_	9	zeit	_	-
7	einen	eine	ART	ART	Indef|Masc|Acc|Sg	8	det	_	-
8	Entwurf	Entwurf	N	NN	Masc|Acc|Sg	9	obja	_	-
9	vorlegen	vorlegen	V	VVINF	_	4	aux	_	-
10	.	.	$.	$.	_	0	root	_	-

