1	Alles	alles	PIS	_	_	13	S	_	_
2	okay	okay	ADJD	_	_	1	PRED	_	_
3	auf	auf	APPR	_	_	1	PP	_	_
4	dieser	diese	PDAT	_	_	5	DET	_	_
5	Seite	Seite	NN	_	_	3	PN	_	_
6	,	,	$,	_	_	5	-PUNCT-	_	_
7	bis	bis	APPR	_	_	1	PP	_	_
8	auf	auf	APPR	_	_	7	PP	_	_
9	diesen	dieser	PDAT	_	_	11	DET	_	_
10	verschrobenen	verschroben	ADJA	_	_	11	ATTR	_	_
11	Satz	Satz	NN	_	_	8	PN	_	_
12	,	,	$,	_	_	11	-PUNCT-	_	_
13	schrieb	schreiben	VVFIN	_	_	0	ROOT	_	_
14	unsere	unsere	PPOSAT	_	_	15	DET	_	(2
15	Hospitantin	Hospitantin	NN	_	_	13	SUBJ	_	_
16	Friederike	Friederike	NE	_	_	15	APP	_	2)
17	dem	der	ART	_	_	19	DET	_	_
18	diensttuenden	diensttuend	ADJA	_	_	19	ATTR	_	_
19	Sonntagsredakteur	Sonntagsredakteur	NN	_	_	13	OBJD	_	_
20	,	,	$,	_	_	19	-PUNCT-	_	_
21	und	und	KON	_	_	13	KON	_	_
22	hatte	haben%aux	VAFIN	_	_	21	CJ	_	_
23	im	in	APPRART	_	_	25	PP	_	_
24	Günther-Anders-Artikel	Günther-Anders-Artikel	NN	_	_	23	PN	_	(0)
25	unterstrichen	unterstreichen	VVPP	_	_	22	AUX	_	_
26	:	:	$.	_	_	25	-PUNCT-	_	_

1	"	"	$(	_	_	2	-PUNCT-	_	_
2	Erst	erst	ADV	_	_	3	ADV	_	_
3	heute	heute	ADV	_	_	11	ADV	_	_
4	,	,	$,	_	_	3	-PUNCT-	_	_
5	in	in	APPR	_	_	3	PP	_	_
6	der	die	ART	_	_	7	DET	_	_
7	Epoche	Epoche	NN	_	_	5	PN	_	_
8	der	die	ART	_	_	9	DET	_	_
9	Massenindustrie	Massenindustrie	NN	_	_	7	GMOD	_	_
10	,	,	$,	_	_	9	-PUNCT-	_	_
11	kommt	zu#kommen	VVFIN	_	_	0	ROOT	_	_
12	dem	das	ART	_	_	14	DET	_	(1
13	einzelnen	einzeln	ADJA	_	_	14	ATTR	_	_
14	Objekt	Objekt	NN	_	_	11	OBJD	_	1)
15	tatsächlich	tatsächlich	ADV	_	_	11	ADV	_	_
16	ein	ein	ART	_	_	18	DET	_	_
17	geringerer	geringer	ADJA	_	_	18	ATTR	_	_
18	Seinsgrad	Seinsgrad	NN	_	_	11	SUBJ	_	_
19	zu	_	PTKVZ	_	_	11	AVZ	_	_
20	als	als	KOKOM	_	_	11	KOM	_	_
21	seiner	seine	PPOSAT	_	_	22	DET	_	(1)
22	Idee	Idee	NN	_	_	20	CJ	_	_
23	,	,	$,	_	_	22	-PUNCT-	_	_
24	nämlich	nämlich	ADV	_	_	26	ADV	_	_
25	seinem	sein	PPOSAT	_	_	26	DET	_	(1)
26	blueprint	blueprint	FM	_	_	22	APP	_	_
27	.	.	$.	_	_	26	-PUNCT-	_	_
28	"	"	$(	_	_	26	-PUNCT-	_	_

1	Von	von	APPR	_	_	0	ROOT	_	_
2	wegen	wegen	APPR	_	_	1	PP	_	_
3	verschroben	verschroben	ADJD	_	_	2	PN	_	_
4	,	,	$,	_	_	3	-PUNCT-	_	_
5	liebe	lieb	ADJA	_	_	6	ATTR	_	(2
6	Friederike	Friederike	NE	_	_	0	ROOT	_	2)
7	.	.	$.	_	_	6	-PUNCT-	_	_

1	Schwierig	schwierig	ADJD	_	_	0	ROOT	_	_
2	,	,	$,	_	_	1	-PUNCT-	_	_
3	allerhöchstens	allerhöchstens	ADV	_	_	1	ADV	_	_
4	.	.	$.	_	_	3	-PUNCT-	_	_

1	Und	und	KON	_	_	2	KON	_	_
2	dies	dieses	PDS	_	_	0	ROOT	_	_
3	für	für	APPR	_	_	2	PP	_	_
4	die	die	ART	_	_	5	DET	_	_
5	Woche	Woche	NN	_	_	3	PN	_	_
6	:	:	$.	_	_	5	-PUNCT-	_	_
7	Die	die	ART	_	_	8	DET	_	_
8	Blaupause	Blaupause	NN	_	_	12	SUBJ	_	_
9	-	-	$(	_	_	8	-PUNCT-	_	_
10	blueprint	blueprint	FM	_	_	8	APP	_	_
11	-	-	$(	_	_	10	-PUNCT-	_	_
12	ist	sein	VAFIN	_	_	0	ROOT	_	_
13	im	in	APPRART	_	_	12	PP	_	_
14	Druckgeschäft	Druckgeschäft	NN	_	_	13	PN	_	_
15	die	die	ART	_	_	17	DET	_	_
16	letzte	letzt	ADJA	_	_	17	ATTR	_	_
17	Möglichkeit	Möglichkeit	NN	_	_	12	PRED	_	_
18	,	,	$,	_	_	17	-PUNCT-	_	_
19	Fehler	Fehler	NN	_	_	21	OBJA	_	_
20	zu	zu	PTKZU	_	_	21	PART	_	_
21	korrigieren	korrigieren	VVINF	_	_	17	OBJC	_	_
22	.	.	$.	_	_	21	-PUNCT-	_	_

