1	Der	der	ART	_	_	3	DET	_	(1
2	Bremer	Bremer	ADJA	_	_	3	ATTR	_	_
3	Jugendring	Jugendring	NN	_	_	4	SUBJ	_	1)
4	sucht	suchen	VVFIN	_	_	0	ROOT	_	_
5	Beiträge	Beitrag	NN	_	_	4	OBJA	_	_
6	für	für	APPR	_	_	5	PP	_	_
7	sein	sein	PPOSAT	_	_	9	DET	_	(0|(1)
8	"	"	$(	_	_	9	-PUNCT-	_	_
9	Toleranzbuch	Toleranzbuch	NN	_	_	6	PN	_	0)
10	"	"	$(	_	_	9	-PUNCT-	_	_
11	:	:	$.	_	_	9	-PUNCT-	_	_
12	Geschichten	Geschichte	NN	_	_	0	ROOT	_	_
13	,	,	$,	_	_	12	-PUNCT-	_	_
14	Cartoons	Cartoon	NN	_	_	12	KON	_	_
15	,	,	$,	_	_	14	-PUNCT-	_	_
16	Sprüche	Spruch	NN	_	_	14	KON	_	_
17	.	.	$.	_	_	16	-PUNCT-	_	_

1	Und	und	KON	_	_	3	KON	_	_
2	junge	jung	ADJA	_	_	3	ATTR	_	(2
3	Leute	Leute	NN	_	_	0	ROOT	_	2)
4	,	,	$,	_	_	3	-PUNCT-	_	_
5	die	der|die|das	PRELS	_	_	9	SUBJ	_	(2)
6	sich	#refl	PRF	_	_	7	OBJA	_	(2)
7	fotografieren	fotografieren	VVINF	_	_	8	OBJI	_	_
8	lassen	lassen	VVINF	_	_	9	AUX	_	_
9	wollen	wollen%aux	VMFIN	_	_	3	REL	_	_
10	mit	mit	APPR	_	_	6	PP	_	_
11	Tatoos	Tattoo	NN	_	_	10	PN	_	_
12	,	,	$,	_	_	11	-PUNCT-	_	_
13	Frisuren	Frisur	NN	_	_	11	KON	_	_
14	,	,	$,	_	_	13	-PUNCT-	_	_
15	Klamotten	Klamotte	NN	_	_	13	KON	_	_
16	...	...	$(	_	_	15	-PUNCT-	_	_

1	Infos	Info	NN	_	_	0	ROOT	_	_
2	:	:	$.	_	_	1	-PUNCT-	_	_
3	170698	170698	CARD	_	_	0	ROOT	_	_
4	/	/	$(	_	_	3	-PUNCT-	_	_
5	99	99	CARD	_	_	3	ATTR	_	_
6	.	.	$.	_	_	5	-PUNCT-	_	_

