1	Gestern	gestern	ADV	ADV	_	2	adv	_	-
2	besiegte	besiegen	V	VVFIN	3|Sg|Past|_	0	root	_	-
3	der	die	ART	ART	Def|Masc|Nom|Sg	4	det	_	-
4	VfB	VfB	N	NN	Masc|Nom|Sg	2	subj	_	-
5	Lübeck	Lübeck	N	NE	Neut|Nom|Sg	4	app	_	-
6	den	die	ART	ART	Def|_|_|_	7	det	_	-
7	VfB	VfB	N	NN	_|_|_	2	obja	_	-
8	Oldenburg	Oldenburg	N	NE	_|_|Sg	7	app	_	-
9	mit	mit	PREP	APPR	Dat	2	pp	_	-
10	3	3	CARD	CARD	_	9	pn	_	-
11	:	\:	$.	$.	_	0	root	_	-
12	0	0	CARD	CARD	_	0	root	_	-
13	.	.	$.	$.	_	0	root	_	-

1	Der	die	ART	ART	Def|Masc|Nom|Sg	2	det	_	-
2	Lüneburger	Lüneburger	N	NN	Masc|Nom|Sg	4	subj	_	-
3	SK	SK	N	NE	Masc|Nom|Sg	2	app	_	-
4	unterlag	unterliegen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
5	dem	die	ART	ART	Def|_|Dat|Sg	6	det	_	-
6	BV	BV	N	NN	_|Dat|Sg	4	objd	_	-
7	Cloppenburg	Cloppenburg	N	NE	_|Dat|Sg	6	app	_	-
8	mit	mit	PREP	APPR	Dat	4	pp	_	-
9	1	1	CARD	CARD	_	8	pn	_	-
10	:	\:	$.	$.	_	0	root	_	-
11	2.	2.	ADJA	ADJA	_|_|_|_|_|	0	root	_	-

1	Die	die	ART	ART	Def|Masc|Nom|Pl	2	det	_	-
2	Amateure	Amateur	N	NN	Masc|Nom|Pl	5	subj	_	-
3	des	die	ART	ART	Def|_|Gen|Sg	4	det	_	-
4	HSV	HSV	N	NN	_|Gen|Sg	2	gmod	_	-
5	setzten	setzen	V	VVFIN	3|Pl|Past|_	0	root	_	-
6	sich	sie	PRO	PRF	3|_|_	5	obja	_	-
7	mit	mit	PREP	APPR	Dat	5	pp	_	-
8	3	3	CARD	CARD	_	7	pn	_	-
9	:	\:	$.	$.	_	0	root	_	-
10	1	1	CARD	CARD	_	0	root	_	-
11	gegen	gegen	PREP	APPR	Acc	10	pp	_	-
12	die	die	ART	ART	Def|_|Acc|_	13	det	_	-
13	Spfr	Spfr	N	NN	_|Acc|_	11	pn	_	-
14	.	.	$.	$.	_	0	root	_	-

1	Ricklingen	Ricklingen	N	NE	Neut|_|Sg	0	root	_	-
2	durch	durch	PTKVZ	PTKVZ	_	0	root	_	-
3	.	.	$.	$.	_	0	root	_	-

