1	Alles	alle	PRO	PIS	Neut|Nom|Sg	13	subj	_	-
2	okay	okay	ADV	ADJD	Pos|	3	adv	_	-
3	auf	auf	PREP	APPR	Dat	1	pp	_	-
4	dieser	diese	ART	PDAT	Fem|Dat|Sg	5	det	_	-
5	Seite	Seite	N	NN	Fem|Dat|Sg	3	pn	_	-
6	,	,	$,	$,	_	0	root	_	-
7	bis	bis	PREP	APPR	Acc	5	pp	_	-
8	auf	auf	PREP	APPR	Acc	7	pp	_	-
9	diesen	diese	ART	PDAT	Masc|Acc|Sg	11	det	_	-
10	verschrobenen	verschroben	ADJA	ADJA	Pos|Masc|Acc|Sg|_|	11	attr	_	-
11	Satz	Satz	N	NN	Masc|Acc|Sg	8	pn	_	-
12	,	,	$,	$,	_	0	root	_	-
13	schrieb	schreiben	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
14	unsere	unsre	ART	PPOSAT	_|_|_	15	det	_	(1
15	Hospitantin	Hospitantin	N	NN	_|_|_	13	obja	_	-
16	Friederike	Friederike	N	NE	Fem|_|Sg	15	app	_	1)
17	dem	die	ART	ART	Def|Masc|Dat|Sg	19	det	_	-
18	diensttuenden	diensttuenden	ADJA	ADJA	_|Masc|Dat|Sg|_	19	attr	_	-
19	Sonntagsredakteur	Sonntagsredakteur	N	NN	Masc|Dat|Sg	13	objd	_	-
20	,	,	$,	$,	_	0	root	_	-
21	und	und	KON	KON	_	13	kon	_	-
22	hatte	haben	V	VAFIN	_|Sg|Past|Ind	21	cj	_	-
23	im	in	PREP	APPRART	Dat	25	pp	_	-
24	Günther-Anders-Artikel	Günther-Anders-Artikel	N	NN	Masc|Dat|Sg	23	pn	_	-
25	unterstrichen	unterstreichen	V	VVPP	_	22	aux	_	-
26	:	\:	$.	$.	_	0	root	_	-
27	"	"	$(	$(	_	0	root	_	-
28	Erst	erst	ADV	ADV	_	29	adv	_	-
29	heute	heute	ADV	ADV	_	0	root	_	-
30	,	,	$,	$,	_	0	root	_	-
31	in	in	PREP	APPR	Dat	37	pp	_	-
32	der	die	ART	ART	Def|Fem|Dat|Sg	33	det	_	-
33	Epoche	Epoche	N	NN	Fem|Dat|Sg	31	pn	_	-
34	der	die	ART	ART	Def|Fem|Gen|Sg	35	det	_	-
35	Massenindustrie	Massenindustrie	N	NN	Fem|Gen|Sg	33	gmod	_	-
36	,	,	$,	$,	_	0	root	_	-
37	kommt	kommen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
38	dem	die	ART	ART	Def|Neut|Dat|Sg	40	det	_	-
39	einzelnen	einzeln	ADJA	ADJA	Pos|Neut|Dat|Sg|Wk|	40	attr	_	-
40	Objekt	Objekt	N	NN	Neut|Dat|Sg	37	objd	_	-
41	tatsächlich	tatsächlich	ADV	ADJD	Pos|	37	adv	_	-
42	ein	eine	ART	ART	Indef|Masc|Nom|Sg	44	det	_	(0
43	geringerer	gering	ADJA	ADJA	Comp|Masc|Nom|Sg|St|	44	attr	_	-
44	Seinsgrad	Seinsgrad	N	NN	Masc|Nom|Sg	37	subj	_	0)
45	zu	zu	PTKZU	PTKZU	_	0	root	_	-
46	als	als	KOKOM	KOKOM	_	0	root	_	-
47	seiner	seine	ART	PPOSAT	Fem|Dat|Sg	48	det	_	(0)
48	Idee	Idee	N	NN	Fem|Dat|Sg	46	cj	_	-
49	,	,	$,	$,	_	0	root	_	-
50	nämlich	nämlich	ADV	ADV	_	52	adv	_	-
51	seinem	seine	ART	PPOSAT	_|Dat|Sg	52	det	_	(0)
52	blueprint	blueprint	N	NN	_|Dat|Sg	48	kon	_	-
53	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Von	Von	N	NN	_|_|Sg	0	root	_	-
3	wegen	wegen	PREP	APPR	_	2	pp	_	-
4	verschroben	verschroben	ADV	ADJD	Pos|	3	pn	_	-
5	,	,	$,	$,	_	0	root	_	-
6	liebe	lieben	V	VVFIN	3|Sg|Pres|Subj	0	root	_	-
7	Friederike	Friederike	N	NE	Fem|Nom|Sg	6	subj	_	(1)
8	.	.	$.	$.	_	0	root	_	-

1	Schwierig	schwierig	ADV	ADJD	Pos|	0	root	_	-
2	,	,	$,	$,	_	0	root	_	-
3	allerhöchstens	allerhöchstens	ADV	ADV	_	0	root	_	-
4	.	.	$.	$.	_	0	root	_	-

1	Und	und	KON	KON	_	0	root	_	-
2	dies	dies	PRO	PDS	Neut|_|Sg	1	cj	_	-
3	für	für	PREP	APPR	Acc	2	pp	_	-
4	die	die	ART	ART	Def|Fem|Acc|Sg	5	det	_	-
5	Woche	Woche	N	NN	Fem|Acc|Sg	3	pn	_	-
6	:	\:	$.	$.	_	0	root	_	-
7	Die	die	ART	ART	Def|Fem|Nom|Sg	8	det	_	-
8	Blaupause	Blaupause	N	NN	Fem|Nom|Sg	12	subj	_	-
9	-	-	$(	$(	_	0	root	_	-
10	blueprint	blueprint	FM	FM	Fem|Nom|Sg	8	app	_	-
11	-	-	$(	$(	_	0	root	_	-
12	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
13	im	in	PREP	APPRART	Dat	12	pp	_	-
14	Druckgeschäft	Druckgeschäft	N	NN	Neut|Dat|Sg	13	pn	_	-
15	die	die	ART	ART	Def|Fem|Nom|Sg	17	det	_	-
16	letzte	letzte	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	17	attr	_	-
17	Möglichkeit	Möglichkeit	N	NN	Fem|Nom|Sg	12	pred	_	-
18	,	,	$,	$,	_	0	root	_	-
19	Fehler	Fehler	N	NN	Masc|_|_	21	obja	_	-
20	zu	zu	PTKZU	PTKZU	_	21	part	_	-
21	korrigieren	korrigieren	V	VVINF	_	12	obji	_	-
22	.	.	$.	$.	_	0	root	_	-

