1	Anstatt	anstatt	KOUI	_	_	10	KONJ	_	_
2	mit	mit	APPR	_	_	10	PP	_	_
3	Tornados	Tornado	NN	_	_	2	PN	_	_
4	die	die	ART	_	_	5	DET	_	_
5	Infrastruktur	Infrastruktur	NN	_	_	10	OBJA	_	_
6	der	die	ART	_	_	7	DET	_	_
7	Bundesrepublik	Bundesrepublik	NN	_	_	5	GMOD	_	_
8	Jugoslawien	Jugoslawien	NE	_	_	7	APP	_	_
9	zu	zu	PTKZU	_	_	10	PART	_	_
10	zerbomben	zerbomben	VVINF	_	_	12	NEB	_	_
11	,	,	$,	_	_	10	-PUNCT-	_	_
12	solle	sollen%aux	VMFIN	_	_	0	ROOT	_	_
13	die	die	ART	_	_	14	DET	_	_
14	Nato	Nato	NE	_	_	12	SUBJ	_	_
15	lieber	lieber	ADV	_	_	21	ADV	_	_
16	Yogische	yogisch	ADJA	_	_	17	ATTR	_	_
17	Flieger	Flieger	NN	_	_	21	OBJA	_	_
18	in	in	APPR	_	_	21	PP	_	_
19	das	das	ART	_	_	20	DET	_	_
20	Kosovo	Kosovo	NE	_	_	18	PN	_	_
21	entsenden	entsenden	VVINF	_	_	12	AUX	_	_
22	.	.	$.	_	_	21	-PUNCT-	_	_

1	Dies	dieses	PDS	_	_	2	OBJA	_	_
2	fordert	fordern	VVFIN	_	_	0	ROOT	_	_
3	die	die	ART	_	_	6	DET	_	(1
4	Junge	jung	ADJA	_	_	6	ATTR	_	_
5	Naturgesetz	Naturgesetz	NN	_	_	2	SUBJ	_	_
6	Partei	Partei	NN	_	_	5	APP	_	1)
7	.	.	$.	_	_	6	-PUNCT-	_	_

1	Schon	schon	ADV	_	_	2	ADV	_	_
2	bei	bei	APPR	_	_	11	PP	_	_
3	einer	eine	ART	_	_	4	DET	_	_
4	Gruppenmeditation	Gruppenmeditation	NN	_	_	2	PN	_	_
5	am	an	APPRART	_	_	4	PP	_	_
6	1.	1.	ADJA	_	_	7	ATTR	_	_
7	Mai	Mai	NN	_	_	5	PN	_	_
8	am	an	APPRART	_	_	4	PP	_	_
9	Brandenburger	Brandenburger	ADJA	_	_	10	ATTR	_	_
10	Tor	Tor	NN	_	_	8	PN	_	_
11	entstand	entstehen	VVFIN	_	_	34	S	_	_
12	"	"	$(	_	_	13	-PUNCT-	_	_
13	ein	ein	ART	_	_	15	DET	_	_
14	meßbarerer	meßbarer	ADJA	_	_	15	ATTR	_	_
15	Einfluß	Einfluß	NN	_	_	11	SUBJ	_	_
16	von	von	APPR	_	_	15	PP	_	_
17	Geordnetheit	Geordnetheit	NN	_	_	16	PN	_	_
18	und	und	KON	_	_	17	KON	_	_
19	Harmonie	Harmonie	NN	_	_	18	CJ	_	_
20	,	,	$,	_	_	19	-PUNCT-	_	_
21	der	die	ART	_	_	22	DET	_	(0
22	Grundlage	Grundlage	NN	_	_	17	ZEIT	_	0)
23	,	,	$,	_	_	22	-PUNCT-	_	_
24	auf	auf	APPR	_	_	30	PP	_	_
25	der	die	PRELS	_	_	24	PN	_	(0)
26	politische	politisch	ADJA	_	_	27	ATTR	_	_
27	Verhandlungen	Verhandlung	NN	_	_	31	SUBJ	_	_
28	erst	erst	ADV	_	_	30	ADV	_	_
29	erfolgreich	erfolgreich	ADJD	_	_	30	PRED	_	_
30	sein	sein	VAINF	_	_	31	AUX	_	_
31	können	können%aux	VMFIN	_	_	22	REL	_	_
32	"	"	$(	_	_	31	-PUNCT-	_	_
33	,	,	$,	_	_	31	-PUNCT-	_	_
34	freute	freuen	VVFIN	_	_	0	ROOT	_	_
35	sich	#refl	PRF	_	_	34	OBJA	_	_
36	Surya	Surya	NE	_	_	34	SUBJ	_	_
37	Gied	Gied	NE	_	_	36	APP	_	_
38	,	,	$,	_	_	37	-PUNCT-	_	_
39	die	die	ART	_	_	40	DET	_	_
40	Vorsitzende	Vorsitzende	NN	_	_	37	APP	_	_
41	des	der	ART	_	_	42	DET	_	_
42	Landesverbandes	Landesverband	NN	_	_	40	GMOD	_	_
43	Berlin	Berlin	NE	_	_	42	APP	_	_
44	.	.	$.	_	_	43	-PUNCT-	_	_

