1	Wem	wer	PRO	PWS	_|Dat|Sg	5	objd	_	-
2	es	es	PRO	PPER	3|Sg|Neut|Nom	6	subj	_	-
3	noch	noch	ADV	ADV	_	4	adv	_	-
4	nicht	nicht	PTKNEG	PTKNEG	_	5	adv	_	-
5	aufgefallen	auffallen	V	VVPP	_	6	aux	_	-
6	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
7	:	\:	$.	$.	_	0	root	_	-
8	Bei	bei	PREP	APPR	Dat	18	pp	_	-
9	Statements	Statements	N	NN	_|Dat|Pl	8	pn	_	(0
10	,	,	$,	$,	_	0	root	_	-
11	die	die	PRO	PRELS	_|Nom|Pl	16	subj	_	(0)
12	den	die	ART	ART	Def|Fem|Dat|Pl	13	det	_	-
13	Führungsetagen	Führungsetage	N	NN	Fem|Dat|Pl	16	objd	_	-
14	des	die	ART	ART	Def|Masc|Gen|Sg	15	det	_	-
15	Mercedes-Konzerns	Mercedes-Konzern	N	NN	Masc|Gen|Sg	13	gmod	_	-
16	entstammen	entstammen	V	VVFIN	3|Pl|Pres|_	9	rel	_	0)
17	,	,	$,	$,	_	0	root	_	-
18	handelt	handeln	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
19	es	es	PRO	PPER	3|Sg|Neut|Nom	18	subj	_	-
20	sich	sie	PRO	PRF	3|_|_	18	obja	_	-
21	meistens	meistens	ADV	ADV	_	18	adv	_	-
22	um	um	PREP	APPR	Acc	18	objp	_	-
23	verworrenes	verworren	ADJA	ADJA	Pos|Neut|Acc|Sg|St|	24	attr	_	-
24	Gestammel	Gestammel	N	NN	Neut|Acc|Sg	22	pn	_	-
25	.	.	$.	$.	_	0	root	_	-

1	Da	da	ADV	ADV	_	2	adv	_	-
2	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	-
3	die	die	ART	ART	Def|Fem|Nom|Sg	4	det	_	-
4	Produktivität	Produktivität	N	NN	Fem|Nom|Sg	2	subj	_	-
5	verbessert	verbessern	V	VVPP	_	6	aux	_	-
6	werden	werden	V	VAINF	_	2	aux	_	-
7	durch	durch	PREP	APPR	Acc	5	pp	_	-
8	"	"	$(	$(	_	0	root	_	-
9	höhere	hoch	ADJA	ADJA	Comp|_|Acc|_|_|	10	attr	_	-
10	Stückzahlen	Stückzahl	N	NN	_|Acc|_	7	pn	_	-
11	"	"	$(	$(	_	0	root	_	-
12	,	,	$,	$,	_	0	root	_	-
13	so	so	ADV	ADV	_	14	adv	_	-
14	als	als	KOKOM	KOKOM	_	15	konj	_	-
15	könne	können	V	VMFIN	3|Sg|Pres|Subj	2	neb	_	-
16	man	man	PRO	PIS	_|Nom|Sg	15	subj	_	-
17	Ursache	Ursache	N	NN	Fem|_|Sg	21	obja	_	-
18	und	und	KON	KON	_	17	kon	_	-
19	Wirkung	Wirkung	N	NN	Fem|_|Sg	18	cj	_	-
