1	Mach	machen	V	VVIMP	Sg	0	root	_	-
2	dich	du	PRO	PPER	2|Sg|_|Acc	1	obja	_	-
3	frisch	frisch	ADV	ADV	_	2	adv	_	-
4	mit	mit	PREP	APPR	Dat	1	pp	_	-
5	40	40	CARD	CARD	_	4	pn	_	-
6	!	!	$.	$.	_	0	root	_	-

1	Berlin	Berlin	N	NE	_	0	root	_	(7
2	(	(	$(	$(	_	0	root	_	-
3	taz	taz	N	NE	_	1	app	_	7)
4	)	)	$(	$(	_	0	root	_	-
5	-	-	$(	$(	_	0	root	_	-
6	So	so	ADV	ADV	_	7	adv	_	-
7	also	also	ADV	ADV	_	8	adv	_	-
8	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
9	man	man	PRO	PIS	_|Nom|Sg	8	subj	_	-
10	zum	zu	PREP	APPRART	Dat	8	pp	_	-
11	Problemfall	Problemfall	N	NN	Masc|Dat|Sg	10	pn	_	-
12	.	.	$.	$.	_	0	root	_	-

1	Schon	schon	ADV	ADV	_	2	adv	_	-
2	bitter	bitter	ADV	ADJD	Pos|	0	root	_	-
3	.	.	$.	$.	_	0	root	_	-

1	30	30	CARD	CARD	_	2	attr	_	-
2	Absagen	Absage	N	NN	Fem|_|Pl	9	obja	_	-
3	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
4	die	die	ART	ART	Def|Fem|Nom|Sg	5	det	_	-
5	Erzieherin	Erzieherin	N	NN	Fem|Nom|Sg	3	subj	_	-
6	von	von	PREP	APPR	_	9	pp	_	-
7	Berliner	Berliner	ADJA	ADJA	Pos|Fem|_|Pl|_|	8	attr	_	-
8	Kindertagesstätten	Kindertagesstätte	N	NN	Fem|_|Pl	6	pn	_	-
9	kassiert	kassieren	V	VVPP	_	3	aux	_	-
10	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Zu	Zu	PTKA	PTKA	_	3	adv	_	-
3	alt	alt	ADV	ADJD	Pos|	0	root	_	-
4	,	,	$,	$,	_	0	root	_	-
5	zu	zu	PTKA	PTKA	_	6	adv	_	-
6	teuer	teuer	ADV	ADJD	Pos|	3	kon	_	-
7	"	"	$(	$(	_	0	root	_	-
8	,	,	$,	$,	_	0	root	_	-
9	lautet	lauten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
10	die	die	ART	ART	Def|Fem|Nom|Sg	11	det	_	(0
11	Begründung	Begründung	N	NN	Fem|Nom|Sg	9	subj	_	0)
12	,	,	$,	$,	_	0	root	_	-
13	warum	warum	PWAV	PWAV	_	23	adv	_	-
14	die	die	ART	ART	Def|_|_|_	15	det	_	-
15	41jährige	41jährig	ADJA	ADJA	_|_|_	24	subj	_	-
16	trotz	trotz	PREP	APPR	_	23	pp	_	-
17	hervorragender	hervorragend	ADJA	ADJA	Pos|_|_|_|St|_	18	attr	_	-
18	Zeugnisse	Zeugnis	N	NN	_|_|_	16	pn	_	-
19	nicht	nicht	PTKNEG	PTKNEG	_	23	adv	_	-
20	mal	mal	ADV	ADV	_	23	adv	_	-
21	zum	zu	PREP	APPRART	Dat	23	objp	_	-
22	Vorstellungsgespräch	Vorstellungsgespräch	N	NN	Neut|Dat|Sg	21	pn	_	-
23	geladen	laden	V	VVPP	_	24	aux	_	-
24	wird	werden	V	VAFIN	3|Sg|Pres|Ind	9	objc	_	-
25	.	.	$.	$.	_	0	root	_	-

1	Sie	sie	PRO	PPER	3|Sg|Fem|Nom	2	subj	_	(0)
2	müsse	müssen	V	VMFIN	3|Sg|Pres|Subj	16	s	_	-
3	schließlich	schließlich	ADV	ADV	_	6	adv	_	-
4	nach	nach	PREP	APPR	Dat	6	pp	_	-
5	BAT-Tarif	BAT-Tarif	N	NN	Masc|Dat|Sg	4	pn	_	-
6	bezahlt	bezahlen	V	VVPP	_	7	aux	_	-
7	werden	werden	V	VAINF	_	2	aux	_	-
8	und	und	KON	KON	_	2	kon	_	-
9	habe	haben	V	VAFIN	_|Sg|Pres|_	8	cj	_	-
10	15	15	CARD	CARD	_	11	attr	_	-
11	Berufsjahre	Berufsjahr	N	NN	Neut|_|Pl	9	obja	_	-
12	auf	auf	PREP	APPR	Dat	9	pp	_	-
13	dem	die	ART	ART	Def|Masc|Dat|Sg	14	det	_	-
14	Buckel	Buckel	N	NN	Masc|Dat|Sg	12	pn	_	-
15	,	,	$,	$,	_	0	root	_	-
16	heißt	heißen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
17	es	es	PRO	PPER	3|Sg|Neut|Nom	16	subj	_	-
18	.	.	$.	$.	_	0	root	_	-

1	Jetzt	jetzt	ADV	ADV	_	2	adv	_	-
2	will	wollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	-
3	die	die	ART	ART	Def|Fem|Nom|Sg	5	det	_	(1
4	alleinstehende	alleinstehend	ADJA	ADJA	Pos|Fem|Nom|Sg|_|_	5	attr	_	-
5	Frau	Frau	N	NN	Fem|Nom|Sg	2	subj	_	1)
6	eine	eine	ART	ART	Indef|Fem|_|Sg	7	det	_	-
7	Umschulung	Umschulung	N	NN	Fem|_|Sg	8	obja	_	-
8	anfangen	anfangen	V	VVINF	_	2	aux	_	-
9	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Was	was	PRO	PWS	Neut|Nom|Sg	3	pred	_	-
3	bleibt	bleiben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
4	mir	ich	PRO	PPER	1|Sg|_|Dat	3	objd	_	(4)
5	anderes	andere	PRO	PIS	Neut|Nom|Sg	3	subj	_	-
6	übrig	übrig	ADV	ADJD	Pos|	3	adv	_	-
7	?	?	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Daß	daß	KOUS	KOUS	_	10	konj	_	-
3	sie	sie	PRO	PPER	3|Sg|Fem|Nom	10	subj	_	(1)
4	über	über	PREP	APPR	Acc	9	pp	_	-
5	einen	eine	ART	ART	Indef|Masc|Acc|Sg	6	det	_	-
6	ABM-Platz	ABM-Platz	N	NN	Masc|Acc|Sg	4	pn	_	-
7	einmal	einmal	ADV	ADV	_	4	adv	_	-
8	dankbar	dankbar	ADV	ADJD	Pos|	9	pred	_	-
9	sein	sein	V	VAINF	_	10	aux	_	-
