1	Als	Als	KOKOM	KOKOM	_	6	kom	_	-
2	erster	erst	ADJA	ADJA	_|Masc|_|_|St|	3	attr	_	-
3	Vertreter	Vertreter	N	NN	Masc|_|_	1	cj	_	-
4	der	die	ART	ART	Def|Fem|Gen|Sg	5	det	_	-
5	Bundesregierung	Bundesregierung	N	NN	Fem|Gen|Sg	3	gmod	_	-
6	verlegt	verlegen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
7	der	die	ART	ART	Def|Masc|Nom|Sg	8	det	_	(0
8	Staatsminister	Staatsminister	N	NN	Masc|Nom|Sg	6	subj	_	0)
9	im	in	PREP	APPRART	Dat	6	pp	_	-
10	Auswärtigen	auswärtig	ADJA	ADJA	Pos|Neut|Dat|Sg|Wk|	11	attr	_	(1
11	Amt	Amt	N	NN	Neut|Dat|Sg	9	pn	_	-
12	,	,	$,	$,	_	0	root	_	-
13	Helmut	Helmut	N	NE	Neut|Dat|Sg	11	app	_	-
14	Schäfer	Schäfer	N	NE	Neut|Dat|Sg	13	app	_	1)
15	(	(	$(	$(	_	0	root	_	-
16	FDP	FDP	N	NE	Neut|Dat|Sg	14	app	_	-
17	)	)	$(	$(	_	0	root	_	-
18	,	,	$,	$,	_	0	root	_	-
19	seinen	seine	ART	PPOSAT	Masc|_|Sg	20	det	_	(0)
20	Wohnsitz	Wohnsitz	N	NN	Masc|_|Sg	6	obja	_	-
21	Anfang	Anfang	N	NN	Masc|_|_	6	zeit	_	-
22	November	November	N	NN	Masc|_|_	21	app	_	-
23	nach	nach	PREP	APPR	Dat	6	pp	_	-
24	Berlin	Berlin	N	NE	_|Dat|Sg	23	pn	_	-
25	.	.	$.	$.	_	0	root	_	-

1	Gleichzeitig	gleichzeitig	ADV	ADJD	Pos|	2	adv	_	-
2	werde	werden	V	VAFIN	3|Sg|Pres|Subj	0	root	_	-
3	Schäfer	Schäfer	N	NE	_|Nom|Sg	2	subj	_	(1)
4	ein	eine	ART	ART	Indef|Neut|_|Sg	5	det	_	-
5	Büro	Büro	N	NN	Neut|_|Sg	12	obja	_	-
6	in	in	PREP	APPR	Dat	12	pp	_	-
7	der	die	ART	ART	Def|Fem|Dat|Sg	8	det	_	-
8	Außenstelle	Außenstelle	N	NN	Fem|Dat|Sg	6	pn	_	-
9	des	die	ART	ART	Def|Neut|Gen|Sg	11	det	_	-
10	Auswärtigen	auswärtig	ADJA	ADJA	Pos|Neut|Gen|Sg|_|	11	attr	_	-
11	Amtes	Amt	N	NN	Neut|Gen|Sg	8	gmod	_	-
12	beziehen	beziehen	V	VVINF	_	2	aux	_	-
13	.	.	$.	$.	_	0	root	_	-

