1	Ob	ob	KOUS	_	_	2	KONJ	_	_
2	Lewinsky-Affaire	Lewinsky-Affaire	NN	_	_	0	ROOT	_	_
3	,	,	$,	_	_	2	-PUNCT-	_	_
4	deutsches	deutsch	ADJA	_	_	5	ATTR	_	_
5	Beamtentum	Beamtentum	NN	_	_	2	KON	_	_
6	oder	oder	KON	_	_	5	KON	_	_
7	doppelte	doppelt	ADJA	_	_	8	ATTR	_	_
8	Staatsbürgerschaft	Staatsbürgerschaft	NN	_	_	6	CJ	_	_
9	-	-	$(	_	_	8	-PUNCT-	_	_
10	der	der	ART	_	_	11	DET	_	(0
11	Polit-Kabarettist	Polit-Kabarettist	NN	_	_	14	SUBJ	_	_
12	Jürgen	Jürgen	NE	_	_	11	APP	_	_
13	Timm	Timm	NE	_	_	12	APP	_	0)
14	seziert	sezieren	VVFIN	_	_	2	KON	_	_
15	mit	mit	APPR	_	_	14	PP	_	_
16	scharfen	scharf	ADJA	_	_	17	ATTR	_	_
17	Zwischentönen	Zwischenton	NN	_	_	15	PN	_	_
18	.	.	$.	_	_	17	-PUNCT-	_	_

1	Er	er	PPER	_	_	2	SUBJ	_	(0)
2	sprüht	sprühen	VVFIN	_	_	0	ROOT	_	_
3	vor	vor	APPR	_	_	2	OBJP	_	_
4	Anspielungen	Anspielung	NN	_	_	3	PN	_	_
5	,	,	$,	_	_	4	-PUNCT-	_	_
6	Situationskomik	Situationskomik	NN	_	_	4	KON	_	_
7	und	und	KON	_	_	6	KON	_	_
8	gemeinem	gemein	ADJA	_	_	9	ATTR	_	_
9	Humor	Humor	NN	_	_	7	CJ	_	_
10	.	.	$.	_	_	9	-PUNCT-	_	_

1	In	in	APPR	_	_	4	PP	_	_
2	Lebende	lebend	ADJA	_	_	3	ATTR	_	_
3	Beweise	Beweis	NN	_	_	1	PN	_	_
4	kriegen	weg#kriegen	VVFIN	_	_	0	ROOT	_	_
5	alle	alle	PIS	_	_	4	SUBJ	_	_
6	ihr	ihr	PPOSAT	_	_	7	DET	_	_
7	Fett	Fett	NN	_	_	4	OBJA	_	_
8	weg	_	PTKVZ	_	_	4	AVZ	_	_
9	.	.	$.	_	_	8	-PUNCT-	_	_

1	Aktuelle	aktuell	ADJA	_	_	2	ATTR	_	_
2	Zielscheibe	Zielscheibe	NN	_	_	3	SUBJ	_	_
3	ist	sein	VAFIN	_	_	0	ROOT	_	_
4	der	der	ART	_	_	5	DET	_	_
5	Krieg	Krieg	NN	_	_	3	PRED	_	_
6	im	in	APPRART	_	_	5	PP	_	_
7	Kosovo	Kosovo	NE	_	_	6	PN	_	_
8	und	und	KON	_	_	5	KON	_	_
9	die	die	ART	_	_	10	DET	_	_
10	Verrücktheit	Verrücktheit	NN	_	_	8	CJ	_	_
11	weltpolitischer	weltpolitisch	ADJA	_	_	12	ATTR	_	_
12	Entscheidungen	Entscheidung	NN	_	_	10	GMOD	_	_
13	.	.	$.	_	_	12	-PUNCT-	_	_

1	Der	der	ART	_	_	3	DET	_	_
2	weinerliche	weinerlich	ADJA	_	_	3	ATTR	_	_
3	Tonfall	Tonfall	NN	_	_	4	SUBJ	_	_
4	tarnt	tarnen	VVFIN	_	_	0	ROOT	_	_
5	dabei	dabei	PROP	_	_	4	PP	_	_
6	die	der	ART	_	_	8	DET	_	_
7	bösen	böse	ADJA	_	_	8	ATTR	_	_
8	Texte	Text	NN	_	_	4	OBJA	_	_
9	,	,	$,	_	_	8	-PUNCT-	_	_
10	temporeiche	temporeich	ADJA	_	_	11	ATTR	_	_
11	Gesangseinlagen	Gesangseinlage	NN	_	_	12	SUBJ	_	_
12	lockern	auf#lockern	VVFIN	_	_	4	KON	_	_
13	auf	_	PTKVZ	_	_	12	AVZ	_	_
14	.	.	$.	_	_	13	-PUNCT-	_	_

