1	Wie	wie	KOKOM	KOKOM	_	4	kom	_	-
2	bereits	bereits	ADV	ADV	_	3	adv	_	-
3	1992	1992	CARD	CARD	_	1	cj	_	-
4	tummeln	tummeln	V	VVFIN	3|Pl|Pres|_	0	root	_	-
5	sich	sie	PRO	PRF	3|_|_	4	obja	_	-
6	auch	auch	ADV	ADV	_	4	adv	_	-
7	diesmal	diesmal	ADV	ADV	_	4	adv	_	-
8	wieder	wieder	ADV	ADV	_	4	adv	_	-
9	die	die	ART	ART	Def|_|_|_	17	det	_	-
10	rechtsextremistischen	rechtsextremistisch	ADJA	ADJA	Pos|_|Nom|Pl|Wk|	17	attr	_	-
11	"	"	$(	$(	_	0	root	_	-
12	Nationalen	national	ADJA	ADJA	Pos|_|Nom|Pl|Wk|	17	attr	_	-
13	"	"	$(	$(	_	0	root	_	-
14	am	am	PTKA	PTKA	_	15	adv	_	-
15	äußersten	äußersten	ADV	ADJD	_	16	adv	_	-
16	rechten	recht	ADJA	ADJA	Pos|_|Nom|Pl|Wk|	17	attr	_	-
17	Rand	Rand	N	NN	_|Nom|Pl	4	subj	_	-
18	.	.	$.	$.	_	0	root	_	-

1	Obwohl	obwohl	KOUS	KOUS	_	19	konj	_	-
2	die	die	ART	ART	Def|Fem|Nom|Sg	3	det	_	-
3	Sammlungsbewegung	Sammlungsbewegung	N	NN	Fem|Nom|Sg	19	subj	_	-
4	,	,	$,	$,	_	0	root	_	-
5	zu	zu	PREP	APPR	Dat	12	objp	_	-
6	deren	die	ART	PRELAT	Masc|Dat|_	7	det	_	-
7	Unterstützern	Unterstützer	N	NN	Masc|Dat|_	5	pn	_	-
8	Mitglieder	Mitglied	N	NN	Neut|Nom|Pl	12	subj	_	(0
9	der	die	ART	ART	Def|_|Gen|_	11	det	_	-
10	verbotenen	verboten	ADJA	ADJA	Pos|_|Gen|_|Wk|	11	attr	_	-
11	FAP	FAP	N	NN	_|Gen|_	8	gmod	_	0)
12	gehören	gehören	V	VVFIN	3|Pl|Pres|_	3	rel	_	-
13	,	,	$,	$,	_	0	root	_	-
14	großspurig	großspurig	ADV	ADJD	Pos|	19	adv	_	-
15	die	die	ART	ART	Def|Fem|_|Sg	16	det	_	-
16	Aufstellung	Aufstellung	N	NN	Fem|_|Sg	19	obja	_	-
17	einer	eine	ART	ART	Indef|Fem|Gen|Sg	18	det	_	-
18	Landesliste	Landesliste	N	NN	Fem|Gen|Sg	16	gmod	_	-
19	bekanntgab	bekanntgeben	V	VVFIN	3|Sg|Past|Ind	21	neb	_	-
20	,	,	$,	$,	_	0	root	_	-
21	schafften	schaffen	V	VVFIN	3|Pl|Past|_	0	root	_	-
22	sie	sie	PRO	PPER	3|Pl|_|Nom	21	subj	_	(0)
23	es	es	PRO	PPER	3|Sg|Neut|_	21	obja	_	-
24	nur	nur	ADV	ADV	_	21	adv	_	-
25	in	in	PREP	APPR	Dat	21	pp	_	-
26	zwei	zwei	CARD	CARD	_	27	attr	_	-
27	Wahlkreisen	Wahlkreis	N	NN	Masc|Dat|Pl	25	pn	_	-
28	in	in	PREP	APPR	_	27	pp	_	-
29	Treptow	Treptow	N	NE	Neut|_|Sg	28	pn	_	-
30	und	und	KON	KON	_	29	kon	_	-
31	Tiergarten	Tiergarten	N	NN	Masc|_|Sg	30	cj	_	-
32	,	,	$,	$,	_	0	root	_	-
33	Kandidaten	Kandidat	N	NN	Masc|_|_	34	obja	_	-
34	aufzustellen	aufstellen	V	VVIZU	_	21	obji	_	-
35	.	.	$.	$.	_	0	root	_	-

1	Ähnlich	ähnlich	ADV	ADJD	Pos|	2	adv	_	-
2	dürftig	dürftig	ADV	ADJD	Pos|	3	pred	_	-
3	sieht	sehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
4	es	es	PRO	PPER	3|Sg|Neut|Nom	3	subj	_	-
5	bei	bei	PREP	APPR	Dat	3	pp	_	-
6	der	die	ART	ART	Def|Fem|Dat|Sg	7	det	_	(1
7	Bürgerrechtsbewegung	Bürgerrechtsbewegung	N	NN	Fem|Dat|Sg	5	pn	_	-
8	Solidarität	Solidarität	N	NN	Fem|Dat|Sg	7	app	_	1)
9	aus	aus	PTKVZ	PTKVZ	_	3	avz	_	-
10	,	,	$,	$,	_	0	root	_	-
11	hinter	hinter	PREP	APPR	Dat	22	pp	_	-
12	der	die	PRO	PRELS	Fem|Dat|Sg	11	pn	_	(1)
13	sich	sie	PRO	PRF	3|_|_	22	obja	_	-
14	die	die	ART	ART	Def|Fem|Nom|Sg	16	det	_	-
15	sektenartige	sektenartig	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	16	attr	_	-
16	Organisation	Organisation	N	NN	Fem|Nom|Sg	22	subj	_	-
17	der	die	ART	ART	Def|_|Gen|_	18	det	_	-
18	Chefideologin	Chefideologin	N	NE	_|Gen|_	16	gmod	_	-
19	Helga	Helga	N	NE	_|Gen|_	18	app	_	-
20	Zepp-La	Zepp-La	N	NE	_|Gen|_	19	app	_	-
21	Rouche	Rouche	N	NE	_|Gen|_	20	app	_	-
22	verbirgt	verbergen	V	VVFIN	3|Sg|Pres|Ind	8	rel	_	-
23	(	(	$(	$(	_	0	root	_	-
24	siehe	siehe	V	VVIMP	_	22	par	_	-
25	Seite	Seite	N	NN	Fem|_|Sg	24	obja	_	-
26	24	24	CARD	CARD	_	25	app	_	-
27	)	)	$(	$(	_	0	root	_	-
28	.	.	$.	$.	_	0	root	_	-

1	Im	in	PREP	APPRART	Dat	4	pp	_	-
2	rechtskonservativen	rechtskonservativ	ADJA	ADJA	Pos|Neut|Dat|Sg|Wk|	3	attr	_	-
3	Lager	Lager	N	NN	Neut|Dat|Sg	1	pn	_	-
4	tummeln	tummeln	V	VVFIN	3|Pl|Pres|_	0	root	_	-
5	sich	sie	PRO	PRF	3|_|_	4	obja	_	-
6	gleich	gleich	ADV	ADV	_	4	adv	_	-
7	mehrere	mehrere	ART	PIAT	Fem|Nom|Pl	8	det	_	-
8	Kleinstparteien	Kleinstpartei	N	NN	Fem|Nom|Pl	4	subj	_	-
9	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|Nom|Sg	3	det	_	-
2	Ökologisch-Demokratische	Ökologisch-demokratisch	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	3	attr	_	-
3	Partei	Partei	N	NN	Fem|Nom|Sg	12	subj	_	-
4	(	(	$(	$(	_	0	root	_	-
5	ÖDP	ÖDP	N	NE	Fem|Nom|Sg	3	app	_	-
6	)	)	$(	$(	_	0	root	_	-
7	,	,	$,	$,	_	0	root	_	-
8	stramm	stramm	ADV	ADJD	Pos|	9	adv	_	-
9	auf	auf	PREP	APPR	_	3	pp	_	-
10	Anti-Abtreibungs-Kurs	Anti-Abtreibungs-Kurs	N	NN	Masc|_|Sg	9	pn	_	-
11	,	,	$,	$,	_	0	root	_	-
12	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
13	mit	mit	PREP	APPR	Dat	12	pp	_	-
14	einer	eine	ART	ART	Indef|Fem|Dat|Sg	15	det	_	-
15	Landesliste	Landesliste	N	NN	Fem|Dat|Sg	13	pn	_	-
16	ins	in	PREP	APPRART	Acc	12	objp	_	-
17	Rennen	Rennen	N	NN	Neut|Acc|_	16	pn	_	-
18	,	,	$,	$,	_	0	root	_	-
19	schaffte	schaffen	V	VVFIN	_|Sg|Past|_	12	kon	_	-
20	es	es	PRO	PPER	3|Sg|Neut|_	19	obja	_	-
21	aber	aber	ADV	ADV	_	19	adv	_	-
22	mangels	mangels	PREP	APPR	Dat	19	pp	_	-
23	Personal	Personal	N	NN	Neut|Dat|Sg	22	pn	_	-
24	nur	nur	ADV	ADV	_	19	adv	_	-
25	zur	zu	PREP	APPRART	Dat	19	pp	_	-
26	Aufstellung	Aufstellung	N	NN	Fem|Dat|Sg	25	pn	_	-
27	von	von	PREP	APPR	_	26	pp	_	-
28	Wahlkreisbewerbern	Wahlkreisbewerber	N	NN	Masc|_|_	27	pn	_	-
29	in	in	PREP	APPR	_	19	pp	_	-
30	8	8	CARD	CARD	_	29	pn	_	-
31	der	die	ART	ART	Def|Masc|Gen|Pl	34	det	_	-
32	24	24	CARD	CARD	_	34	attr	_	-
33	Berliner	Berliner	ADJA	ADJA	Pos|Masc|Gen|Pl|_|	34	attr	_	-
34	Bezirke	Bezirk	N	NN	Masc|Gen|Pl	30	gmod	_	-
35	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|Nom|Sg	9	det	_	(2
2	zu	zu	PREP	APPR	Dat	8	pp	_	-
3	Wendezeiten	Wendezeit	N	NN	Fem|Dat|Pl	2	pn	_	-
4	von	von	PREP	APPR	_	3	pp	_	-
5	der	die	ART	ART	Def|_|_|_	7	det	_	-
6	bayerischen	bayerisch	ADJA	ADJA	Pos|_|_|_|Wk|	7	attr	_	-
7	CSU	CSU	N	NE	_|_|_	4	pn	_	-
8	gestützte	gestützt	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	9	attr	_	-
9	Deutsche	Deutsche	N	NN	Fem|Nom|Sg	15	subj	_	-
10	Soziale	sozial	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	11	attr	_	-
11	Union	Union	N	NN	Fem|Nom|Sg	9	app	_	-
12	(	(	$(	$(	_	0	root	_	-
13	DSU	DSU	N	NE	Fem|Nom|Sg	11	app	_	2)
14	)	)	$(	$(	_	0	root	_	-
15	will	wollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	-
16	wieder	wieder	ADV	ADV	_	22	adv	_	-
17	einmal	einmal	ADV	ADV	_	22	adv	_	-
18	ihre	ihre	ART	PPOSAT	Fem|_|Sg	19	det	_	(2)
19	Bedeutungslosigkeit	Bedeutungslosigkeit	N	NN	Fem|_|Sg	22	obja	_	-
20	unter	unter	PREP	APPR	_	22	objp	_	-
21	Beweis	Beweis	N	NN	Masc|_|Sg	20	pn	_	-
22	stellen	stellen	V	VVINF	_	15	aux	_	-
23	:	\:	$.	$.	_	0	root	_	-
24	In	in	PREP	APPR	_	26	pp	_	-
25	Reinickendorf	Reinickendorf	N	NN	Neut|_|Sg	24	pn	_	-
26	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
27	ein	eine	ART	ART	Indef|Masc|Nom|Sg	28	det	_	-
28	Wahlkreiskandidat	Wahlkreiskandidat	N	NN	Masc|Nom|Sg	26	subj	_	-
29	ins	in	PREP	APPRART	Acc	26	objp	_	-
30	aussichtslose	aussichtslos	ADJA	ADJA	Pos|Neut|Acc|_|_|	31	attr	_	-
31	Rennen	Rennen	N	NN	Neut|Acc|_	29	pn	_	-
32	,	,	$,	$,	_	0	root	_	-
33	in	in	PREP	APPR	_	37	pp	_	-
34	Hellersdorf	Hellersdorf	N	NE	Neut|_|Sg	33	pn	_	-
35	und	und	KON	KON	_	34	kon	_	-
36	Lichtenberg	Lichtenberg	N	NN	Masc|_|Sg	35	cj	_	-
37	sind	sein	V	VAFIN	_|Pl|Pres|Ind	26	kon	_	-
38	es	es	PRO	PPER	3|Sg|Neut|Nom	37	subj	_	-
39	immerhin	immerhin	ADV	ADV	_	37	adv	_	-
40	acht	acht	CARD	CARD	_	37	objd	_	-
41	.	.	$.	$.	_	0	root	_	-

1	Der	die	ART	ART	Def|Fem|Dat|Sg	2	det	_	-
2	Rettung	Rettung	N	NN	Fem|Dat|Sg	6	objd	_	-
3	der	die	ART	ART	Def|Fem|Gen|Sg	5	det	_	-
4	deutschen	deutsch	ADJA	ADJA	Pos|Fem|Gen|Sg|Wk|	5	attr	_	-
5	Mark	Mark	N	NN	Fem|Gen|Sg	2	gmod	_	-
6	fühlt	fühlen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
7	sich	sie	PRO	PRF	3|_|_	6	obja	_	-
8	der	die	ART	ART	Def|Masc|Nom|Sg	9	det	_	(3
9	Bürgerbund	Bürgerbund	N	NN	Masc|Nom|Sg	6	subj	_	3)
10	mit	mit	PREP	APPR	Dat	6	pp	_	-
11	seiner	seine	ART	PPOSAT	Fem|Dat|Sg	12	det	_	(3)
12	Landesliste	Landesliste	N	NN	Fem|Dat|Sg	10	pn	_	-
13	verpflichtet	verpflichten	V	VVPP	_	6	neb	_	-
14	.	.	$.	$.	_	0	root	_	-

1	Auch	auch	ADV	ADV	_	2	adv	_	-
2	hier	hier	ADV	ADV	_	3	adv	_	-
3	herrscht	herrschen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
4	Personalmangel	Personalmangel	N	NN	_|Nom|Sg	3	subj	_	-
5	:	\:	$.	$.	_	0	root	_	-
6	Lediglich	lediglich	ADV	ADV	_	7	adv	_	-
7	in	in	PREP	APPR	Dat	10	pp	_	-
8	vier	vier	CARD	CARD	_	9	attr	_	-
9	Bezirken	Bezirk	N	NN	Masc|Dat|Pl	7	pn	_	-
10	wurden	werden	V	VAFIN	3|Pl|Past|Ind	0	root	_	-
11	Wahlkreisbewerber	Wahlkreisbewerber	N	NN	Masc|Nom|Pl	10	subj	_	-
12	aufgestellt	aufstellen	V	VVPP	_	10	aux	_	-
13	.	.	$.	$.	_	0	root	_	-

1	Bahn	Bahn	N	NN	Fem|_|Sg	0	root	_	-
2	frei	frei	ADV	ADJD	Pos|	3	adv	_	-
3	auf	auf	PREP	APPR	Dat	1	pp	_	-
4	der	die	ART	ART	Def|Fem|Dat|Sg	6	det	_	-
5	rechten	recht	ADJA	ADJA	Pos|Fem|Dat|Sg|Wk|	6	attr	_	-
6	Spur	Spur	N	NN	Fem|Dat|Sg	3	pn	_	-
7	-	-	$(	$(	_	0	root	_	-
8	unter	unter	PREP	APPR	Dat	22	objp	_	-
9	diesem	diese	ART	PDAT	Neut|Dat|Sg	10	det	_	-
10	Motto	Motto	N	NN	Neut|Dat|Sg	8	pn	_	-
11	könnte	können	V	VMFIN	3|Sg|Past|Subj	0	root	_	-
12	der	die	ART	ART	Def|Masc|Nom|Sg	13	det	_	-
13	Wahlslogan	Wahlslogan	N	NN	Masc|Nom|Sg	11	subj	_	-
14	der	die	ART	ART	Def|_|_|_	15	det	_	-
15	Autofahrer-	Autofahrer-	TRUNC	TRUNC	Fem|_|Sg	13	gmod	_	-
16	und	und	KON	KON	_	15	kon	_	-
17	Bürgerinteressenpartei	Bürgerinteressenpartei	N	NN	Fem|_|Sg	16	cj	_	-
18	Deutschlands	Deutschland	N	NE	Neut|Gen|Sg	15	gmod	_	-
19	(	(	$(	$(	_	0	root	_	-
20	APD	APD	N	NE	Masc|Nom|Sg	13	app	_	-
21	)	)	$(	$(	_	0	root	_	-
22	stehen	stehen	V	VVINF	_	11	aux	_	-
23	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Masc|Nom|Pl	2	det	_	-
2	Höchstgeschwindigkeitsfans	Höchstgeschwindigkeitsfan	N	NN	Masc|Nom|Pl	3	subj	_	-
3	werden	werden	V	VAFIN	3|Pl|Pres|_	0	root	_	-
4	mit	mit	PREP	APPR	Dat	13	pp	_	-
5	allergrößter	allergroß	ADJA	ADJA	Sup|Fem|Dat|Sg|St|	6	attr	_	-
6	Wahrscheinlichkeit	Wahrscheinlichkeit	N	NN	Fem|Dat|Sg	4	pn	_	-
7	mit	mit	PREP	APPR	Dat	13	pp	_	-
8	einer	eine	ART	ART	Indef|Fem|Dat|Sg	9	det	_	-
9	Landesliste	Landesliste	N	NN	Fem|Dat|Sg	7	pn	_	-
10	am	an	PREP	APPRART	Dat	13	pp	_	-
11	Berliner	Berliner	ADJA	ADJA	Pos|Neut|Dat|Sg|_|	12	attr	_	-
12	Abgeordnetenhaus	Abgeordnetenhaus	N	NN	Neut|Dat|Sg	10	pn	_	-
