1	Als	Als	KOUS	KOUS	_	15	konj	_	-
2	der	die	ART	ART	Def|Masc|Nom|Sg	3	det	_	-
3	Direktor	Direktor	N	NN	Masc|Nom|Sg	15	subj	_	-
4	des	die	ART	ART	Def|Neut|Gen|Sg	5	det	_	-
5	Gymnasiums	Gymnasium	N	NN	Neut|Gen|Sg	3	gmod	_	-
6	im	in	PREP	APPRART	Dat	15	pp	_	-
7	fränkischen	fränkisch	ADJA	ADJA	Pos|Masc|Dat|Sg|Wk|	8	attr	_	-
8	Ebersberg	Ebersberg	N	NN	Masc|Dat|Sg	6	pn	_	-
9	nach	nach	PREP	APPR	Dat	15	pp	_	-
10	den	die	ART	ART	Def|_|Dat|Pl	11	det	_	(0
11	Ferien	Ferien	N	NN	_|Dat|Pl	9	pn	_	0)
12	die	die	ART	ART	Def|Fem|_|Sg	13	det	_	-
13	Schule	Schule	N	NN	Fem|_|Sg	15	obja	_	-
14	wieder	wieder	ADV	ADV	_	15	adv	_	-
15	aufsperrte	aufsperren	V	VVFIN	3|Sg|Past|_	17	neb	_	-
16	,	,	$,	$,	_	0	root	_	-
17	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	-
18	sie	sie	PRO	PPER	3|Pl|_|Nom	17	subj	_	(0)
19	weg	weg	PTKVZ	PTKVZ	_	17	avz	_	-
20	.	.	$.	$.	_	0	root	_	-

1	Kein	keine	ART	PIAT	_|Nom|Sg	2	det	_	(1
2	Balkensepp	Balkensepp	N	NN	_|Nom|Sg	3	subj	_	1)
3	hing	hängen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
4	mehr	mehr	ADV	ADV	_	3	adv	_	-
5	an	an	PREP	APPR	Dat	3	objp	_	-
6	seiner	seine	ART	PPOSAT	Fem|Dat|Sg	7	det	_	(1)
7	Wand	Wand	N	NN	Fem|Dat|Sg	5	pn	_	-
8	.	.	$.	$.	_	0	root	_	-

1	Statt	statt	PREP	APPR	Gen	3	pp	_	-
2	dessen	die	PRO	PDS	_|Gen|Sg	1	pn	_	-
3	grüßten	grüßen	V	VVFIN	3|Pl|Past|_	0	root	_	-
4	Symbole	Symbol	N	NN	Neut|Nom|Pl	3	subj	_	-
5	aus	aus	PREP	APPR	Dat	3	pp	_	-
6	manchen	manche	ART	PIAT	Fem|Dat|Pl	7	det	_	-
7	Religionen	Religion	N	NN	Fem|Dat|Pl	5	pn	_	-
8	und	und	KON	KON	_	7	kon	_	-
9	Glaubensrichtungen	Glaubensrichtung	N	NN	Fem|Dat|Pl	8	cj	_	-
10	:	\:	$.	$.	_	0	root	_	-
11	Koransprüche	Koranspruch	N	NN	Masc|_|Pl	0	root	_	-
12	,	,	$,	$,	_	0	root	_	-
13	Ying-	Ying-	TRUNC	TRUNC	Neut|_|_	11	kon	_	-
14	und	und	KON	KON	_	13	kon	_	-
15	Yang-Zeichen	Yang-Zeichen	N	NN	Neut|_|_	14	cj	_	-
16	,	,	$,	$,	_	0	root	_	-
17	Zitate	Zitat	N	NN	Neut|_|Pl	15	kon	_	-
18	von	von	PREP	APPR	_	17	pp	_	-
19	Rosa	Rosa	N	NE	_|_|Sg	18	pn	_	-
20	Luxemburg	Luxemburg	N	NE	_|_|Sg	19	app	_	-
21	,	,	$,	$,	_	0	root	_	-
22	handkolorierte	handkoloriert	ADJA	ADJA	Pos|Neut|_|_|_|	23	attr	_	-
23	Friedenstäubchen	Friedenstäubchen	N	NN	Neut|_|_	15	app	_	-
24	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|Nom|Sg	2	det	_	-
2	Polizei	Polizei	N	NN	Fem|Nom|Sg	3	subj	_	-
3	suchte	suchen	V	VVFIN	3|Sg|Past|_	0	root	_	-
4	und	und	KON	KON	_	3	kon	_	-
5	fand	finden	V	VVFIN	_|Sg|Past|Ind	4	cj	_	-
6	keinen	keine	ART	PIAT	Masc|Acc|Sg	7	det	_	-
