1	Es	es	PRO	PPER	3|Sg|Neut|Nom	2	subj	_	-
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
3	absurd	absurd	ADV	ADJD	Pos|	2	pred	_	-
4	:	\:	$.	$.	_	0	root	_	-
5	Niemals	niemals	ADV	ADV	_	6	adv	_	-
6	zuvor	zuvor	ADV	ADV	_	7	adv	_	-
7	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	-
8	in	in	PREP	APPR	Dat	7	pp	_	-
9	der	die	ART	ART	Def|Fem|Dat|Sg	10	det	_	-
10	Menschheitsgeschichte	Menschheitsgeschichte	N	NN	Fem|Dat|Sg	8	pn	_	-
11	so	so	ADV	ADV	_	12	adv	_	-
12	wenige	wenige	ART	PIDAT	Fem|Nom|Pl	13	det	_	-
13	Arbeitskräfte	Arbeitskraft	N	NN	Fem|Nom|Pl	7	subj	_	-
14	nötig	nötig	ADV	ADJD	Pos|	7	pred	_	-
15	,	,	$,	$,	_	0	root	_	-
16	um	um	KOUI	KOUI	_	26	konj	_	-
17	die	die	ART	ART	Def|Neut|_|Pl	22	det	_	-
18	für	für	PREP	APPR	Acc	21	pp	_	-
19	die	die	ART	ART	Def|Fem|Acc|Sg	20	det	_	-
20	Weltbevölkerung	Weltbevölkerung	N	NN	Fem|Acc|Sg	18	pn	_	-
21	notwendigen	notwendig	ADJA	ADJA	Pos|Neut|_|Pl|Wk|	22	attr	_	-
22	Produkte	Produkt	N	NN	Neut|_|Pl	26	obja	_	-
23	und	und	KON	KON	_	22	kon	_	-
24	Dienstleistungen	Dienstleistung	N	NN	_|_|_	23	cj	_	-
25	zu	zu	PTKZU	PTKZU	_	26	part	_	-
26	erbringen	erbringen	V	VVINF	_	7	neb	_	-
27	.	.	$.	$.	_	0	root	_	-

1	Und	und	KON	KON	_	0	root	_	-
2	trotzdem	trotzdem	PROAV	PROAV	_	3	pp	_	-
3	führt	führen	V	VVFIN	3|Sg|Pres|Ind	1	cj	_	-
4	das	die	ART	ART	Def|Neut|Nom|Sg	6	det	_	-
5	globale	global	ADJA	ADJA	Pos|Neut|Nom|Sg|Wk|	6	attr	_	-
6	Wettrennen	Wettrennen	N	NN	Neut|Nom|Sg	3	subj	_	-
7	nicht	nicht	PTKNEG	PTKNEG	_	8	adv	_	-
8	zu	zu	PREP	APPR	Dat	3	objp	_	-
9	menschlicheren	menschlich	ADJA	ADJA	Comp|Fem|Dat|Pl|_|	10	attr	_	-
10	Lebensbedingungen	Lebensbedingung	N	NN	Fem|Dat|Pl	8	pn	_	-
11	,	,	$,	$,	_	0	root	_	-
12	sondern	sondern	KON	KON	_	8	kon	_	-
13	zu	zu	PREP	APPR	Dat	12	cj	_	-
14	Massenarbeitslosigkeit	Massenarbeitslosigkeit	N	NN	Fem|Dat|Sg	13	pn	_	-
15	und	und	KON	KON	_	14	kon	_	-
16	sozialen	sozial	ADJA	ADJA	Pos|Fem|Dat|Pl|_|	17	attr	_	-
17	Spannungen	Spannung	N	NN	Fem|Dat|Pl	15	cj	_	-
18	weltweit	weltweit	ADV	ADJD	Pos|	3	adv	_	-
19	.	.	$.	$.	_	0	root	_	-

1	Der	die	ART	ART	Def|Masc|Nom|Sg	2	det	_	(0
2	US-Journalist	US-Journalist	N	NN	Masc|Nom|Sg	5	subj	_	-
3	Jeremy	Jeremy	N	NE	Masc|Nom|Sg	2	app	_	-
4	Rifkin	Rifkin	N	NE	Masc|Nom|Sg	3	app	_	0)
5	analysiert	analysieren	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
6	in	in	PREP	APPR	Dat	5	pp	_	-
7	seinem	seine	ART	PPOSAT	_|Dat|Sg	6	pn	_	(0)
8	jetzt	jetzt	ADV	ADV	_	6	adv	_	-
9	auf	auf	PREP	APPR	Dat	5	pp	_	-
10	deutsch	deutsch	ADV	ADJD	Pos|	11	adv	_	-
11	erschienenen	erschienen	ADJA	ADJA	Pos|Neut|Dat|Sg|Wk|	12	attr	_	-
12	Werk	Werk	N	NN	Neut|Dat|Sg	9	pn	_	-
13	"	"	$(	$(	_	0	root	_	-
14	Das	die	ART	ART	Def|Neut|_|Sg	15	det	_	(3
15	Ende	Ende	N	NN	Neut|_|Sg	5	obja	_	-
16	der	die	ART	ART	Def|Fem|Gen|Sg	17	det	_	(1
17	Arbeit	Arbeit	N	NN	Fem|Gen|Sg	15	gmod	_	1)|3)
18	und	und	KON	KON	_	15	kon	_	-
19	ihre	ihre	ART	PPOSAT	Fem|_|Sg	20	det	_	(1)
20	Zukunft	Zukunft	N	NN	Fem|_|Sg	18	cj	_	-
21	"	"	$(	$(	_	0	root	_	-
22	neue	neu	ADJA	ADJA	Pos|Fem|_|Pl|St|	23	attr	_	-
23	Möglichkeiten	Möglichkeit	N	NN	Fem|_|Pl	20	app	_	-
24	,	,	$,	$,	_	0	root	_	-
25	wie	wie	PWAV	PWAV	_	37	adv	_	-
26	die	die	ART	ART	Def|Fem|Nom|Sg	29	det	_	-
27	"	"	$(	$(	_	0	root	_	-
28	Dritte	dritt	ADJA	ADJA	_|Fem|Nom|Sg|_|	29	attr	_	-
29	Industrielle	Industriell	N	NN	Fem|Nom|Sg	38	subj	_	-
30	Revolution	Revolution	N	NN	Fem|Nom|Sg	29	app	_	-
31	"	"	$(	$(	_	0	root	_	-
32	doch	doch	ADV	ADV	_	37	adv	_	-
33	noch	noch	ADV	ADV	_	37	adv	_	-
34	einen	eine	ART	ART	Indef|Masc|Acc|Sg	36	det	_	-
35	guten	gut	ADJA	ADJA	Pos|Masc|Acc|Sg|_|	36	attr	_	-
36	Ausgang	Ausgang	N	NN	Masc|Acc|Sg	37	obja	_	-
37	nehmen	nehmen	V	VVINF	_	38	aux	_	-
38	könnte	können	V	VMFIN	3|Sg|Past|Subj	23	objc	_	-
39	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|Nom|Sg	2	det	_	-
2	Automation	Automation	N	NN	Fem|Nom|Sg	3	subj	_	-
3	sei	sein	V	VAFIN	3|Sg|Pres|Subj	0	root	_	-
4	nicht	nicht	PTKNEG	PTKNEG	_	6	adv	_	-
5	mehr	mehr	ADV	ADV	_	4	adv	_	-
6	aufzuhalten	aufhalten	V	VVIZU	_	3	aux	_	-
7	,	,	$,	$,	_	0	root	_	-
8	ist	sein	V	VAFIN	3|Sg|Pres|Ind	6	s	_	-
9	Rifkin	Rifkin	N	NN	_|Nom|Sg	8	subj	_	(0)
10	überzeugt	überzeugen	V	VVPP	_	8	aux	_	-
11	.	.	$.	$.	_	0	root	_	-

1	Aber	aber	KON	KON	_	0	root	_	-
2	durch	durch	PREP	APPR	Acc	5	pp	_	-
3	vernünftiges	vernünftig	ADJA	ADJA	Pos|Neut|Acc|Sg|St|	4	attr	_	-
4	Gegensteuern	Gegensteuer	N	NN	Neut|Acc|Sg	2	pn	_	-
5	könnten	können	V	VMFIN	3|Pl|Past|Subj	1	cj	_	-
6	die	die	ART	ART	Def|_|Nom|Pl	7	det	_	-
7	Länder	Land	N	NN	_|Nom|Pl	5	subj	_	-
8	die	die	ART	ART	Def|Fem|_|Sg	9	det	_	-
9	Aufspaltung	Aufspaltung	N	NN	Fem|_|Sg	12	obja	_	-
10	der	die	ART	ART	Def|Fem|Gen|Sg	11	det	_	-
11	Gesellschaft	Gesellschaft	N	NN	Fem|Gen|Sg	9	gmod	_	-
12	verhindern	verhindern	V	VVINF	_	5	aux	_	-
13	.	.	$.	$.	_	0	root	_	-

1	In	in	PREP	APPR	Dat	4	pp	_	-
2	seiner	seine	ART	PPOSAT	Fem|Dat|Sg	3	det	_	(0)
3	Utopie	Utopie	N	NN	Fem|Dat|Sg	1	pn	_	-
4	entwirft	entwerfen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
5	Rifkin	Rifkin	N	NN	_|Nom|Sg	4	subj	_	(0)
6	einen	eine	ART	ART	Indef|Masc|Acc|Sg	9	det	_	-
7	"	"	$(	$(	_	0	root	_	-
8	neuen	neu	ADJA	ADJA	Pos|Masc|Acc|Sg|_|	9	attr	_	-
9	Gesellschaftsvertrag	Gesellschaftsvertrag	N	NN	Masc|Acc|Sg	4	obja	_	-
10	"	"	$(	$(	_	0	root	_	-
11	.	.	$.	$.	_	0	root	_	-

1	Zu	zu	PREP	APPR	Dat	3	objp	_	-
2	diesem	diese	PRO	PDS	_|Dat|Sg	1	pn	_	-
3	gehören	gehören	V	VVFIN	3|Pl|Pres|_	0	root	_	-
