1	Polizisten	Polizist	N	NN	Masc|_|Pl	17	vok	_	(0
2	,	,	$,	$,	_	0	root	_	-
3	die	die	PRO	PRELS	Masc|Nom|Pl	6	subj	_	(0)
4	auf	auf	PREP	APPR	_	6	objp	_	-
5	Bürger	Bürger	N	NN	Masc|Acc|Pl	4	pn	_	(1
6	einprügeln	einprügeln	V	VVFIN	3|Pl|Pres|_	1	rel	_	-
7	,	,	$,	$,	_	0	root	_	-
8	die	die	PRO	PRELS	Masc|Nom|Pl	14	subj	_	(1)
9	friedlich	friedlich	ADV	ADJD	Pos|	14	adv	_	-
10	gegen	gegen	PREP	APPR	Acc	14	pp	_	-
11	Staats-	Staats-	TRUNC	TRUNC	_	10	pn	_	-
12	und	und	KON	KON	_	11	kon	_	-
13	Parteifunktionäre	Parteifunktionäre	N	NE	_	12	cj	_	-
14	demonstrieren	demonstrieren	V	VVFIN	3|Pl|Pres|_	5	rel	_	0)|1)
15	,	,	$,	$,	_	0	root	_	-
16	das	die	PRO	PDS	Neut|_|Sg	17	obja	_	-
17	haben	haben	V	VAFIN	1|Pl|Pres|_	0	root	_	-
18	wir	wir	PRO	PPER	1|Pl|_|Nom	17	subj	_	-
19	noch	noch	ADV	ADV	_	17	adv	_	-
20	gut	gut	ADV	ADJD	Pos|	17	adv	_	-
21	von	von	PREP	APPR	Dat	17	pp	_	-
22	den	die	ART	ART	Def|Masc|Dat|Pl	24	det	_	-
23	letzten	letzte	ADJA	ADJA	Pos|Masc|Dat|Pl|_|	24	attr	_	-
24	Tagen	Tag	N	NN	Masc|Dat|Pl	21	pn	_	-
25	des	die	ART	ART	Def|Neut|Gen|Sg	26	det	_	-
26	SED-Regimes	SED-Regime	N	NN	Neut|Gen|Sg	24	gmod	_	-
27	in	in	PREP	APPR	_	17	pp	_	-
28	Erinnerung	Erinnerung	N	NN	Fem|_|Sg	27	pn	_	-
29	.	.	$.	$.	_	0	root	_	-

1	Es	es	PRO	PPER	3|Sg|Neut|Nom	2	subj	_	-
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
3	Bayern	Bayern	N	NE	Neut|Dat|Sg	6	objd	_	(2)
4	nur	nur	ADV	ADV	_	6	adv	_	-
5	zu	zu	PTKZU	PTKZU	_	6	part	_	-
6	wünschen	wünschen	V	VVINF	_	2	aux	_	-
7	,	,	$,	$,	_	0	root	_	-
8	daß	daß	KOUS	KOUS	_	19	konj	_	-
9	die	die	ART	ART	Def|Masc|Nom|Pl	11	det	_	-
10	geistigen	geistig	ADJA	ADJA	Pos|Masc|Nom|Pl|Wk|	11	attr	_	-
11	Urheber	Urheber	N	NN	Masc|Nom|Pl	19	subj	_	-
12	dieser	diese	ART	PDAT	Fem|Gen|Sg	13	det	_	-
13	Prügelorgie	Prügelorgie	N	NN	Fem|Gen|Sg	11	gmod	_	-
14	auch	auch	ADV	ADV	_	18	adv	_	-
15	bald	bald	ADV	ADV	_	18	adv	_	-
16	vom	von	PREP	APPRART	Dat	18	pp	_	-
17	Leben	Leben	N	NN	Neut|Dat|_	16	pn	_	-
18	bestraft	bestrafen	V	VVPP	_	19	aux	_	-
19	werden	werden	V	VAFIN	3|Pl|Pres|_	6	objc	_	-
20	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Hartes	hart	ADJA	ADJA	Pos|Neut|Nom|Sg|St|	3	attr	_	-
3	Hinlangen	Hinlangen	N	NN	Neut|Nom|Sg	4	subj	_	-
