1	Als	als	KOKOM	_	_	31	KOM	_	_
2	"	"	$(	_	_	3	-PUNCT-	_	_
3	Filzokratie	Filzokratie	NN	_	_	1	CJ	_	_
4	"	"	$(	_	_	3	-PUNCT-	_	_
5	hat	haben%aux	VAFIN	_	_	0	ROOT	_	_
6	der	der	ART	_	_	7	DET	_	(0
7	AfB-Fraktionssprecher	AfB-Fraktionssprecher	NN	_	_	5	SUBJ	_	_
8	Andreas	Andreas	NE	_	_	7	APP	_	_
9	Lojewski	Lojewski	NE	_	_	8	APP	_	0)
10	gestern	gestern	ADV	_	_	31	ADV	_	_
11	die	die	ART	_	_	12	DET	_	(1
12	Zusammenarbeit	Zusammenarbeit	NN	_	_	31	OBJA	_	_
13	zwischen	zwischen	APPR	_	_	12	PP	_	_
14	Bremer	Bremer	ADJA	_	_	15	ATTR	_	_
15	Naturschutzverbänden	Naturschutzverband	NN	_	_	13	PN	_	_
16	und	und	KON	_	_	15	KON	_	_
17	den	der	ART	_	_	18	DET	_	_
18	Mitarbeitern	Mitarbeiter	NN	_	_	16	CJ	_	_
19	der	die	ART	_	_	21	DET	_	_
20	Bremer	Bremer	ADJA	_	_	21	ATTR	_	_
21	Umweltbehörde	Umweltbehörde	NN	_	_	18	GMOD	_	_
22	bei	bei	APPR	_	_	18	PP	_	_
23	der	die	ART	_	_	24	DET	_	_
24	Anmeldung	Anmeldung	NN	_	_	22	PN	_	_
25	von	von	APPR	_	_	24	PP	_	_
26	FFH-Gebieten	FFH-Gebiet	NN	_	_	25	PN	_	_
27	bei	bei	APPR	_	_	24	PP	_	_
28	der	die	ART	_	_	30	DET	_	_
29	Europäischen	europäisch	ADJA	_	_	30	ATTR	_	_
30	Union	Union	NN	_	_	27	PN	_	1)
31	bezeichnet	bezeichnen	VVPP	_	_	5	AUX	_	_
32	.	.	$.	_	_	31	-PUNCT-	_	_

1	Lojewski	Lojewski	NE	_	_	2	SUBJ	_	(0)
2	forderte	auf#fordern	VVFIN	_	_	0	ROOT	_	_
3	SPD-Umweltsenatorin	SPD-Umweltsenatorin	NN	_	_	2	OBJA	_	_
4	Tine	Tine	NE	_	_	3	APP	_	_
5	Wischer	Wischer	NE	_	_	4	APP	_	_
6	auf	_	PTKVZ	_	_	2	AVZ	_	_
7	,	,	$,	_	_	6	-PUNCT-	_	_
8	dieser	diese	PDAT	_	_	9	DET	_	(1
9	Zusammenarbeit	Zusammenarbeit	NN	_	_	13	OBJD	_	1)
10	ein	ein	ART	_	_	11	DET	_	_
11	Ende	Ende	NN	_	_	13	OBJA	_	_
12	zu	zu	PTKZU	_	_	13	PART	_	_
13	setzen	setzen	VVINF	_	_	2	OBJI	_	_
14	und	und	KON	_	_	13	KON	_	_
15	künftig	künftig	ADJD	_	_	20	ADV	_	_
16	keine	keine	PIAT	_	_	17	DET	_	_
17	Erkenntnisse	Erkenntnis	NN	_	_	20	OBJA	_	_
18	an	an	APPR	_	_	20	PP	_	_
19	Verbände	Verband	NN	_	_	18	PN	_	_
20	weiterzugeben	weiter#geben	VVIZU	_	_	14	CJ	_	_
21	.	.	$.	_	_	20	-PUNCT-	_	_

1	Sonst	sonst	ADV	_	_	2	ADV	_	_
2	betreibe	betreiben	VVFIN	_	_	0	ROOT	_	_
3	man	man	PIS	_	_	2	SUBJ	_	_
4	eine	eine	ART	_	_	6	DET	_	_
5	"	"	$(	_	_	6	-PUNCT-	_	_
6	Politik	Politik	NN	_	_	2	OBJA	_	_
7	zum	zu	APPRART	_	_	6	PP	_	_
8	Nachteil	Nachteil	NN	_	_	7	PN	_	_
9	Bremens	Bremen	NE	_	_	8	GMOD	_	_
10	"	"	$(	_	_	9	-PUNCT-	_	_
11	,	,	$,	_	_	9	-PUNCT-	_	_
12	weil	weil	KOUS	_	_	21	KONJ	_	_
13	immer	immer	ADV	_	_	21	ADV	_	_
14	neue	neu	ADJA	_	_	15	ATTR	_	_
15	Schutzgebiete	Schutzgebiet	NN	_	_	21	SUBJ	_	_
16	die	die	ART	_	_	19	DET	_	_
17	"	"	$(	_	_	18	-PUNCT-	_	_
18	zukünftigen	zukünftig	ADJA	_	_	19	ATTR	_	_
19	Entwicklungsmöglichkeiten	Entwicklungsmöglichkeit	NN	_	_	21	OBJA	_	_
20	"	"	$(	_	_	19	-PUNCT-	_	_
21	behinderten	behindern	VVFIN	_	_	2	NEB	_	_
22	.	.	$.	_	_	21	-PUNCT-	_	_

