1	Blutig	blutig	ADV	ADJD	Pos|	2	adv	_	-
2	endeten	enden	V	VVFIN	3|Pl|Past|_	0	root	_	-
3	zwei	zwei	CARD	CARD	_	4	attr	_	-
4	Familienstreitigkeiten	Familienstreitigkeit	N	NN	Fem|Nom|Pl	2	subj	_	-
5	.	.	$.	$.	_	0	root	_	-

1	In	in	PREP	APPR	_	3	pp	_	-
2	Spandau	Spandau	N	NE	_|_|_	1	pn	_	-
3	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
4	ein	eine	ART	ART	Indef|Masc|Nom|Sg	6	det	_	(0
5	53jähriger	53jährig	ADJA	ADJA	Pos|Masc|Nom|Sg|St|	6	attr	_	-
6	Mann	Mann	N	NN	Masc|Nom|Sg	3	subj	_	0)
7	in	in	PREP	APPR	Dat	21	pp	_	-
8	einer	eine	ART	ART	Indef|Fem|Dat|Sg	9	det	_	-
9	Wohnung	Wohnung	N	NN	Fem|Dat|Sg	7	pn	_	-
10	mit	mit	PREP	APPR	Dat	21	pp	_	-
11	einem	eine	ART	ART	Indef|Masc|Dat|Sg	12	det	_	-
12	Brieföffner	Brieföffner	N	NN	Masc|Dat|Sg	10	pn	_	-
13	auf	auf	PREP	APPR	Acc	21	objp	_	-
14	seine	seine	ART	PPOSAT	Fem|Acc|Sg	16	det	_	(0)
15	51jährige	51jährig	ADJA	ADJA	Pos|Fem|Acc|Sg|_|	16	attr	_	-
16	Ehefrau	Ehefrau	N	NN	Fem|Acc|Sg	13	pn	_	-
17	und	und	KON	KON	_	16	kon	_	-
18	seine	seine	ART	PPOSAT	Fem|Acc|Sg	20	det	_	(0)
19	20jährige	20jährig	ADJA	ADJA	Pos|Fem|Acc|Sg|_|	20	attr	_	-
20	Tochter	Tochter	N	NN	Fem|Acc|Sg	17	cj	_	-
21	losgegangen	losgehen	V	VVPP	_	3	aux	_	-
22	.	.	$.	$.	_	0	root	_	-

1	Beide	beide	ART	PIDAT	Fem|Nom|Pl	2	det	_	-
2	Frauen	Frau	N	NN	Fem|Nom|Pl	3	subj	_	-
3	kamen	kommen	V	VVFIN	3|Pl|Past|Ind	0	root	_	-
4	zur	zu	PREP	APPRART	Dat	3	objp	_	-
5	stationären	stationär	ADJA	ADJA	Pos|Fem|Dat|Sg|Wk|	6	attr	_	-
6	Behandlung	Behandlung	N	NN	Fem|Dat|Sg	4	pn	_	-
7	in	in	PREP	APPR	Acc	6	pp	_	-
8	ein	eine	ART	ART	Indef|Neut|Acc|Sg	9	det	_	-
9	Krankenhaus	Krankenhaus	N	NN	Neut|Acc|Sg	7	pn	_	-
10	.	.	$.	$.	_	0	root	_	-

1	Dem	die	ART	ART	Def|Masc|Dat|Sg	2	det	_	-
2	Streit	Streit	N	NN	Masc|Dat|Sg	3	objd	_	-
3	vorausgegangen	vorausgehen	V	VVPP	_	4	aux	_	-
4	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
5	ein	eine	ART	ART	Indef|Masc|Nom|Sg	7	det	_	(1
6	gemeinsamer	gemeinsam	ADJA	ADJA	Pos|Masc|Nom|Sg|St|	7	attr	_	-
7	Lokalbesuch	Lokalbesuch	N	NN	Masc|Nom|Sg	4	subj	_	1)
8	.	.	$.	$.	_	0	root	_	-

1	Mit	mit	PREP	APPR	Dat	7	pp	_	-
2	mehreren	mehrere	ART	PIAT	_|Dat|_	4	det	_	-
3	lebensgefährlichen	lebensgefährlich	ADJA	ADJA	Pos|_|Dat|_|_|	4	attr	_	-
4	Messerstichen	Messerstich	N	NN	_|Dat|_	1	pn	_	-
5	im	in	PREP	APPRART	Dat	4	pp	_	-
6	Oberkörper	Oberkörper	N	NN	Masc|Dat|Sg	5	pn	_	-
7	wurde	werden	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
8	ein	eine	ART	ART	Indef|Masc|Nom|Sg	10	det	_	-
9	31jähriger	31jährig	ADJA	ADJA	Pos|Masc|Nom|Sg|St|	10	attr	_	-
10	Mann	Mann	N	NN	Masc|Nom|Sg	7	subj	_	-
11	aus	aus	PREP	APPR	Dat	16	pp	_	-
12	Friedrichshain	Friedrichshain	N	NN	_|Dat|_	11	pn	_	-
13	in	in	PREP	APPR	Acc	16	objp	_	-
14	ein	eine	ART	ART	Indef|Neut|Acc|Sg	15	det	_	-
15	Krankenhaus	Krankenhaus	N	NN	Neut|Acc|Sg	13	pn	_	-
16	gebracht	bringen	V	VVPP	_	7	aux	_	-
17	.	.	$.	$.	_	0	root	_	-

1	Seine	seine	ART	PPOSAT	Fem|Nom|Sg	3	det	_	(1)
2	39jährige	39jährig	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	3	attr	_	-
3	Lebensgefährtin	Lebensgefährtin	N	NN	Fem|Nom|Sg	4	subj	_	-
4	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
5	mit	mit	PREP	APPR	Dat	10	pp	_	-
6	einem	eine	ART	ART	Indef|_|Dat|Sg	7	det	_	-
7	Küchenmesser	Küchenmesser	N	NN	_|Dat|Sg	5	pn	_	-
8	auf	auf	PREP	APPR	Acc	10	pp	_	-
9	ihn	er	PRO	PPER	3|Sg|Masc|Acc	8	pn	_	(1)
10	eingestochen	einstechen	V	VVPP	_	4	aux	_	-
11	.	.	$.	$.	_	0	root	_	-

