1	Erst	erst	ADV	_	_	2	ADV	_	_
2	im	in	APPRART	_	_	4	PP	_	_
3	Endspiel	Endspiel	NN	_	_	2	PN	_	_
4	fand	finden	VVFIN	_	_	0	ROOT	_	_
5	Jörg	Jörg	NE	_	_	4	SUBJ	_	(0
6	Roßkopf	Roßkopf	NE	_	_	5	APP	_	0)
7	beim	bei	APPRART	_	_	4	PP	_	_
8	Weltcup	Weltcup	NN	_	_	7	PN	_	_
9	in	in	APPR	_	_	8	PP	_	_
10	Nimes	Nimes	NE	_	_	9	PN	_	_
11	seinen	sein	PPOSAT	_	_	12	DET	_	(0)|(1
12	(Welt-)Meister	(Welt-)Meister	NN	_	_	4	OBJA	_	1)
13	.	.	$.	_	_	12	-PUNCT-	_	_

1	Er	er	PPER	_	_	2	SUBJ	_	(0)
2	unterlag	unterliegen	VVFIN	_	_	0	ROOT	_	_
3	dem	der	ART	_	_	4	DET	_	(1
4	Chinesen	Chinese	NN	_	_	2	OBJD	_	_
5	Kong	Kong	NE	_	_	4	APP	_	_
6	Linghui	Linghui	NE	_	_	5	APP	_	1)
7	nach	nach	APPR	_	_	2	PP	_	_
8	hartem	hart	ADJA	_	_	9	ATTR	_	_
9	Kampf	Kampf	NN	_	_	7	PN	_	_
10	mit	mit	APPR	_	_	2	PP	_	_
11	21:18	21:18	CARD	_	_	10	PN	_	_
12	,	,	$,	_	_	11	-PUNCT-	_	_
13	22:24	22:24	CARD	_	_	11	KON	_	_
14	,	,	$,	_	_	13	-PUNCT-	_	_
15	20:22	20:22	CARD	_	_	13	KON	_	_
16	,	,	$,	_	_	15	-PUNCT-	_	_
17	14:21	14:21	CARD	_	_	15	KON	_	_
18	.	.	$.	_	_	17	-PUNCT-	_	_

