1	Papierbruderschaft	Papierbruderschaft	NN	_	_	5	NEB	_	(0
2	AG	AG	NN	_	_	1	APP	_	0)
3	,	,	$,	_	_	2	-PUNCT-	_	_
4	das	das	PDS	_	_	5	PRED	_	(0)
5	sind	sein	VAFIN	_	_	0	ROOT	_	_
6	:	:	$.	_	_	5	-PUNCT-	_	_
7	Desi	Desi	NE	_	_	5	SUBJ	_	_
8	Baumeister	Baumeister	NE	_	_	7	APP	_	_
9	,	,	$,	_	_	8	-PUNCT-	_	_
10	Weiner	Weiner	NE	_	_	8	KON	_	_
11	Zein	Zein	NE	_	_	10	APP	_	_
12	,	,	$,	_	_	11	-PUNCT-	_	_
13	Sergej	Sergej	NE	_	_	11	KON	_	_
14	Woronzov	Woronzov	NE	_	_	13	APP	_	_
15	,	,	$,	_	_	14	-PUNCT-	_	_
16	Ilia	Ilia	NE	_	_	14	KON	_	_
17	Kitup	Kitup	NE	_	_	16	APP	_	_
18	,	,	$,	_	_	17	-PUNCT-	_	_
19	Andrea	Andrea	NE	_	_	17	KON	_	_
20	Sunder-Plassmann	Sunder-Plassmann	NE	_	_	19	APP	_	_
21	,	,	$,	_	_	20	-PUNCT-	_	_
22	Schalwa	Schalwa	NE	_	_	20	KON	_	_
23	Chachanaschwili	Chachanaschwili	NE	_	_	22	APP	_	_
24	,	,	$,	_	_	23	-PUNCT-	_	_
25	Devid	Devid	NE	_	_	23	KON	_	_
26	Maas	Maas	NE	_	_	25	APP	_	_
27	und	und	KON	_	_	26	KON	_	_
28	Irina	Irina	NE	_	_	27	CJ	_	_
29	Doubrowskaja	Doubrowskaja	NE	_	_	28	APP	_	_
30	.	.	$.	_	_	29	-PUNCT-	_	_

1	Zur	zu	APPRART	_	_	14	PP	_	_
2	Ausstellungseröffnung	Ausstellungseröffnung	NN	_	_	1	PN	_	_
3	in	in	APPR	_	_	2	PP	_	_
4	der	die	ART	_	_	5	DET	_	_
5	Galerie	Galerie	NN	_	_	3	PN	_	_
6	Neue	neu	ADJA	_	_	7	ATTR	_	_
7	Räume	Raum	NN	_	_	5	APP	_	_
8	(	(	$(	_	_	9	-PUNCT-	_	_
9	Lindenstraße	Lindenstraße	NN	_	_	7	PAR	_	_
10	39	39	CARD	_	_	9	APP	_	_
11	,	,	$,	_	_	10	-PUNCT-	_	_
12	Kreuzberg	Kreuzberg	NE	_	_	10	APP	_	_
13	)	)	$(	_	_	12	-PUNCT-	_	_
14	findet	statt#finden	VVFIN	_	_	0	ROOT	_	_
15	morgen	morgen	ADV	_	_	14	ADV	_	_
16	um	um	APPR	_	_	15	PP	_	_
17	20	20	CARD	_	_	18	ATTR	_	_
18	Uhr	Uhr	NN	_	_	16	PN	_	_
19	eine	eine	ART	_	_	20	DET	_	_
20	Performance	Performance	NN	_	_	14	SUBJ	_	_
21	statt	_	PTKVZ	_	_	14	AVZ	_	_
22	.	.	$.	_	_	21	-PUNCT-	_	_

