1	Stell	stellen	V	VVIMP	Sg	0	root	_	-
2	Dir	du	PRO	PPER	2|Sg|_|Dat	1	objd	_	-
3	vor	vor	PTKVZ	PTKVZ	_	1	avz	_	-
4	,	,	$,	$,	_	0	root	_	-
5	es	es	PRO	PPER	3|Sg|Neut|Nom	6	subj	_	-
6	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
7	Umzug	Umzug	N	NN	Masc|Nom|Sg	6	pred	_	-
8	und	und	KON	KON	_	6	kon	_	-
9	niemand	niemand	PRO	PIS	_|Nom|Sg	10	subj	_	-
10	ist	sein	V	VAFIN	3|Sg|Pres|Ind	8	cj	_	-
11	sicher	sicher	ADV	ADJD	Pos|	10	pred	_	-
12	:	\:	$.	$.	_	0	root	_	-
13	Nur	nur	ADV	ADV	_	16	adv	_	-
14	noch	noch	ADV	ADV	_	16	adv	_	-
15	ein	eine	ART	ART	Indef|Neut|_|Sg	16	det	_	-
16	Vierteljahr	Vierteljahr	N	NN	Neut|_|Sg	0	root	_	-
17	bis	bis	PREP	APPR	Acc	16	pp	_	-
18	zum	zu	PREP	APPRART	Dat	17	pp	_	-
19	tatsächlichen	tatsächlich	ADJA	ADJA	Pos|Masc|Dat|Sg|Wk|	20	attr	_	-
20	Beginn	Beginn	N	NN	Masc|Dat|Sg	18	pn	_	-
21	des	die	ART	ART	Def|Masc|Gen|Sg	22	det	_	-
22	Regierungsbetriebs	Regierungsbetrieb	N	NN	Masc|Gen|Sg	20	gmod	_	-
23	in	in	PREP	APPR	_	22	pp	_	-
24	Berlin	Berlin	N	NE	_|_|Sg	23	pn	_	(1)
25	,	,	$,	$,	_	0	root	_	-
26	und	und	KON	KON	_	0	root	_	-
27	die	die	ART	ART	Def|Fem|Nom|Sg	28	det	_	(0
28	SPD	SPD	N	NE	Fem|Nom|Sg	31	subj	_	-
29	der	die	ART	ART	Def|Fem|Gen|Sg	30	det	_	(6
30	Hauptstadt	Hauptstadt	N	NN	Fem|Gen|Sg	28	gmod	_	0)|6)
31	macht	machen	V	VVFIN	3|Sg|Pres|Ind	26	cj	_	-
32	sich	sie	PRO	PRF	3|_|_	31	obja	_	-
33	Sorgen	Sorge	N	NN	_|Nom|_	31	pred	_	-
34	um	um	PREP	APPR	Acc	33	pp	_	-
35	die	die	ART	ART	Def|Fem|Acc|Sg	36	det	_	(2
36	Sicherheit	Sicherheit	N	NN	Fem|Acc|Sg	34	pn	_	2)
37	.	.	$.	$.	_	0	root	_	-

1	Das	die	ART	ART	Def|Neut|Nom|Sg	2	det	_	-
2	Hauptproblem	Hauptproblem	N	NN	Neut|Nom|Sg	10	subj	_	-
3	,	,	$,	$,	_	0	root	_	-
4	so	so	ADV	ADV	_	6	adv	_	(5
5	ihr	ihre	ART	PPOSAT	Masc|Nom|Sg	6	det	_	(0)
6	Fraktionschef	Fraktionschef	N	NN	Masc|Nom|Sg	2	par	_	-
7	Klaus	Klaus	N	NE	Masc|Nom|Sg	6	app	_	-
8	Böger	Böger	N	NE	Masc|Nom|Sg	7	app	_	5)
9	,	,	$,	$,	_	0	root	_	-
10	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
11	der	die	ART	ART	Def|Masc|Nom|Sg	12	det	_	-
12	Schutz	Schutz	N	NN	Masc|Nom|Sg	10	pred	_	-
13	der	die	ART	ART	Def|Neut|Gen|Pl	14	det	_	-
14	Ministerien	Ministerium	N	NN	Neut|Gen|Pl	12	gmod	_	-
15	,	,	$,	$,	_	0	root	_	-
16	des	die	ART	ART	Def|Neut|Gen|Sg	17	det	_	-
17	Parlaments	Parlament	N	NN	Neut|Gen|Sg	14	kon	_	-
18	und	und	KON	KON	_	17	kon	_	-
19	der	die	ART	ART	Def|Fem|Gen|Pl	20	det	_	-
20	Botschaften	Botschaft	N	NN	Fem|Gen|Pl	18	cj	_	-
21	vor	vor	PREP	APPR	Dat	20	pp	_	-
22	allem	alle	PRO	PIS	_|Dat|Sg	21	pn	_	-
23	im	in	PREP	APPRART	Dat	22	pp	_	-
24	Bezirk	Bezirk	N	NN	Masc|Dat|Sg	23	pn	_	-
25	Tiergarten	Tiergarten	N	NN	Masc|Dat|Sg	24	app	_	-
