1	Während	während	KOUS	KOUS	_	0	root	_	-
2	die	die	ART	ART	Def|Masc|_|Pl	3	det	_	-
3	Kicker	Kicker	N	NN	Masc|_|Pl	0	root	_	-
4	der	die	ART	ART	Def|_|_|_	5	det	_	-
5	1.	1.	ADJA	ADJA	_|_|_	3	gmod	_	-

1	Liga	Liga	N	NN	Fem|_|Sg	9	obja	_	-
2	noch	noch	ADV	ADV	_	8	adv	_	-
3	das	die	ART	ART	Def|Neut|_|Sg	4	det	_	-
4	Ende	Ende	N	NN	Neut|_|Sg	8	obja	_	-
5	der	die	ART	ART	Def|Neut|Gen|Pl	7	det	_	-
6	Olympischen	olympisch	ADJA	ADJA	Pos|Neut|Gen|Pl|Wk|	7	attr	_	-
7	Spiele	Spiel	N	NN	Neut|Gen|Pl	4	gmod	_	-
8	abwarten	abwarten	V	VVINF	_	9	aux	_	-
9	müssen	müssen	V	VMINF	_	0	root	_	-
10	und	und	KON	KON	_	0	root	_	-
11	derweil	derweil	ADV	ADV	_	12	adv	_	-
12	auf	auf	PREP	APPR	_	17	pp	_	-
13	Tingeltour	Tingeltour	N	NN	Fem|_|Sg	12	pn	_	-
14	in	in	PREP	APPR	Dat	13	pp	_	-
15	der	die	ART	ART	Def|Fem|Dat|Sg	16	det	_	-
16	Provinz	Provinz	N	NN	Fem|Dat|Sg	14	pn	_	-
17	sind	sein	V	VAFIN	_|Pl|Pres|Ind	10	cj	_	-
18	(	(	$(	$(	_	0	root	_	-
19	Germania	Germania	N	NN	Fem|_|Sg	0	root	_	-
20	1900	1900	CARD	CARD	_	21	attr	_	-
21	Halberstedt	Halberstedt	N	NN	_|Gen|Pl	19	gmod	_	-
22	gegen	gegen	PREP	APPR	Acc	21	pp	_	-
23	Werder	Werder	N	NN	Masc|Acc|_	22	pn	_	-
24	Bremen	Bremen	N	NE	Neut|Acc|Sg	23	app	_	-
25	0	0	CARD	CARD	_	24	app	_	-
26	:	\:	$.	$.	_	0	root	_	-
27	6	6	CARD	CARD	_	0	root	_	-
28	)	)	$(	$(	_	0	root	_	-
29	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
30	es	es	PRO	PPER	3|Sg|Neut|Nom	29	subj	_	-
31	in	in	PREP	APPR	Dat	29	pp	_	-
32	der	die	ART	ART	Def|_|_|_	33	det	_	-
33	2.	2.	ADJA	ADJA	_|_|_	31	pn	_	-

1	Liga	Liga	N	NN	Fem|_|Sg	0	root	_	-
2	schon	schon	ADV	ADV	_	3	adv	_	-
3	rund	rund	ADV	ADV	_	1	adv	_	-
4	.	.	$.	$.	_	0	root	_	-

1	Mit	mit	PREP	APPR	Dat	0	root	_	-
2	5	5	CARD	CARD	_	1	pn	_	-
3	:	\:	$.	$.	_	0	root	_	-
4	3	3	CARD	CARD	_	5	obja	_	-
5	gewann	gewinnen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
6	Aufsteiger	Aufsteiger	N	NN	Masc|Nom|Sg	5	subj	_	(0
7	VfL	VfL	N	NE	_|Nom|Sg	6	app	_	-
8	Wolfsburg	Wolfsburg	N	NE	_|Nom|Sg	7	app	_	0)
