1	Um	Um	KOUI	KOUI	_	0	root	_	-
2	die	die	ART	ART	Def|Fem|Nom|Sg	3	det	_	-
3	Lobby	Lobby	N	NN	Fem|Nom|Sg	11	subj	_	-
4	der	die	ART	ART	Def|Fem|Gen|Sg	5	det	_	(13
5	NASA	NASA	N	NN	Fem|Gen|Sg	3	gmod	_	13)
6	bei	bei	PREP	APPR	Dat	11	pp	_	-
7	der	die	ART	ART	Def|Fem|Dat|Sg	8	det	_	-
8	Verteilung	Verteilung	N	NN	Fem|Dat|Sg	6	pn	_	-
9	von	von	PREP	APPR	Dat	8	pp	_	-
10	Finanzmitteln	Finanzmittel	N	NN	Neut|Dat|Pl	9	pn	_	-
11	scheint	scheinen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
12	es	es	PRO	PPER	3|Sg|Neut|_	11	expl	_	-
13	gegenwärtig	gegenwärtig	ADV	ADJD	Pos|	11	pred	_	-
14	nicht	nicht	PTKNEG	PTKNEG	_	18	adv	_	-
15	allzu	allzu	PTKA	PTKA	_	16	adv	_	-
16	gut	gut	ADV	ADJD	Pos|	18	pred	_	-
17	zu	zu	PTKZU	PTKZU	_	18	part	_	-
18	stehen	stehen	V	VVINF	_	11	obji	_	-
19	.	.	$.	$.	_	0	root	_	-

1	Denn	denn	KON	KON	_	0	root	_	-
2	mit	mit	PREP	APPR	Dat	5	pp	_	-
3	Apollo	Apollo	N	NN	_|Dat|_	2	pn	_	-
4	13	13	CARD	CARD	_	3	app	_	-
5	kommt	kommen	V	VVFIN	3|Sg|Pres|Ind	1	cj	_	-
6	ein	eine	ART	ART	Indef|Masc|Nom|Sg	10	det	_	-
7	nur	nur	ADV	ADV	_	10	adv	_	-
8	dürftig	dürftig	ADV	ADJD	Pos|	9	adv	_	-
9	getarnter	getarnt	ADJA	ADJA	Pos|Masc|Nom|Sg|St|	10	attr	_	-
10	Propagandafilm	Propagandafilm	N	NN	Masc|Nom|Sg	5	subj	_	-
11	in	in	PREP	APPR	Acc	5	objp	_	-
12	die	die	ART	ART	Def|Masc|Acc|Pl	13	det	_	-
13	Bewußtseinsräume	Bewußtseinsraum	N	NN	Masc|Acc|Pl	11	pn	_	-
14	.	.	$.	$.	_	0	root	_	-

1	Gleich	gleich	ADV	ADV	_	2	adv	_	-
2	zu	zu	PREP	APPR	Dat	4	objp	_	-
3	Anfang	Anfang	N	NN	Masc|Dat|Sg	2	pn	_	-
4	bringen	bringen	V	VVFIN	3|Pl|Pres|_	0	root	_	-
5	uns	wir	PRO	PPER	1|Pl|_|_	4	obja	_	(0)
6	ein	eine	ART	ART	Indef|_|_|Sg	8	det	_	-
7	paar	paar	ART	PIDAT	Neut|Nom|Pl	8	attr	_	-
8	Worte	Wort	N	NN	Neut|Nom|Pl	4	subj	_	-
9	von	von	PREP	APPR	_	8	pp	_	-
10	John	John	N	NE	_|_|_	9	pn	_	-
11	F.	F.	N	NE	_|_|_	10	app	_	-
12	Kennedy	Kennedy	N	NE	_|_|_	11	app	_	-
13	auf	auf	PREP	APPR	Dat	9	kon	_	-
14	Kurs	Kurs	N	NN	Masc|Dat|Sg	13	pn	_	-
15	:	\:	$.	$.	_	0	root	_	-
16	"	"	$(	$(	_	0	root	_	-
17	Es	es	PRO	PPER	3|Sg|Neut|Nom	18	subj	_	-
18	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
19	gegenwärtig	gegenwärtig	ADV	ADJD	Pos|	18	adv	_	-
20	unsere	unsre	ART	PPOSAT	Fem|Nom|Sg	22	det	_	(0)
21	wichtigste	wichtig	ADJA	ADJA	Sup|Fem|Nom|Sg|_|	22	attr	_	-
22	Aufgabe	Aufgabe	N	NN	Fem|Nom|Sg	18	pred	_	-
23	,	,	$,	$,	_	0	root	_	-
24	auf	auf	PREP	APPR	Acc	28	pp	_	-
25	den	die	ART	ART	Def|Masc|Acc|Sg	26	det	_	-
26	Mond	Mond	N	NN	Masc|Acc|Sg	24	pn	_	-
27	zu	zu	PTKZU	PTKZU	_	28	part	_	-
28	fliegen	fliegen	V	VVINF	_	18	obji	_	-
29	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Was	was	PRO	PWS	Neut|Nom|Sg	3	subj	_	-
3	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
4	mit	mit	PREP	APPR	Dat	3	pp	_	-
5	Vietnam	Vietnam	N	NE	Neut|Dat|Sg	4	pn	_	-
6	?	?	$.	$.	_	0	root	_	-

1	Und	und	KON	KON	_	0	root	_	-
2	wer	wer	PRO	PWS	_|Nom|Sg	3	subj	_	-
3	wäre	sein	V	VAFIN	_|Sg|Past|Subj	1	cj	_	-
4	besser	gut	ADV	ADJD	Comp|	5	adv	_	-
5	geeignet	eignen	V	VVPP	_	3	aux	_	-
6	als	als	KOKOM	KOKOM	_	5	kom	_	-
7	Tom	Tom	N	NE	_	6	cj	_	(1
8	Hanks	Hanks	N	NE	_	7	app	_	1)
9	,	,	$,	$,	_	0	root	_	-
10	seiner	seine	ART	PPOSAT	Fem|Dat|Sg	12	det	_	(1)|(2
11	patriotischen	patriotisch	ADJA	ADJA	Pos|Fem|Dat|Sg|Wk|	12	attr	_	-
12	Geschichtsschreibung	Geschichtsschreibung	N	NN	Fem|Dat|Sg	27	objd	_	-
13	,	,	$,	$,	_	0	root	_	-
14	die	die	PRO	PRELS	Fem|Nom|Sg	22	subj	_	(2)
15	wahrscheinlich	wahrscheinlich	ADV	ADJD	Pos|	21	adv	_	-
16	einmal	einmal	ADV	ADV	_	21	adv	_	-
17	auf	auf	PREP	APPR	_	21	pp	_	-
18	CD-Rom	CD-Rom	N	NN	Masc|_|Sg	17	pn	_	(3)
19	die	die	ART	ART	Def|_|_|Pl	20	det	_	-
20	Schulbücher	Schulbuch	N	NN	_|_|Pl	21	obja	_	-
