1	Wie	Wie	PWAV	PWAV	_	0	root	_	-
2	der	die	ART	ART	Def|Masc|Nom|Sg	4	det	_	(0
3	Bremer	Bremer	ADJA	ADJA	_|Masc|Nom|Sg|_	4	attr	_	-
4	Verfassungsschutz	Verfassungsschutz	N	NN	Masc|Nom|Sg	0	root	_	-
5	an	an	PREP	APPR	Acc	4	pp	_	-
6	seine	seine	ART	PPOSAT	_|Acc|Pl	7	det	_	(0)
7	Informationen	Information	N	NN	_|Acc|Pl	5	pn	_	0)
8	gelangt	gelingen	V	VVFIN	2|Pl|Past|Ind	0	root	_	-
9	,	,	$,	$,	_	0	root	_	-
10	beleuchtet	beleuchten	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
11	die	die	ART	ART	Def|Fem|Nom|Sg	12	det	_	-
12	Aussage	Aussage	N	NN	Fem|Nom|Sg	10	subj	_	-
13	des	die	ART	ART	Def|_|Gen|Sg	14	det	_	(4
14	VS-Vize	VS-Vize	N	NN	_|Gen|Sg	12	gmod	_	-
15	Lothar	Lothar	N	NE	_|_|Sg	14	app	_	-
16	Jachmann	Jachmann	N	NE	_|_|Sg	15	app	_	4)
17	vor	vor	PREP	APPR	Dat	10	pp	_	-
18	dem	die	ART	ART	Def|Neut|Dat|Sg	20	det	_	-
19	Bremer	Bremer	ADJA	ADJA	_|Neut|Dat|Sg|_	20	attr	_	-
20	Verwaltungsgericht	Verwaltungsgericht	N	NN	Neut|Dat|Sg	17	pn	_	-
21	.	.	$.	$.	_	0	root	_	-

1	Zwischen	zwischen	PREP	APPR	_	5	pp	_	-
2	1986	1986	CARD	CARD	_	1	pn	_	-
3	und	und	KON	KON	_	2	kon	_	-
4	1989	1989	CARD	CARD	_	3	cj	_	-
5	habe	haben	V	VAFIN	3|Sg|Pres|Subj	0	root	_	-
6	der	die	ART	ART	Def|Masc|Nom|Sg	7	det	_	(5
7	VS	VS	N	NN	Masc|Nom|Sg	5	subj	_	5)
8	15	15	CARD	CARD	_	9	attr	_	-
9	Anschläge	Anschlag	N	NN	Masc|_|Pl	17	obja	_	-
10	aus	aus	PREP	APPR	Dat	9	pp	_	-
11	dem	die	ART	ART	Def|_|Dat|Sg	12	det	_	-
12	Bereich	Bereich	N	NN	_|Dat|Sg	10	pn	_	-
