1	Während	während	KOUS	_	_	14	KONJ	_	_
2	die	der	ART	_	_	3	DET	_	_
3	Kicker	Kicker	NN	_	_	14	SUBJ	_	_
4	der	die	ART	_	_	6	DET	_	_
5	1.	1.	ADJA	_	_	6	ATTR	_	_
6	Liga	Liga	NN	_	_	3	GMOD	_	_
7	noch	noch	ADV	_	_	13	ADV	_	_
8	das	das	ART	_	_	9	DET	_	_
9	Ende	Ende	NN	_	_	13	OBJA	_	_
10	der	das	ART	_	_	12	DET	_	_
11	Olympischen	olympisch	ADJA	_	_	12	ATTR	_	_
12	Spiele	Spiel	NN	_	_	9	GMOD	_	_
13	abwarten	ab#warten	VVINF	_	_	14	AUX	_	_
14	müssen	müssen%aux	VMFIN	_	_	32	NEB	_	_
15	und	und	KON	_	_	14	KON	_	_
16	derweil	derweil	ADV	_	_	22	ADV	_	_
17	auf	auf	APPR	_	_	22	PRED	_	_
18	Tingeltour	Tingeltour	NN	_	_	17	PN	_	_
19	in	in	APPR	_	_	18	PP	_	_
20	der	die	ART	_	_	21	DET	_	_
21	Provinz	Provinz	NN	_	_	19	PN	_	_
22	sind	sein	VAFIN	_	_	15	CJ	_	_
23	(	(	$(	_	_	24	-PUNCT-	_	_
24	Germania	Germania	NE	_	_	22	PAR	_	_
25	1900	1900	CARD	_	_	24	APP	_	_
26	Halberstedt	Halberstadt	NE	_	_	25	APP	_	_
27	gegen	gegen	APPR	_	_	26	PP	_	_
28	Werder	Werder	NN	_	_	27	PN	_	_
29	Bremen	Bremen	NE	_	_	28	APP	_	_
30	0:6	0:6	CARD	_	_	26	APP	_	_
31	)	)	$(	_	_	30	-PUNCT-	_	_
32	geht	rund#gehen	VVFIN	_	_	0	ROOT	_	_
33	es	es	PPER	_	_	32	SUBJ	_	_
34	in	in	APPR	_	_	32	PP	_	_
35	der	die	ART	_	_	37	DET	_	(0
36	2.	2.	ADJA	_	_	37	ATTR	_	_
37	Liga	Liga	NN	_	_	34	PN	_	0)
38	schon	schon	ADV	_	_	32	ADV	_	_
39	rund	_	PTKVZ	_	_	32	AVZ	_	_
40	.	.	$.	_	_	39	-PUNCT-	_	_

1	Mit	mit	APPR	_	_	3	PP	_	_
2	5:3	5:3	CARD	_	_	1	PN	_	_
3	gewann	gewinnen	VVFIN	_	_	0	ROOT	_	_
4	Aufsteiger	Aufsteiger	NN	_	_	3	SUBJ	_	(1
5	VfL	VfL	NN	_	_	4	APP	_	_
6	Wolfsburg	Wolfsburg	NE	_	_	5	APP	_	1)
7	beim	bei	APPRART	_	_	3	PP	_	_
8	VfL	VfL	NN	_	_	7	PN	_	_
9	Osnabrück	Osnabrück	NE	_	_	8	APP	_	_
10	und	und	KON	_	_	3	KON	_	_
11	darf	dürfen%aux	VMFIN	_	_	10	CJ	_	_
12	sich	#refl	PRF	_	_	16	OBJA	_	_
13	jetzt	jetzt	ADV	_	_	16	ADV	_	_
14	der	die	ART	_	_	15	DET	_	_
15	Tabellenführung	Tabellenführung	NN	_	_	16	OBJG	_	_
16	erfreuen	erfreuen	VVINF	_	_	11	AUX	_	_
17	.	.	$.	_	_	16	-PUNCT-	_	_

1	"	"	$(	_	_	2	-PUNCT-	_	_
2	Wir	wir	PPER	_	_	3	SUBJ	_	_
3	sind	sein	VAFIN	_	_	10	S	_	_
4	halt	halt	ADV	_	_	3	ADV	_	_
5	am	an	APPRART	_	_	3	PP	_	_
6	Boden	Boden	NN	_	_	5	PN	_	_
7	gut	gut	ADJD	_	_	3	PRED	_	_
8	"	"	$(	_	_	7	-PUNCT-	_	_
9	,	,	$,	_	_	7	-PUNCT-	_	_
10	meinte	meinen	VVFIN	_	_	0	ROOT	_	_
11	Wolfsburgs	Wolfsburg	NE	_	_	12	GMOD	_	(1)|(2
12	Trainer	Trainer	NN	_	_	10	SUBJ	_	_
13	,	,	$,	_	_	12	-PUNCT-	_	_
14	der	der	ART	_	_	15	DET	_	_
15	Ex-Werderaner	Ex-Werderaner	NN	_	_	12	APP	_	_
16	Uwe	Uwe	NE	_	_	15	APP	_	_
17	Erkenbrecher	Erkenbrecher	NE	_	_	16	APP	_	2)
18	,	,	$,	_	_	17	-PUNCT-	_	_
19	der	der	PRELS	_	_	30	SUBJ	_	(2)
20	sich	#refl	PRF	_	_	29	OBJD	_	_
21	mit	mit	APPR	_	_	29	PP	_	_
22	Unterstützung	Unterstützung	NN	_	_	21	PN	_	_
23	des	das	ART	_	_	24	DET	_	_
24	VW-Werks	VW-Werk	NN	_	_	22	GMOD	_	_
25	für	für	APPR	_	_	29	PP	_	_
26	die	die	ART	_	_	27	DET	_	_
27	Saison	Saison	NN	_	_	25	PN	_	_
