1	Es	es	PRO	PPER	3|Sg|Neut|_	7	expl	_	-
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
3	ihnen	sie	PRO	PPER	3|Pl|_|Dat	7	objd	_	-
4	nicht	nicht	PTKNEG	PTKNEG	_	7	adv	_	-
5	gerade	gerade	ADV	ADV	_	7	adv	_	-
6	leicht	leicht	ADV	ADJD	Pos|	7	adv	_	-
7	gefallen	fallen	V	VVPP	_	2	aux	_	-
8	,	,	$,	$,	_	0	root	_	-
9	sich	sie	PRO	PRF	3|_|_	14	obja	_	-
10	an	an	PREP	APPR	Acc	14	objp	_	-
11	einen	eine	ART	ART	Indef|Masc|Acc|Sg	12	det	_	-
12	Tisch	Tisch	N	NN	Masc|Acc|Sg	10	pn	_	-
13	zu	zu	PTKZU	PTKZU	_	14	part	_	-
14	setzen	setzen	V	VVINF	_	7	obji	_	-
15	.	.	$.	$.	_	0	root	_	-

1	Duan	Duan	N	NE	_|Nom|Sg	5	subj	_	(0
2	,	,	$,	$,	_	0	root	_	-
3	20	20	CARD	CARD	_	1	app	_	0)
4	,	,	$,	$,	_	0	root	_	-
5	kam	kommen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
6	vor	vor	PREP	APPR	Dat	5	pp	_	-
7	acht	acht	CARD	CARD	_	8	attr	_	-
8	Jahren	Jahr	N	NN	Neut|Dat|Pl	6	pn	_	-
9	mit	mit	PREP	APPR	Dat	5	pp	_	-
10	seinem	seine	ART	PPOSAT	Masc|Dat|Sg	11	det	_	(0)|(1
11	Vater	Vater	N	NN	Masc|Dat|Sg	9	pn	_	1)
12	und	und	KON	KON	_	11	kon	_	-
13	der	die	ART	ART	Def|Fem|Dat|Sg	15	det	_	-
14	jüngeren	jung	ADJA	ADJA	Comp|Fem|Dat|Sg|Wk|	15	attr	_	-
15	Schwester	Schwester	N	NN	Fem|Dat|Sg	12	cj	_	-
16	von	von	PREP	APPR	Dat	15	pp	_	-
17	Belgrad	Belgrad	N	NE	Neut|Dat|Sg	16	pn	_	(2)
18	nach	nach	PREP	APPR	Dat	16	kon	_	-
19	Berlin	Berlin	N	NE	_|Dat|Sg	18	pn	_	(4)
20	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|_|Nom|Pl	2	det	_	-
2	Eltern	Elter	N	NN	_|Nom|Pl	3	subj	_	-
3	hatten	haben	V	VAFIN	3|Pl|Past|Ind	0	root	_	-
4	sich	sie	PRO	PRF	3|_|_	5	obja	_	-
5	scheiden	scheiden	V	VVINF	_	6	obji	_	-
6	lassen	lassen	V	VVINF	_	3	aux	_	-
7	,	,	$,	$,	_	0	root	_	-
8	der	die	ART	ART	Def|Masc|Nom|Sg	9	det	_	(1
9	Vater	Vater	N	NN	Masc|Nom|Sg	10	subj	_	1)
10	arbeitet	arbeiten	V	VVFIN	3|Sg|Pres|Ind	3	kon	_	-
11	als	als	KOKOM	KOKOM	_	10	kom	_	-
12	Regisseur	Regisseur	N	NN	Masc|_|Sg	11	cj	_	-
13	für	für	PREP	APPR	Acc	10	pp	_	-
14	deutsche	deutsch	ADJA	ADJA	Pos|_|Acc|Pl|St|	15	attr	_	-
15	Medien	Media	N	NN	_|Acc|Pl	13	pn	_	-
16	.	.	$.	$.	_	0	root	_	-

1	Zur	zu	PREP	APPRART	Dat	3	pp	_	-
2	Zeit	Zeit	N	NN	Fem|Dat|Sg	1	pn	_	(9)
3	steckt	stecken	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
4	Duan	Duan	N	NE	_|Nom|Sg	3	subj	_	(0)
5	im	in	PREP	APPRART	Dat	3	objp	_	-
6	Abiturstreß	Abiturstreß	N	NN	Masc|Dat|Sg	5	pn	_	-
7	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|Nom|Pl	2	det	_	-
2	Folgen	Folge	N	NN	Fem|Nom|Pl	5	subj	_	-
3	des	die	ART	ART	Def|Masc|Gen|Sg	4	det	_	(8
4	Krieges	Krieg	N	NN	Masc|Gen|Sg	2	gmod	_	8)
5	binden	binden	V	VVFIN	3|Pl|Pres|_	0	root	_	-
6	die	die	ART	ART	Def|Fem|_|Sg	7	det	_	(6
7	Familie	Familie	N	NN	Fem|_|Sg	5	obja	_	6)
8	wieder	wieder	ADV	ADV	_	5	adv	_	-
9	zusammen	zusammen	PTKVZ	PTKVZ	_	5	avz	_	-
10	.	.	$.	$.	_	0	root	_	-

1	Vor	vor	PREP	APPR	Dat	4	pp	_	-
2	zwei	zwei	CARD	CARD	_	3	attr	_	-
3	Tagen	Tag	N	NN	Masc|Dat|Pl	1	pn	_	-
4	kam	kommen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
5	die	die	ART	ART	Def|Fem|Nom|Sg	6	det	_	-
6	Mutter	Mutter	N	NN	Fem|Nom|Sg	4	subj	_	-
7	aus	aus	PREP	APPR	Dat	4	pp	_	-
8	Belgrad	Belgrad	N	NE	Neut|Dat|Sg	7	pn	_	(2)
9	an	an	PTKVZ	PTKVZ	_	4	avz	_	-
10	,	,	$,	$,	_	0	root	_	-
11	erschöpft	erschöpfen	V	VVFIN	_|_|Pres|Ind	4	kon	_	-
12	von	von	PREP	APPR	Dat	11	pp	_	-
13	den	die	ART	ART	Def|Fem|Dat|Pl	14	det	_	-
14	Folgen	Folge	N	NN	Fem|Dat|Pl	12	pn	_	-
15	der	die	ART	ART	Def|Fem|Gen|Pl	17	det	_	(3
16	nächtlichen	nächtlich	ADJA	ADJA	Pos|Fem|Gen|Pl|Wk|	17	attr	_	-
17	Bomben	Bombe	N	NN	Fem|Gen|Pl	14	gmod	_	-
18	,	,	$,	$,	_	0	root	_	-
19	die	die	PRO	PRELS	Fem|Nom|Pl	22	subj	_	(3)
20	auf	auf	PREP	APPR	_	22	pp	_	-
21	Belgrad	Belgrad	N	NE	Neut|_|Sg	20	pn	_	(2)
22	fallen	fallen	V	VVFIN	3|Pl|Pres|_	17	rel	_	3)
23	.	.	$.	$.	_	0	root	_	-

1	Sabrije	Sabrije	N	NE	_|Nom|Sg	5	subj	_	(5
2	,	,	$,	$,	_	0	root	_	-
3	23	23	CARD	CARD	_	1	app	_	5)
4	,	,	$,	$,	_	0	root	_	-
5	lebt	leben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
6	seit	seit	PREP	APPR	Dat	5	pp	_	-
7	20	20	CARD	CARD	_	8	attr	_	-
8	Jahren	Jahr	N	NN	Neut|Dat|Pl	6	pn	_	-
9	in	in	PREP	APPR	_	5	pp	_	-
10	Berlin	Berlin	N	NE	_|_|Sg	9	pn	_	(4)
11	.	.	$.	$.	_	0	root	_	-

1	Was	was	PRO	PWS	Neut|_|Sg	2	obja	_	-
2	haben	haben	V	VAFIN	_|Pl|Pres|_	0	root	_	-
3	Sabrije	Sabrije	N	NE	Masc|Nom|Sg	2	subj	_	(5
4	,	,	$,	$,	_	0	root	_	-
5	deren	die	ART	PRELAT	Fem|Nom|Sg	6	det	_	(6
6	Familie	Familie	N	NN	Fem|Nom|Sg	10	subj	_	6)
7	aus	aus	PREP	APPR	Dat	10	objp	_	-
8	dem	die	ART	ART	Def|_|Dat|Sg	9	det	_	(7
9	Kosovo	Kosovo	N	NE	_|Dat|Sg	7	pn	_	7)
10	stammt	stammen	V	VVFIN	3|Sg|Pres|Ind	3	rel	_	5)
11	,	,	$,	$,	_	0	root	_	-
12	und	und	KON	KON	_	3	kon	_	-
13	Duan	Duan	N	NE	Masc|Nom|Sg	12	cj	_	(0
14	,	,	$,	$,	_	0	root	_	-
15	ein	eine	ART	ART	Indef|Masc|Nom|Sg	17	det	_	-
16	junger	jung	ADJA	ADJA	Pos|Masc|Nom|Sg|St|	17	attr	_	-
17	Mann	Mann	N	NN	Masc|Nom|Sg	13	app	_	-
18	serbischer	serbisch	ADJA	ADJA	Pos|Fem|Gen|Sg|St|	19	attr	_	-
19	Herkunft	Herkunft	N	NN	Fem|Gen|Sg	17	gmod	_	0)
20	,	,	$,	$,	_	0	root	_	-
21	sich	sie	PRO	PRF	3|_|_	23	obja	_	-
22	zu	zu	PTKZU	PTKZU	_	23	part	_	-
23	sagen	sagen	V	VVINF	_	2	obji	_	-
24	?	?	$.	$.	_	0	root	_	-

1	Trotz	trotz	PREP	APPR	Gen	9	pp	_	-
2	anfänglicher	anfänglich	ADJA	ADJA	Pos|Fem|Gen|Sg|St|	3	attr	_	-
3	Vorsicht	Vorsicht	N	NN	Fem|Gen|Sg	1	pn	_	-
4	,	,	$,	$,	_	0	root	_	-
5	Furcht	Furcht	N	NN	Fem|Gen|Sg	3	kon	_	-
6	und	und	KON	KON	_	5	kon	_	-
7	ungewisser	ungewiss	ADJA	ADJA	Pos|Fem|Gen|Pl|St|	8	attr	_	-
8	Fragen	Frage	N	NN	Fem|Gen|Pl	6	cj	_	-
9	überwog	überwiegen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
10	die	die	ART	ART	Def|Fem|Nom|Sg	11	det	_	-
11	Neugierde	Neugierde	N	NN	Fem|Nom|Sg	9	subj	_	-
12	.	.	$.	$.	_	0	root	_	-

1	Sabrije	Sabrije	N	NE	_|Nom|Sg	2	subj	_	(5)
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
3	ein	eine	ART	ART	Indef|Neut|Nom|Sg	6	det	_	-
4	typisches	typisch	ADJA	ADJA	Pos|Neut|Nom|Sg|St|	6	attr	_	-
5	"	"	$(	$(	_	0	root	_	-
6	Gastarbeiterkind	Gastarbeiterkind	N	NN	Neut|Nom|Sg	2	pred	_	-
7	"	"	$(	$(	_	0	root	_	-
8	.	.	$.	$.	_	0	root	_	-

1	Ihre	ihre	ART	PPOSAT	_|Nom|Pl	2	det	_	(5)
2	Eltern	Elter	N	NN	_|Nom|Pl	3	subj	_	-
3	zogen	ziehen	V	VVFIN	3|Pl|Past|Ind	0	root	_	-
4	aus	aus	PREP	APPR	Dat	3	objp	_	-
5	einem	eine	ART	ART	Indef|Neut|Dat|Sg	6	det	_	-
6	Dorf	Dorf	N	NN	Neut|Dat|Sg	4	pn	_	-
7	im	in	PREP	APPRART	Dat	6	pp	_	-
8	Kosovo	Kosovo	N	NE	_|Dat|Sg	7	pn	_	(7
9	in	in	PREP	APPR	Acc	8	pp	_	-
10	die	die	ART	ART	Def|Fem|Acc|Sg	11	det	_	-
11	Stadt	Stadt	N	NN	Fem|Acc|Sg	9	pn	_	7)
12	,	,	$,	$,	_	0	root	_	-
13	um	um	KOUI	KOUI	_	16	konj	_	-
14	Geld	Geld	N	NN	Neut|_|Sg	16	obja	_	-
15	zu	zu	PTKZU	PTKZU	_	16	part	_	-
16	verdienen	verdienen	V	VVINF	_	3	neb	_	-
17	und	und	KON	KON	_	16	kon	_	-
18	den	die	ART	ART	Def|_|Dat|Pl	19	det	_	-
19	Kindern	Kind	N	NN	_|Dat|Pl	24	objd	_	-
20	eine	eine	ART	ART	Indef|Fem|_|Sg	22	det	_	-
21	gute	gut	ADJA	ADJA	Pos|Fem|_|Sg|_|	22	attr	_	-
22	Schulbildung	Schulbildung	N	NN	Fem|_|Sg	24	obja	_	-
23	zu	zu	PTKZU	PTKZU	_	24	part	_	-
24	ermöglichen	ermöglichen	V	VVINF	_	17	cj	_	-
25	.	.	$.	$.	_	0	root	_	-

1	Sabrije	Sabrije	N	NE	_|Nom|Sg	2	subj	_	(5)
2	ließ	lassen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
3	sich	sie	PRO	PRF	3|_|_	6	obja	_	-
4	zur	zu	PREP	APPRART	Dat	6	pp	_	-
5	Fremdsprachensekretärin	Fremdsprachensekretärin	N	NN	Fem|Dat|Sg	4	pn	_	-
6	ausbilden	ausbilden	V	VVINF	_	2	obji	_	-
7	.	.	$.	$.	_	0	root	_	-

1	Eigentlich	eigentlich	ADV	ADV	_	2	adv	_	-
2	wollte	wollen	V	VMFIN	3|Sg|Past|_	0	root	_	-
3	sie	sie	PRO	PPER	3|Sg|Fem|Nom	2	subj	_	(5)
4	nicht	nicht	PTKNEG	PTKNEG	_	2	adv	_	-
5	mehr	mehr	ADV	ADV	_	4	adv	_	-
6	zurück	zurück	ADV	ADV	_	2	adv	_	-
