1	Bravo	Bravo	FM	FM	_|Nom|Sg	2	subj	_	-
2	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	-
3	es	es	PRO	PPER	3|Sg|Neut|_	5	expl	_	-
4	nicht	nicht	PTKNEG	PTKNEG	_	5	adv	_	-
5	gewesen	sein	V	VAPP	_	6	aux	_	-
6	sein	sein	V	VAINF	_	2	aux	_	-
7	.	.	$.	$.	_	0	root	_	-

1	Wir	wir	PRO	PPER	1|Pl|_|Nom	2	subj	_	(0)
2	sitzen	sitzen	V	VVFIN	1|Pl|Pres|_	0	root	_	-
3	im	in	PREP	APPRART	Dat	2	pp	_	-
4	vierten	viert	ADJA	ADJA	_|Masc|Dat|Sg|Wk|	5	attr	_	-
5	Stock	Stock	N	NN	Masc|Dat|Sg	3	pn	_	-
6	.	.	$.	$.	_	0	root	_	-

1	Und	und	KON	KON	_	0	root	_	-
2	über	über	PREP	APPR	_	4	pp	_	-
3	uns	wir	PRO	PPER	1|Pl|_|_	2	pn	_	(0)
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	1	cj	_	-
5	nur	nur	ADV	ADV	_	4	adv	_	-
6	der	die	ART	ART	Def|Masc|Nom|Sg	7	det	_	(1
7	Himmel	Himmel	N	NN	Masc|Nom|Sg	4	subj	_	1)
8	!	!	$.	$.	_	0	root	_	-

1	Bei	bei	PREP	APPR	Dat	10	pp	_	-
2	seinen	seine	ART	PPOSAT	Neut|Dat|_	4	det	_	(1)
3	ominösen	ominös	ADJA	ADJA	Pos|Neut|Dat|_|_|	4	attr	_	-
4	Treffen	Treffen	N	NN	Neut|Dat|_	1	pn	_	-
5	"	"	$(	$(	_	0	root	_	-
6	über	über	PREP	APPR	Dat	4	pp	_	-
7	den	die	ART	ART	Def|Fem|Dat|Pl	8	det	_	-
8	Wolken	Wolke	N	NN	Fem|Dat|Pl	6	pn	_	-
9	"	"	$(	$(	_	0	root	_	-
10	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	-
11	Frank	Frank	N	NE	_|Nom|Sg	10	subj	_	(3)
12	dann	dann	ADV	ADV	_	25	adv	_	-
13	wohl	wohl	ADV	ADV	_	25	adv	_	-
14	von	von	PREP	APPR	Dat	25	objp	_	-
15	dem	die	ART	ART	Def|Masc|Dat|Sg	17	det	_	-
16	"	"	$(	$(	_	0	root	_	-
17	Diadochenkampf	Diadochenkampf	N	NN	Masc|Dat|Sg	14	pn	_	-
18	"	"	$(	$(	_	0	root	_	-
19	zwischen	zwischen	PREP	APPR	_	17	pp	_	-
20	Ex-Bravo-Chef	Ex-Bravo-Chef	N	NN	Masc|_|Sg	19	pn	_	-
21	Gerald	Gerald	N	NE	_|Dat|Sg	20	app	_	-
22	Büchelmaier	Büchelmaier	N	NE	_|Dat|Sg	21	app	_	-
23	und	und	KON	KON	_	22	kon	_	-
24	mir	ich	PRO	PPER	1|Sg|_|Dat	23	cj	_	(4)
25	erfahren	erfahren	V	VVPP	_	26	aux	_	-
26	haben	haben	V	VAINF	_	10	aux	_	-
27	-	-	$(	$(	_	0	root	_	-
28	was	was	PRO	PRELS	Neut|Nom|Sg	31	subj	_	(2)
29	blanker	blank	ADJA	ADJA	Pos|Masc|Nom|Sg|St|	30	attr	_	-
30	Unsinn	Unsinn	N	NN	Masc|Nom|Sg	31	pred	_	-
31	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
32	!	!	$.	$.	_	0	root	_	-

1	Auch	auch	ADV	ADV	_	2	adv	_	-
2	bei	bei	PREP	APPR	Dat	15	pp	_	-
3	seinen	seine	ART	PPOSAT	_|Dat|_	5	det	_	(2)
4	investigativen	investigativ	ADJA	ADJA	Pos|_|Dat|_|_|	5	attr	_	-
5	Recherchen	Recherche	N	NN	_|Dat|_	2	pn	_	-
6	in	in	PREP	APPR	Dat	5	pp	_	-
7	der	die	ART	ART	Def|Fem|Dat|Sg	8	det	_	-
8	Unterwelt	Unterwelt	N	NN	Fem|Dat|Sg	6	pn	_	-
9	der	die	ART	ART	Def|_|Gen|Pl	11	det	_	-
10	Münchner	Münchner	ADJA	ADJA	_|_|Gen|Pl|_	11	attr	_	-
11	Verlagshäuser	Verlagshaus	N	NN	_|Gen|Pl	8	gmod	_	-
12	Bauer	Bauer	N	NE	_|_|Sg	11	app	_	-
13	und	und	KON	KON	_	12	kon	_	-
14	Burda	Burda	N	NE	_|_|Sg	13	cj	_	-
15	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
16	Frank	Frank	N	NE	_|Nom|Sg	15	subj	_	(3)
17	leider	leider	ADV	ADV	_	15	adv	_	-
18	ein	eine	ART	ART	Indef|_|_|Sg	0	root	_	-
19	wenig	wenig	ADV	ADV	_	21	adv	_	-
20	die	die	ART	ART	Def|Fem|_|Sg	21	det	_	-
21	Orientierung	Orientierung	N	NN	Fem|_|Sg	0	root	_	-
22	verloren	verlieren	V	VVPP	_	0	root	_	-
23	:	\:	$.	$.	_	0	root	_	-
