1	Aus	aus	PREP	APPR	Dat	4	objp	_	-
2	allen	alle	ART	PIDAT	Fem|Dat|Pl	3	det	_	-
3	Wolken	Wolke	N	NN	Fem|Dat|Pl	1	pn	_	-
4	fiel	fallen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
5	kürzlich	kürzlich	ADV	ADV	_	4	adv	_	-
6	die	die	ART	ART	Def|Fem|Nom|Sg	8	det	_	-
7	kirchliche	kirchlich	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	8	attr	_	-
8	Ordensgesellschaft	Ordensgesellschaft	N	NN	Fem|Nom|Sg	4	subj	_	-
9	Societas	Societas	N	NE	Fem|Nom|Sg	8	app	_	-
10	Verbi	Verbi	N	NE	Fem|Nom|Sg	9	app	_	-
11	Divini	Divini	N	NE	Fem|Nom|Sg	10	app	_	-
12	(	(	$(	$(	_	0	root	_	-
13	SVD	SVD	N	NE	Fem|Nom|Sg	11	app	_	-
14	)	)	$(	$(	_	0	root	_	-
15	.	.	$.	$.	_	0	root	_	-

1	Der	die	ART	ART	Def|Masc|Nom|Sg	2	det	_	-
2	Schwulenverband	Schwulenverband	N	NN	Masc|Nom|Sg	8	subj	_	-
3	in	in	PREP	APPR	_	2	pp	_	-
4	Deutschland	Deutschland	N	NE	_|_|_	3	pn	_	-
5	(	(	$(	$(	_	0	root	_	-
6	SVD	SVD	N	NE	_|_|_	4	app	_	-
7	)	)	$(	$(	_	0	root	_	-
8	benutzt	benutzen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
9	dieselbe	dieselbe	ART	PDAT	Fem|_|Sg	10	det	_	-
10	Abkürzung	Abkürzung	N	NN	Fem|_|Sg	8	obja	_	-
11	.	.	$.	$.	_	0	root	_	-

1	Sofort	sofort	ADV	ADV	_	2	adv	_	-
2	wurden	werden	V	VAFIN	3|Pl|Past|Ind	0	root	_	-
3	Anwälte	Anwalt	N	NN	Masc|Nom|Pl	2	subj	_	-
4	eingesetzt	einsetzen	V	VVPP	_	2	aux	_	-
5	,	,	$,	$,	_	0	root	_	-
6	die	die	ART	ART	Def|Fem|_|Sg	8	det	_	-
7	häßliche	häßlich	ADJA	ADJA	Pos|Fem|_|Sg|_|	8	attr	_	-
8	Namensrechtsverletzung	Namensrechtsverletzung	N	NN	Fem|_|Sg	10	obja	_	-
9	zu	zu	PTKZU	PTKZU	_	10	part	_	-
10	unterbinden	unterbinden	V	VVINF	_	4	obji	_	-
11	.	.	$.	$.	_	0	root	_	-

