1	Musiktheater	Musiktheater	N	NN	Neut|_|_	5	vok	_	-
2	dieser	diese	ART	PDAT	Fem|Gen|Sg	3	det	_	-
3	Stadt	Stadt	N	NN	Fem|Gen|Sg	1	gmod	_	-
4	,	,	$,	$,	_	0	root	_	-
5	haltet	halten	V	VVFIN	2|Pl|Pres|_	0	root	_	-
6	zusammen	zusammen	PTKVZ	PTKVZ	_	5	avz	_	-
7	!	!	$.	$.	_	0	root	_	-

1	Katja	Katja	N	NE	_|Nom|Sg	6	subj	_	(0
2	"	"	$(	$(	_	0	root	_	-
3	Kama	Kama	N	NE	_|Nom|Sg	1	app	_	-
4	"	"	$(	$(	_	0	root	_	-
5	Nottke	Nottke	N	NE	_|Nom|Sg	3	app	_	0)
6	spielt	spielen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
7	im	in	PREP	APPRART	Dat	6	pp	_	-
8	Theater	Theater	N	NN	Neut|Dat|Sg	7	pn	_	-
9	des	die	ART	ART	Def|Masc|Gen|Sg	10	det	_	-
10	Westens	Westen	N	NN	Masc|Gen|Sg	8	gmod	_	-
11	als	als	KOKOM	KOKOM	_	6	kom	_	-
12	Zweitbesetzung	Zweitbesetzung	N	NN	Fem|_|Sg	11	cj	_	-
13	von	von	PREP	APPR	_	12	pp	_	-
14	Angelika	Angelika	N	NE	_|_|_	13	pn	_	-
15	Milster	Milster	N	NE	_|_|_	14	app	_	-
16	nicht	nicht	PTKNEG	PTKNEG	_	6	adv	_	-
17	nur	nur	ADV	ADV	_	6	adv	_	-
18	die	die	ART	ART	Def|_|_|_	19	det	_	-
19	Titelrolle	Titelrolle	N	NN	_|_|_	6	obja	_	-
20	von	von	PREP	APPR	_	19	pp	_	-
21	"	"	$(	$(	_	0	root	_	-
22	Hello	Hello	N	NE	_|_|_	20	pn	_	-
23	Dolly	Dolly	N	NE	_|_|_	22	app	_	-
24	"	"	$(	$(	_	0	root	_	-
25	,	,	$,	$,	_	0	root	_	-
26	sondern	sondern	KON	KON	_	6	kon	_	-
27	veranstaltet	veranstalten	V	VVFIN	_|_|Pres|_	26	cj	_	-
28	in	in	PREP	APPR	Dat	27	pp	_	-
29	der	die	ART	ART	Def|Fem|Dat|Sg	30	det	_	-
30	Kantstraße	Kantstraß	N	NN	Fem|Dat|Sg	28	pn	_	-
31	am	an	PREP	APPRART	Dat	27	pp	_	-
32	30.	30.	ADJA	ADJA	_|_|Dat|_|_|	31	pn	_	-

1	10.	10.	ADJA	ADJA	_|_|_|_|_|	0	root	_	-
2	auch	auch	ADV	ADV	_	5	adv	_	-
3	einen	eine	ART	ART	Indef|Masc|Acc|Sg	5	det	_	-
4	zweiten	zweit	ADJA	ADJA	_|Masc|Acc|Sg|_|	5	attr	_	-
5	Benefizabend	Benefizabend	N	NN	Masc|Acc|Sg	0	root	_	-
6	für	für	PREP	APPR	Acc	5	pp	_	-
7	ihr	ihre	ART	PPOSAT	Neut|Acc|Sg	9	det	_	(0)
8	verschuldetes	verschuldet	ADJA	ADJA	Pos|Neut|Acc|Sg|St|	9	attr	_	-
9	Kreuzberger	Kreuzberger	N	NN	Neut|Acc|Sg	6	pn	_	-
10	Theaterchen	Theaterchen	N	NN	Neut|Acc|_	9	app	_	-
11	.	.	$.	$.	_	0	root	_	-

