1	Indiens	Indien	NE	_	_	3	GMOD	_	(0
2	bengalische	bengalisch	ADJA	_	_	3	ATTR	_	_
3	Tiger	Tiger	NN	_	_	4	SUBJ	_	0)
4	fallen	fallen	VVFIN	_	_	0	ROOT	_	_
5	zunehmend	zunehmend	ADJD	_	_	4	ADV	_	_
6	Wilderern	Wilderer	NN	_	_	4	OBJD	_	_
7	zum	zu	APPRART	_	_	4	OBJP	_	_
8	Opfer	Opfer	NN	_	_	7	PN	_	_
9	.	.	$.	_	_	8	-PUNCT-	_	_

1	Im	in	APPRART	_	_	4	PP	_	_
2	Naturpark	Naturpark	NN	_	_	1	PN	_	_
3	Ranthambhor	Ranthambhor	NE	_	_	2	APP	_	_
4	wurden	werden%passiv	VAFIN	_	_	0	ROOT	_	_
5	bei	bei	APPR	_	_	13	PP	_	_
6	der	die	ART	_	_	8	DET	_	_
7	letzten	letzt	ADJA	_	_	8	ATTR	_	_
8	Zählung	Zählung	NN	_	_	5	PN	_	_
9	nur	nur	ADV	_	_	13	ADV	_	_
10	noch	noch	ADV	_	_	13	ADV	_	_
11	15	15	CARD	_	_	12	ATTR	_	_
12	Tiger	Tiger	NN	_	_	4	SUBJ	_	_
13	gefunden	finden	VVPP	_	_	4	AUX	_	_
14	-	-	$(	_	_	13	-PUNCT-	_	_
15	44	44	CARD	_	_	16	SUBJ	_	_
16	waren	sein	VAFIN	_	_	4	KON	_	_
17	es	es	PPER	_	_	16	PRED	_	_
18	noch	noch	ADV	_	_	16	ADV	_	_
19	vor	vor	APPR	_	_	16	PP	_	_
20	drei	drei	CARD	_	_	21	ATTR	_	_
21	Jahren	Jahr	NN	_	_	19	PN	_	_
22	.	.	$.	_	_	21	-PUNCT-	_	_

