1	Mehmet	Mehmet	NE	_	_	11	OBJD	_	(0
2	Scholl	Scholl	NE	_	_	1	APP	_	0)
3	im	in	APPRART	_	_	11	PP	_	_
4	diesjährigen	diesjährig	ADJA	_	_	5	ATTR	_	_
5	Jahrbuch	Jahrbuch	NN	_	_	3	PN	_	_
6	des	der	ART	_	_	7	DET	_	_
7	FC	FC	NN	_	_	5	GMOD	_	_
8	Bayern	Bayern	NE	_	_	7	APP	_	_
9	München	München	NE	_	_	8	APP	_	_
10	ein	ein	ART	_	_	11	DET	_	_
11	Lebensmotto	Lebensmotto	NN	_	_	0	ROOT	_	_
12	.	.	$.	_	_	11	-PUNCT-	_	_

1	"	"	$(	_	_	2	-PUNCT-	_	_
2	Habe	haben	VAFIN	_	_	8	S	_	_
3	keinen	kein	PIAT	_	_	4	DET	_	_
4	Wahlspruch	Wahlspruch	NN	_	_	2	OBJA	_	_
5	mehr	mehr	ADV	_	_	4	ADV	_	_
6	"	"	$(	_	_	5	-PUNCT-	_	_
7	,	,	$,	_	_	5	-PUNCT-	_	_
8	lautet	lauten	VVFIN	_	_	0	ROOT	_	_
9	Scholls	Scholl	NE	_	_	10	GMOD	_	(0)
10	Wahlspruch	Wahlspruch	NN	_	_	8	SUBJ	_	_
11	der	die	ART	_	_	12	DET	_	_
12	Saison	Saison	NN	_	_	10	GMOD	_	_
13	1995	1995	CARD	_	_	12	APP	_	_
14	/	/	$(	_	_	13	-PUNCT-	_	_
15	96	96	CARD	_	_	13	KON	_	_
16	.	.	$.	_	_	15	-PUNCT-	_	_

1	Arminia	Arminia	NE	_	_	0	ROOT	_	_
2	Bielefeld	Bielefeld	NE	_	_	1	APP	_	_
3	der	der	ART	_	_	4	DET	_	_
4	Heimnimbus	Heimnimbus	NN	_	_	2	APP	_	_
5	.	.	$.	_	_	4	-PUNCT-	_	_

