1	Anstatt	Anstatt	KOUI	KOUI	_	10	konj	_	-
2	mit	mit	PREP	APPR	Dat	10	pp	_	-
3	Tornados	Tornado	N	NN	Masc|Dat|Pl	2	pn	_	-
4	die	die	ART	ART	Def|Fem|_|Sg	5	det	_	-
5	Infrastruktur	Infrastruktur	N	NN	Fem|_|Sg	10	obja	_	-
6	der	die	ART	ART	Def|Fem|Gen|Sg	7	det	_	-
7	Bundesrepublik	Bundesrepublik	N	NN	Fem|Gen|Sg	5	gmod	_	-
8	Jugoslawien	Jugoslawien	N	NE	Neut|_|Sg	7	app	_	-
9	zu	zu	PTKZU	PTKZU	_	10	part	_	-
10	zerbomben	zerbomben	V	VVINF	_	12	neb	_	-
11	,	,	$,	$,	_	0	root	_	-
12	solle	sollen	V	VMFIN	3|Sg|Pres|Subj	0	root	_	-
13	die	die	ART	ART	Def|Fem|Nom|Sg	14	det	_	-
14	Nato	Nato	N	NE	Fem|Nom|Sg	12	subj	_	-
15	lieber	lieb	ADV	ADJD	Comp|	16	adv	_	-
16	Yogische	Yogische	ADJA	ADJA	_|Masc|_|_|_	17	attr	_	-
17	Flieger	Flieger	N	NN	Masc|_|_	21	obja	_	-
18	in	in	PREP	APPR	Acc	21	pp	_	-
19	das	die	ART	ART	Def|Neut|Acc|Sg	20	det	_	-
20	Kosovo	Kosovo	N	NE	Neut|Acc|Sg	18	pn	_	-
21	entsenden	entsenden	V	VVINF	_	12	aux	_	-
22	.	.	$.	$.	_	0	root	_	-

1	Dies	dies	PRO	PDS	Neut|Nom|Sg	2	subj	_	-
2	fordert	fordern	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
3	die	die	ART	ART	Def|Fem|_|Sg	5	det	_	-
4	Junge	jung	ADJA	ADJA	Pos|Fem|_|Sg|_|	5	attr	_	-
5	Naturgesetz	Naturgesetz	N	NN	Fem|_|Sg	2	obja	_	-
6	Partei	Partei	N	NN	Fem|_|Sg	5	app	_	-
7	.	.	$.	$.	_	0	root	_	-

1	Schon	schon	ADV	ADV	_	2	adv	_	-
2	bei	bei	PREP	APPR	Dat	11	pp	_	-
3	einer	eine	ART	ART	Indef|Fem|Dat|Sg	4	det	_	-
4	Gruppenmeditation	Gruppenmeditation	N	NN	Fem|Dat|Sg	2	pn	_	-
5	am	an	PREP	APPRART	Dat	4	pp	_	-
6	1.	1.	ADJA	ADJA	_|Masc|Dat|Sg|_|	7	attr	_	-
7	Mai	Mai	N	NN	Masc|Dat|Sg	5	pn	_	-
8	am	an	PREP	APPRART	Dat	7	pp	_	-
9	Brandenburger	Brandenburger	ADJA	ADJA	Pos|_|Dat|Sg|_|	10	attr	_	-
10	Tor	Tor	N	NN	_|Dat|Sg	8	pn	_	-
11	entstand	entstehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
12	"	"	$(	$(	_	0	root	_	-
13	ein	eine	ART	ART	Indef|Masc|Nom|Sg	15	det	_	-
14	meßbarerer	meßbar	ADJA	ADJA	Comp|Masc|Nom|Sg|St|	15	attr	_	-
15	Einfluß	Einfluß	N	NN	Masc|Nom|Sg	11	subj	_	-
16	von	von	PREP	APPR	_	15	pp	_	-
17	Geordnetheit	Geordnetheit	N	NN	Fem|_|Sg	16	pn	_	-
18	und	und	KON	KON	_	17	kon	_	-
19	Harmonie	Harmonie	N	NN	Fem|_|Sg	18	cj	_	-
20	,	,	$,	$,	_	0	root	_	-
21	der	die	ART	ART	Def|Fem|_|Sg	22	det	_	-
22	Grundlage	Grundlage	N	NN	Fem|_|Sg	19	app	_	-
23	,	,	$,	$,	_	0	root	_	-
24	auf	auf	PREP	APPR	Dat	29	pp	_	-
25	der	die	ART	ART	Def|_|_|_	27	det	_	-
26	politische	politisch	ADJA	ADJA	Pos|_|_|_|_|	27	attr	_	-
27	Verhandlungen	Verhandlung	N	NN	Fem|Dat|Sg	24	pn	_	-
28	erst	erst	ADV	ADV	_	29	adv	_	-
29	erfolgreich	erfolgreich	ADV	ADJD	Pos|	30	pred	_	-
30	sein	sein	V	VAINF	_	31	aux	_	-
31	können	können	V	VMFIN	_|Pl|Pres|_	11	kon	_	-
32	"	"	$(	$(	_	0	root	_	-
33	,	,	$,	$,	_	0	root	_	-
34	freute	freuen	V	VVFIN	3|Sg|Past|_	30	s	_	-
35	sich	sie	PRO	PRF	3|_|_	34	obja	_	-
36	Surya	Surya	N	NE	Fem|Nom|Sg	34	subj	_	-
37	Gied	Gied	N	NE	_|Nom|_	36	app	_	-
38	,	,	$,	$,	_	0	root	_	-
39	die	die	ART	ART	Def|_|Nom|_	40	det	_	-
40	Vorsitzende	Vorsitzende	N	NN	_|Nom|_	37	app	_	-
41	des	die	ART	ART	Def|Masc|Gen|Sg	42	det	_	-
42	Landesverbandes	Landesverband	N	NN	Masc|Gen|Sg	40	gmod	_	-
43	Berlin	Berlin	N	NE	_|_|Sg	42	app	_	-
44	.	.	$.	$.	_	0	root	_	-

