1	Berlin	Berlin	NE	_	_	0	ROOT	_	(2)
2	.	.	$.	_	_	1	-PUNCT-	_	_

1	Die	die	ART	_	_	2	DET	_	(0
2	Talsohle	Talsohle	NN	_	_	13	SUBJ	_	_
3	beim	bei	APPRART	_	_	2	PP	_	_
4	Beschäftigtenabbau	Beschäftigtenabbau	NN	_	_	3	PN	_	_
5	in	in	APPR	_	_	4	PP	_	_
6	der	die	ART	_	_	7	DET	_	(1
7	Metall-	Metallindustrie%n	TRUNC	_	_	5	PN	_	_
8	und	und	KON	_	_	7	KON	_	_
9	Elektroindustrie	Elektroindustrie	NN	_	_	8	CJ	_	1)
10	des	der	ART	_	_	12	DET	_	_
11	Berliner	Berliner	ADJA	_	_	12	ATTR	_	_
12	Ostteils	Ostteil	NN	_	_	7	GMOD	_	0)
13	ist	sein%aux	VAFIN	_	_	0	ROOT	_	_
14	nach	nach	APPR	_	_	23	PP	_	_
15	Ansicht	Ansicht	NN	_	_	14	PN	_	_
16	von	von	APPR	_	_	15	PP	_	_
17	Experten	Experte	NN	_	_	16	PN	_	_
18	der	die	ART	_	_	20	DET	_	_
19	Technischen	technisch	ADJA	_	_	20	ATTR	_	_
20	Universität	Universität	NN	_	_	17	GMOD	_	_
21	noch	noch	ADV	_	_	22	ADV	_	_
22	nicht	nicht	PTKNEG	_	_	23	ADV	_	_
23	erreicht	erreichen	VVPP	_	_	13	AUX	_	_
24	.	.	$.	_	_	23	-PUNCT-	_	_

1	Von	von	APPR	_	_	12	PP	_	_
2	den	der	ART	_	_	5	DET	_	_
3	einst	einst	ADV	_	_	5	ADV	_	_
4	160.000	160.000	CARD	_	_	5	ATTR	_	_
5	Arbeitnehmern	Arbeitnehmer	NN	_	_	1	PN	_	_
6	in	in	APPR	_	_	5	PP	_	_
7	dieser	diese	PDAT	_	_	8	DET	_	(1
8	Branche	Branche	NN	_	_	6	PN	_	1)
9	haben	haben	VAFIN	_	_	16	S	_	_
10	derzeit	derzeit	ADV	_	_	9	ADV	_	_
11	noch	noch	ADV	_	_	9	ADV	_	_
12	46.000	46.000	CARD	_	_	9	SUBJ	_	_
13	einen	ein	ART	_	_	14	DET	_	_
14	Job	Job	NN	_	_	9	OBJA	_	_
15	,	,	$,	_	_	14	-PUNCT-	_	_
16	weist	aus#weisen	VVFIN	_	_	0	ROOT	_	_
17	ein	ein	ART	_	_	23	DET	_	_
18	vom	von	APPRART	_	_	22	PP	_	_
19	Wirtschaftssenator	Wirtschaftssenator	NN	_	_	18	PN	_	_
20	in	in	APPR	_	_	22	PP	_	_
21	Auftrag	Auftrag	NN	_	_	20	PN	_	_
22	gegebenes	gegeben	ADJA	_	_	23	ATTR	_	_
23	Gutachten	Gutachten	NN	_	_	16	SUBJ	_	_
24	aus	_	PTKVZ	_	_	16	AVZ	_	_
25	.	.	$.	_	_	24	-PUNCT-	_	_

1	Obwohl	obwohl	KOUS	_	_	14	KONJ	_	_
2	es	es	PPER	_	_	14	SUBJ	_	_
3	in	in	APPR	_	_	13	PP	_	_
4	den	das	ART	_	_	6	DET	_	_
5	vergangenen	vergangen	ADJA	_	_	6	ATTR	_	_
6	Jahren	Jahr	NN	_	_	3	PN	_	_
7	bereits	bereits	ADV	_	_	13	ADV	_	_
8	starke	stark	ADJA	_	_	9	ATTR	_	_
9	Einbrüche	Einbruch	NN	_	_	13	OBJA	_	_
10	auf	auf	APPR	_	_	9	PP	_	_
11	den	der	ART	_	_	12	DET	_	_
12	Märkten	Markt	NN	_	_	10	PN	_	_
13	gegeben	geben	VVPP	_	_	14	AUX	_	_
14	hatte	haben%aux	VAFIN	_	_	16	NEB	_	_
15	,	,	$,	_	_	14	-PUNCT-	_	_
16	sanken	sinken	VVFIN	_	_	0	ROOT	_	_
17	bis	bis	APPR	_	_	16	PP	_	_
18	Mitte	Mitte	NN	_	_	17	PN	_	_
19	1992	1992	CARD	_	_	18	APP	_	_
20	die	der	ART	_	_	21	DET	_	_
21	Absatzerlöse	Absatzerlös	NN	_	_	16	SUBJ	_	_
22	gegenüber	gegenüber	APPR	_	_	16	PP	_	_
23	dem	das	ART	_	_	24	DET	_	_
24	Vorjahr	Vorjahr	NN	_	_	22	PN	_	_
25	nochmals	nochmals	ADV	_	_	16	ADV	_	_
26	um	um	APPR	_	_	16	PP	_	_
27	40	40	CARD	_	_	28	ATTR	_	_
28	Prozent	Prozent	NN	_	_	26	PN	_	_
29	im	in	APPRART	_	_	28	PP	_	_
30	Maschinenbau	Maschinenbau	NN	_	_	29	PN	_	_
31	und	und	KON	_	_	28	KON	_	_
32	26	26	CARD	_	_	33	ATTR	_	_
33	Prozent	Prozent	NN	_	_	31	CJ	_	_
34	in	in	APPR	_	_	33	PP	_	_
35	der	die	ART	_	_	36	DET	_	_
36	Elektrotechnik	Elektrotechnik	NN	_	_	34	PN	_	_
37	.	.	$.	_	_	36	-PUNCT-	_	_

