1	Am	Am	PTKA	PTKA	_	2	adv	_	-
2	liebsten	liebsten	ADV	ADJD	_	3	adv	_	-
3	hätte	haben	V	VAFIN	3|Sg|Past|Subj	0	root	_	-
4	sich	sie	PRO	PRF	3|_|_	17	obja	_	-
5	das	die	ART	ART	Def|Neut|Nom|Sg	7	det	_	-
6	Schweriner	Schweriner	ADJA	ADJA	Pos|Neut|Nom|Sg|_|	7	attr	_	-
7	Verwaltungsgericht	Verwaltungsgericht	N	NN	Neut|Nom|Sg	3	subj	_	-
8	mit	mit	PREP	APPR	Dat	17	pp	_	-
9	den	die	ART	ART	Def|Masc|Dat|Pl	10	det	_	-
10	Vorfällen	Vorfall	N	NN	Masc|Dat|Pl	8	pn	_	-
11	in	in	PREP	APPR	_	10	pp	_	-
12	Bad	Bad	N	NE	_|_|_	11	pn	_	-
13	Doberan	Doberan	N	NE	_|_|_	12	app	_	-
14	zunächst	zunächst	ADV	ADV	_	17	adv	_	-
15	gar	gar	ADV	ADV	_	16	adv	_	-
16	nicht	nicht	PTKNEG	PTKNEG	_	17	adv	_	-
17	beschäftigt	beschäftigen	V	VVPP	_	3	aux	_	-
18	.	.	$.	$.	_	0	root	_	-

1	Schließlich	schließlich	ADV	ADV	_	2	adv	_	-
2	liegt	liegen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
3	die	die	ART	ART	Def|Fem|Nom|Sg	4	det	_	-
4	Geschichte	Geschichte	N	NN	Fem|Nom|Sg	2	subj	_	-
5	schon	schon	ADV	ADV	_	2	adv	_	-
6	drei	drei	CARD	CARD	_	7	attr	_	-
7	Jahre	Jahr	N	NN	Neut|_|Pl	2	zeit	_	-
8	zurück	zurück	PTKVZ	PTKVZ	_	2	avz	_	-
9	-	-	$(	$(	_	0	root	_	-
10	und	und	KON	KON	_	2	kon	_	-
11	damals	damals	ADV	ADV	_	12	adv	_	-
12	war	sein	V	VAFIN	3|Sg|Past|Ind	10	cj	_	-
13	im	in	PREP	APPRART	Dat	12	pp	_	-
14	Osten	Osten	N	NN	_|Dat|Sg	13	pn	_	-
15	eben	eben	ADV	ADV	_	12	adv	_	-
16	noch	noch	ADV	ADV	_	12	adv	_	-
17	manches	manche	ART	PIAT	Neut|Nom|Sg	12	subj	_	-
18	anders	anders	ADV	ADV	_	12	pred	_	-
19	.	.	$.	$.	_	0	root	_	-

1	Auch	auch	ADV	ADV	_	2	adv	_	-
2	gestern	gestern	ADV	ADV	_	3	adv	_	-
3	warb	werben	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
4	Verwaltungsgerichts-Präsident	Verwaltungsgerichts-Präsident	N	NN	Masc|Nom|Sg	3	subj	_	-
5	Hobbeling	Hobbeling	N	NE	Masc|Nom|Sg	4	app	_	-
6	um	um	PREP	APPR	Acc	3	pp	_	-
7	Verständnis	Verständnis	N	NN	Neut|Acc|Sg	6	pn	_	-
8	:	\:	$.	$.	_	0	root	_	-
9	Die	die	ART	ART	Def|Masc|Nom|Pl	11	det	_	-
10	"	"	$(	$(	_	0	root	_	-
11	Ossis	Ossi	N	NN	Masc|Nom|Pl	13	subj	_	-
12	"	"	$(	$(	_	0	root	_	-
13	seien	sein	V	VAFIN	3|Pl|Pres|Subj	0	root	_	-
14	mit	mit	PREP	APPR	Dat	17	pp	_	-
15	solchen	solche	ART	PIDAT	_|Dat|_	16	det	_	-
16	Ereignissen	Ereignis	N	NN	_|Dat|_	14	pn	_	-
17	überfordert	überfordern	V	VVPP	_	18	aux	_	-
18	gewesen	sein	V	VAPP	_	13	aux	_	-
19	,	,	$,	$,	_	0	root	_	-
20	schließlich	schließlich	ADV	ADV	_	21	adv	_	-
21	habe	haben	V	VAFIN	3|Sg|Pres|Subj	13	kon	_	-
22	sich	sie	PRO	PRF	3|_|_	28	obja	_	-
23	die	die	ART	ART	Def|Fem|Nom|Sg	24	det	_	-
24	Polizei	Polizei	N	NN	Fem|Nom|Sg	21	subj	_	-
25	noch	noch	ADV	ADV	_	28	adv	_	-
26	im	in	PREP	APPRART	Dat	28	objp	_	-
27	Wende-Umbruch	Wende-Umbruch	N	NN	Masc|Dat|Sg	26	pn	_	-
28	befunden	befinden	V	VVPP	_	21	aux	_	-
29	.	.	$.	$.	_	0	root	_	-

1	Und	und	KON	KON	_	0	root	_	-
2	nach	nach	PREP	APPR	Dat	17	pp	_	-
3	dem	die	ART	ART	Def|Masc|Dat|Sg	4	det	_	-
4	Brandanschlag	Brandanschlag	N	NN	Masc|Dat|Sg	2	pn	_	-
5	auf	auf	PREP	APPR	Acc	4	pp	_	-
6	das	die	ART	ART	Def|Neut|Acc|Sg	7	det	_	-
7	Vietnamesen-Wohnheim	Vietnamesen-Wohnheim	N	NN	Neut|Acc|Sg	5	pn	_	-
8	im	in	PREP	APPRART	Dat	7	pp	_	-
9	Rostocker	Rostocker	ADJA	ADJA	Pos|Masc|Dat|Sg|_|	10	attr	_	-
10	Stadtteil	Stadtteil	N	NN	Masc|Dat|Sg	8	pn	_	-
11	Lichtenhagen	Lichtenhag	N	NN	Masc|Dat|Sg	10	app	_	-
12	-	-	$(	$(	_	0	root	_	-
13	Anlaß	Anlaß	N	NN	Masc|Dat|Sg	11	app	_	-
14	der	die	ART	ART	Def|Fem|Gen|Sg	15	det	_	-
15	Demo	Demo	N	NN	Fem|Gen|Sg	13	gmod	_	-
16	-	-	$(	$(	_	0	root	_	-
17	habe	haben	V	VAFIN	3|Sg|Pres|Subj	1	cj	_	-
