1	Warum	Warum	PWAV	PWAV	_	7	adv	_	-
2	ich	ich	PRO	PPER	1|Sg|_|Nom	8	subj	_	(0)
3	so	so	ADV	ADV	_	4	adv	_	-
4	selten	selten	ADV	ADJD	Pos|	7	adv	_	-
5	zu	zu	PREP	APPR	Dat	7	pp	_	-
6	Hochzeiten	Hochzeit	N	NN	Fem|Dat|Pl	5	pn	_	-
7	eingeladen	einladen	V	VVPP	_	8	aux	_	-
8	werde	werden	V	VAFIN	1|Sg|Pres|_	10	objc	_	-
9	,	,	$,	$,	_	0	root	_	-
10	verstehe	verstehen	V	VVFIN	1|Sg|Pres|_	0	root	_	-
11	ich	ich	PRO	PPER	1|Sg|_|Nom	10	subj	_	(0)
12	wirklich	wirklich	ADV	ADJD	Pos|	10	adv	_	-
13	nicht	nicht	PTKNEG	PTKNEG	_	10	adv	_	-
14	.	.	$.	$.	_	0	root	_	-

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	(0)
2	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	-
3	im	in	PREP	APPRART	Dat	2	pp	_	-
4	allerbesten	allergut	ADJA	ADJA	Sup|_|Dat|Sg|Wk|	5	attr	_	-
5	Hochzeitsgastalter	Hochzeitsgastalter	N	NN	_|Dat|Sg	3	pn	_	-
6	,	,	$,	$,	_	0	root	_	-
7	weil	weil	KOUS	KOUS	_	12	konj	_	-
8	ich	ich	PRO	PPER	1|Sg|_|Nom	12	subj	_	(0)
9	schon	schon	ADV	ADV	_	12	adv	_	-
10	zu	zu	PTKA	PTKA	_	11	adv	_	-
11	groß	groß	ADV	ADJD	Pos|	12	pred	_	-
12	bin	sein	V	VAFIN	1|Sg|Pres|Ind	2	neb	_	-
13	,	,	$,	$,	_	0	root	_	-
14	um	um	KOUI	KOUI	_	0	root	_	-
15	in	in	PREP	APPR	Dat	22	pp	_	-
16	der	die	ART	ART	Def|Fem|Dat|Sg	17	det	_	(8
17	Kirche	Kirche	N	NN	Fem|Dat|Sg	15	pn	_	8)
18	beim	bei	PREP	APPRART	Dat	22	pp	_	-
19	Segen	Segen	N	NN	Masc|Dat|_	18	pn	_	-
20	"	"	$(	$(	_	0	root	_	-
21	Was	was	PRO	PWS	Neut|Nom|Sg	22	pred	_	-
22	macht	machen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
23	der	die	ART	ART	Def|Masc|Nom|Sg	24	det	_	-
24	Onkel	Onkel	N	NN	Masc|Nom|Sg	22	subj	_	-
25	jetzt	jetzt	ADV	ADV	_	22	adv	_	-
26	?	?	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	zu	zu	PTKZU	PTKZU	_	3	part	_	-
3	brüllen	brüllen	V	VVINF	_	0	root	_	-
4	,	,	$,	$,	_	0	root	_	-
5	andererseits	andererseits	ADV	ADV	_	6	adv	_	-
6	wiederum	wiederum	ADV	ADV	_	7	adv	_	-
7	noch	noch	ADV	ADV	_	8	adv	_	-
8	nicht	nicht	PTKNEG	PTKNEG	_	9	adv	_	-
9	alt	alt	ADV	ADJD	Pos|	0	root	_	-
10	genug	genug	ADV	ADV	_	9	adv	_	-
11	,	,	$,	$,	_	0	root	_	-
12	um	um	KOUI	KOUI	_	19	konj	_	-
13	bereits	bereits	ADV	ADV	_	17	adv	_	-
14	nach	nach	PREP	APPR	Dat	17	pp	_	-
15	der	die	ART	ART	Def|Fem|Dat|Sg	16	det	_	-
16	Vorspeise	Vorspeise	N	NN	Fem|Dat|Sg	14	pn	_	-
17	eingeschlafen	einschlafen	V	VVPP	_	19	aux	_	-
18	zu	zu	PTKZU	PTKZU	_	19	part	_	-
19	sein	sein	V	VAINF	_	0	root	_	-
20	und	und	KON	KON	_	19	kon	_	-
21	mit	mit	PREP	APPR	Dat	30	pp	_	-
22	meinem	meine	ART	PPOSAT	Masc|Dat|Sg	24	det	_	(0)
23	rasselnden	rasselnd	ADJA	ADJA	Pos|Masc|Dat|Sg|Wk|<PPRES	24	attr	_	-
24	Sabberatem	Sabberatem	N	NN	Masc|Dat|Sg	21	pn	_	-
25	der	die	ART	ART	Def|Fem|Gen|Sg	26	det	_	-
26	Braut	Braut	N	NN	Fem|Gen|Sg	24	gmod	_	-
27	das	die	ART	ART	Def|Neut|_|Sg	28	det	_	-
28	Decollete	Decollete	N	NN	Neut|_|Sg	30	obja	_	-
29	zu	zu	PTKZU	PTKZU	_	30	part	_	-
30	besudeln	besudeln	V	VVINF	_	20	cj	_	-
31	.	.	$.	$.	_	0	root	_	-

1	Äußerst	äußerst	ADV	ADV	_	2	adv	_	-
2	erfreut	erfreut	ADV	ADJD	Pos|	3	adv	_	-
3	fuhr	fahren	V	VVFIN	1|Sg|Past|Ind	0	root	_	-
4	ich	ich	PRO	PPER	1|Sg|_|Nom	3	subj	_	(0)
5	deshalb	deshalb	PROAV	PROAV	_	3	pp	_	-
6	kurz	kurz	ADV	ADJD	Pos|	7	adv	_	-
7	nach	nach	PREP	APPR	Dat	3	pp	_	-
8	Silvester	Silvester	N	NN	_|Dat|Sg	7	pn	_	-
9	durch	durch	PREP	APPR	Acc	3	pp	_	-
10	die	die	ART	ART	Def|Fem|Acc|Sg	11	det	_	(1
11	Republik	Republik	N	NN	Fem|Acc|Sg	9	pn	_	1)
12	,	,	$,	$,	_	0	root	_	-
13	um	um	KOUI	KOUI	_	21	konj	_	-
14	einem	eine	ART	ART	Indef|Neut|Dat|Sg	16	det	_	-
15	solchen	solche	ART	PIDAT	Neut|Dat|Sg	16	attr	_	-
16	Topereignis	Topereignis	N	NN	Neut|Dat|Sg	21	objd	_	-
17	im	in	PREP	APPRART	Dat	21	pp	_	-
18	Leben	Leben	N	NN	Neut|Dat|_	17	pn	_	-
19	einer	eine	ART	ART	Indef|Fem|Gen|Sg	20	det	_	-
20	Freundin	Freundin	N	NN	Fem|Gen|Sg	18	gmod	_	-
21	beizuwohnen	beiwohnen	V	VVIZU	_	3	neb	_	-
22	.	.	$.	$.	_	0	root	_	-

1	Offenbar	offenbar	ADV	ADJD	Pos|	2	adv	_	-
2	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
3	sie	sie	PRO	PPER	3|Sg|Fem|Nom	2	subj	_	(1)
4	die	die	ART	ART	Def|Fem|_|Sg	6	det	_	-
5	gesamte	gesamt	ADJA	ADJA	Pos|Fem|_|Sg|_|	6	attr	_	-
6	Bevölkerung	Bevölkerung	N	NN	Fem|_|Sg	7	obja	_	-
7	eingeladen	einladen	V	VVPP	_	2	aux	_	-
8	,	,	$,	$,	_	0	root	_	-
9	denn	denn	KON	KON	_	2	kon	_	-
10	in	in	PREP	APPR	Dat	13	pp	_	-
11	den	die	ART	ART	Def|Masc|Dat|Pl	12	det	_	-
12	Zügen	Zug	N	NN	Masc|Dat|Pl	10	pn	_	-
13	konnte	können	V	VMFIN	3|Sg|Past|Ind	9	cj	_	-
14	man	man	PRO	PIS	_|Nom|Sg	13	subj	_	-
