1	Taxifahrer	Taxifahrer	N	NN	Masc|Nom|Pl	2	subj	_	-
2	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	-
3	als	als	KOKOM	KOKOM	_	2	kom	_	-
4	Kolumnenthema	Kolumnenthema	N	NN	Neut|_|Sg	3	cj	_	-
5	eigentlich	eigentlich	ADV	ADV	_	2	adv	_	-
6	tabu	tabu	ADV	ADJD	Pos|	2	pred	_	-
7	,	,	$,	$,	_	0	root	_	-
8	weil	weil	KOUS	KOUS	_	15	konj	_	-
9	sie	sie	PRO	PPER	3|Pl|_|Nom	15	subj	_	-
10	als	als	KOKOM	KOKOM	_	15	kom	_	-
11	"	"	$(	$(	_	0	root	_	-
12	weiche	weich	ADJA	ADJA	Pos|Neut|_|Pl|St|	13	attr	_	-
13	Angriffsziele	Angriffsziel	N	NN	Neut|_|Pl	10	cj	_	-
14	"	"	$(	$(	_	0	root	_	-
15	gelten	gelten	V	VVFIN	3|Pl|Pres|_	2	neb	_	-
16	.	.	$.	$.	_	0	root	_	-

1	Der	die	ART	ART	Def|Masc|_|_	2	det	_	(0
2	Kutscher	Kutscher	N	NN	Masc|Nom|Sg	0	root	_	-
3	,	,	$,	$,	_	0	root	_	-
4	der	die	PRO	PRELS	Masc|Nom|Sg	14	subj	_	(0)
5	mich	ich	PRO	PPER	1|Sg|_|Acc	14	obja	_	(1)
6	vorige	vorig	ADJA	ADJA	Pos|Fem|_|Sg|_|	7	attr	_	-
7	Woche	Woche	N	NN	Fem|_|Sg	8	grad	_	-
8	im	in	PREP	APPRART	Dat	14	pp	_	-
9	walisischen	walisisch	ADJA	ADJA	Pos|_|Dat|_|_|	10	attr	_	-
10	Swansea	Swansea	N	NN	_|Dat|_	8	pn	_	-
11	zu	zu	PREP	APPR	Dat	14	pp	_	-
12	einem	eine	ART	ART	Indef|Neut|Dat|Sg	13	det	_	(18
13	Interview	Interview	N	NN	Neut|Dat|Sg	11	pn	_	18)
14	fuhr	fahren	V	VVFIN	3|Sg|Past|Ind	2	rel	_	-
15	,	,	$,	$,	_	0	root	_	-
16	war	sein	V	VAFIN	_|Sg|Past|Ind	14	kon	_	-
17	jedoch	jedoch	ADV	ADV	_	16	adv	_	-
18	ein	eine	ART	ART	Indef|Neut|Nom|Sg	20	det	_	-
19	besonderes	besonderes	ADJA	ADJA	_|Neut|Nom|Sg|_	20	attr	_	-
20	Exemplar	Exemplar	N	NN	Neut|Nom|Sg	16	pred	_	-
21	und	und	KON	KON	_	16	kon	_	-
22	verdient	verdienen	V	VVFIN	_|_|Pres|Ind	21	cj	_	-
23	es	es	PRO	PPER	3|Sg|Neut|_	22	obja	_	-
24	,	,	$,	$,	_	0	root	_	-
25	erwähnt	erwähnen	V	VVPP	_	27	aux	_	-
26	zu	zu	PTKZU	PTKZU	_	27	part	_	-
