1	Nein	nein	PTKANT	PTKANT	_	0	root	_	-
2	,	,	$,	$,	_	0	root	_	-
3	wirklich	wirklich	ADV	ADJD	Pos|	0	root	_	-
4	:	\:	$.	$.	_	0	root	_	-
5	Das	die	PRO	PDS	Neut|Nom|Sg	6	subj	_	-
6	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
7	schon	schon	ADV	ADV	_	6	adv	_	-
8	eine	eine	ART	ART	Indef|Fem|Nom|Sg	10	det	_	-
9	klasse	klasse	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	10	attr	_	-
10	Idee	Idee	N	NN	Fem|Nom|Sg	6	pred	_	-
11	vom	von	PREP	APPRART	Dat	10	pp	_	-
12	Hessischen	hessisch	ADJA	ADJA	Pos|Masc|Dat|Sg|Wk|	13	attr	_	-
13	Rundfunk	Rundfunk	N	NN	Masc|Dat|Sg	11	pn	_	-
14	,	,	$,	$,	_	0	root	_	-
15	das	die	ART	ART	Def|Neut|_|Sg	16	det	_	-
16	Radrennen	Radrennen	N	NN	Neut|_|Sg	30	obja	_	-
17	rund	rund	ADV	ADV	_	18	adv	_	-
18	um	um	PREP	APPR	Acc	30	pp	_	-
19	den	die	ART	ART	Def|Masc|Acc|Sg	20	det	_	-
20	Henninger	Henninger	N	NE	Masc|Acc|Sg	18	pn	_	-
21	Turm	Turm	N	NN	Masc|_|Sg	28	obja	_	-
22	am	an	PREP	APPRART	Dat	28	pp	_	-
23	Samstag	Samstag	N	NN	_|Dat|Sg	22	pn	_	-
24	von	von	PREP	APPR	Dat	28	pp	_	-
25	unserem	unsre	ART	PPOSAT	Masc|Dat|Sg	27	det	_	-
26	wochenendurlaubernden	wochenendurlaubernden	ADJA	ADJA	_|Masc|Dat|Sg|_	27	attr	_	-
27	Verteidigungsminister	Verteidigungsminister	N	NN	Masc|Dat|Sg	24	pn	_	-
28	kommentieren	kommentieren	V	VVINF	_	30	obji	_	-
29	zu	zu	PTKZU	PTKZU	_	30	part	_	-
30	lassen	lassen	V	VVINF	_	6	obji	_	-
31	.	.	$.	$.	_	0	root	_	-

1	1.	1.	ADV	ADJD	_	0	root	_	-

1	Der	die	ART	ART	Def|Masc|Nom|Sg	2	det	_	-
2	Radsport	Radsport	N	NN	Masc|Nom|Sg	3	subj	_	-
3	sei	sein	V	VAFIN	3|Sg|Pres|Subj	0	root	_	-
4	"	"	$(	$(	_	0	root	_	-
5	extrem	extrem	ADV	ADJD	Pos|	6	adv	_	-
6	brutal	brutal	ADV	ADJD	Pos|	3	pred	_	-
7	"	"	$(	$(	_	0	root	_	-
8	.	.	$.	$.	_	0	root	_	-

1	2.	2.	ADV	ADJD	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Konzentrieren	konzentrieren	V	VVFIN	1|Pl|Pres|_	0	root	_	-
3	wir	wir	PRO	PPER	1|Pl|_|Nom	2	subj	_	-
4	uns	wir	PRO	PRF	1|Pl|_	2	obja	_	-
5	wieder	wieder	ADV	ADV	_	2	adv	_	-
6	auf	auf	PREP	APPR	Acc	2	pp	_	-
7	das	die	ART	ART	Def|Neut|Acc|Sg	8	det	_	-
8	Rennen	Rennen	N	NN	Neut|Acc|Sg	6	pn	_	-
9	,	,	$,	$,	_	0	root	_	-
10	das	die	PRO	PDS	Neut|Nom|Sg	11	subj	_	-
11	tut	tun	V	VVFIN	3|Sg|Pres|Ind	2	kon	_	-
12	dann	dann	ADV	ADV	_	11	adv	_	-
13	auch	auch	ADV	ADV	_	11	adv	_	-
14	der	die	ART	ART	Def|Fem|Dat|Sg	16	det	_	-
15	eigenen	eigen	ADJA	ADJA	Pos|Fem|Dat|Sg|Wk|	16	attr	_	-
16	Seele	Seele	N	NN	Fem|Dat|Sg	11	objd	_	-
17	ganz	ganz	ADV	ADV	_	18	adv	_	-
18	gut	gut	ADV	ADJD	Pos|	11	pred	_	-
19	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-

