1	Wenn	wenn	KOUS	_	_	6	KONJ	_	_
2	's	es	PPER	_	_	6	SUBJ	_	_
3	denn	denn	ADV	_	_	6	ADV	_	_
4	so	so	ADV	_	_	5	ADV	_	_
5	einfach	einfach	ADJD	_	_	6	PRED	_	_
6	wäre	sein	VAFIN	_	_	0	ROOT	_	_
7	:	:	$.	_	_	6	-PUNCT-	_	_
8	Mit	mit	APPR	_	_	19	PP	_	_
9	Wünschen	Wunsch	NN	_	_	8	PN	_	_
10	,	,	$,	_	_	9	-PUNCT-	_	_
11	Ideen	Idee	NN	_	_	9	KON	_	_
12	und	und	KON	_	_	11	KON	_	_
13	Vorschlägen	Vorschlag	NN	_	_	12	CJ	_	_
14	,	,	$,	_	_	13	-PUNCT-	_	_
15	auf	auf	APPR	_	_	17	PP	_	_
16	Stoffstreifen	Stoffstreifen	NN	_	_	15	PN	_	_
17	gemalt	malen	VVPP	_	_	9	-UNKNOWN-	_	_
18	,	,	$,	_	_	17	-PUNCT-	_	_
19	wurde	werden%passiv	VAFIN	_	_	0	ROOT	_	_
20	am	an	APPRART	_	_	25	PP	_	_
21	Sonnabend	Sonnabend	NN	_	_	20	PN	_	_
22	das	das	ART	_	_	23	DET	_	_
23	Ozonloch	Ozonloch	NN	_	_	19	SUBJ	_	_
24	symbolisch	symbolisch	ADJD	_	_	25	ADV	_	_
25	gestopft	stopfen	VVPP	_	_	19	AUX	_	_
26	.	.	$.	_	_	25	-PUNCT-	_	_

1	In	in	APPR	_	_	6	PP	_	_
2	und	und	KON	_	_	1	KON	_	_
3	vor	vor	APPR	_	_	2	CJ	_	_
4	der	die	ART	_	_	5	DET	_	_
5	Fischauktionshalle	Fischauktionshalle	NN	_	_	3	PN	_	_
6	feierten	feiern	VVFIN	_	_	0	ROOT	_	_
7	fast	fast	ADV	_	_	9	ADV	_	_
8	1000	1000	CARD	_	_	9	ATTR	_	_
9	Greenteam-Kids	Greenteam-Kid	NN	_	_	6	SUBJ	_	_
10	zwischen	zwischen	APPR	_	_	9	PP	_	_
11	zehn	zehn	CARD	_	_	14	ATTR	_	_
12	und	und	KON	_	_	11	KON	_	_
13	14	14	CARD	_	_	12	CJ	_	_
14	Jahren	Jahr	NN	_	_	10	PN	_	_
15	aus	aus	APPR	_	_	9	PP	_	_
16	ganz	ganz	ADJA	_	_	17	ATTR	_	_
17	Deutschland	Deutschland	NE	_	_	15	PN	_	_
18	den	der	ART	_	_	20	DET	_	_
19	5.	5.	ADJA	_	_	20	ATTR	_	_
20	Geburtstag	Geburtstag	NN	_	_	6	OBJA	_	_
21	der	die	ART	_	_	22	DET	_	_
22	Greenpeace-Jugendorganisationen	Greenpeace-Jugendorganisation	NN	_	_	20	GMOD	_	_
23	.	.	$.	_	_	22	-PUNCT-	_	_

1	Motto	Motto	NN	_	_	0	ROOT	_	_
2	der	die	ART	_	_	3	DET	_	_
3	Riesenfete	Riesenfete	NN	_	_	1	GMOD	_	_
4	:	:	$.	_	_	3	-PUNCT-	_	_
5	"	"	$(	_	_	6	-PUNCT-	_	_
6	Mit	mit	APPR	_	_	9	PP	_	_
7	uns	wir	PPER	_	_	6	PN	_	_
8	die	die	ART	_	_	9	DET	_	_
9	Zukunft	Zukunft	NN	_	_	1	APP	_	_
10	statt	statt	APPR	_	_	9	PP	_	_
11	nach	nach	APPR	_	_	14	PP	_	_
12	Euch	ihr	PPER	_	_	11	PN	_	_
13	die	die	ART	_	_	14	DET	_	_
14	Sintflut	Sintflut	NN	_	_	10	PN	_	_
15	"	"	$(	_	_	14	-PUNCT-	_	_
16	.	.	$.	_	_	14	-PUNCT-	_	_

