1	Bitte	Bitte	ITJ	ITJ	_	0	root	_	-
2	keine	keine	ART	PIAT	_|_|_	3	det	_	-
3	Neidkomplexe	Neidkomplex	N	NN	_|_|_	0	root	_	-
4	!	!	$.	$.	_	0	root	_	-

1	Einmal	einmal	ADV	ADV	_	2	adv	_	-
2	mehr	mehr	ADV	ADV	_	3	adv	_	-
3	bekommt	bekommen	V	VVFIN	_|_|Pres|Ind	0	root	_	-
4	des	die	ART	ART	Def|_|Gen|Sg	0	root	_	-
5	Wissenschaftssenators	Wissenschaftssenator	N	NN	Masc|Gen|Sg	6	gmod	_	-
6	Lieblingskind	Lieblingskind	N	NN	Fem|_|Sg	0	root	_	-
7	-	-	$(	$(	_	0	root	_	-
8	die	die	ART	ART	Def|Fem|_|Sg	10	det	_	-
9	Technische	technisch	ADJA	ADJA	Pos|Fem|_|Sg|_|	10	attr	_	-
10	Universität	Universität	N	NN	Fem|_|Sg	6	app	_	-
11	in	in	PREP	APPR	_	10	pp	_	-
12	Harburg	Harburg	N	NE	_|_|_	11	pn	_	-
13	(	(	$(	$(	_	0	root	_	-
14	TUHH	TUHH	N	NE	_|_|_	12	app	_	-
15	)	)	$(	$(	_	0	root	_	-
16	-	-	$(	$(	_	0	root	_	-
17	eine	eine	ART	ART	Indef|Fem|_|Sg	18	det	_	-
18	Extraportion	Extraportion	N	NN	Fem|_|Sg	0	root	_	-
19	Zuwendung	Zuwendung	N	NN	Fem|_|Sg	18	app	_	-
20	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|Nom|Sg	2	det	_	-
2	Finanzierung	Finanzierung	N	NN	Fem|Nom|Sg	13	subj	_	-
3	für	für	PREP	APPR	Acc	2	pp	_	-
4	einen	eine	ART	ART	Indef|Masc|Acc|Sg	6	det	_	-
5	weiteren	weit	ADJA	ADJA	Comp|Masc|Acc|Sg|_|	6	attr	_	-
6	Ausbau	Ausbau	N	NN	Masc|Acc|Sg	3	pn	_	-
7	der	die	ART	ART	Def|Fem|Gen|Sg	8	det	_	-
8	Brutstätte	Brutstätte	N	NN	Fem|Gen|Sg	6	gmod	_	-
9	"	"	$(	$(	_	0	root	_	-
10	tüchtiger	tüchtig	ADJA	ADJA	Pos|Masc|Gen|Pl|St|	11	attr	_	-
11	Ingenieure	Ingenieur	N	NN	Masc|Gen|Pl	8	gmod	_	-
12	"	"	$(	$(	_	0	root	_	-
13	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
14	gesichert	sichern	V	VVPP	_	13	aux	_	-
15	,	,	$,	$,	_	0	root	_	-
16	jubelte	jubeln	V	VVFIN	3|Sg|Past|_	14	s	_	-
17	Senator	Senator	N	NN	Masc|Nom|Sg	16	subj	_	(3
18	Leonhard	Leonhard	N	NE	Masc|Nom|Sg	17	app	_	-
19	Hajen	Hajen	N	NE	Masc|Nom|Sg	18	app	_	3)
20	(	(	$(	$(	_	0	root	_	-
21	SPD	SPD	N	NE	Masc|Nom|Sg	19	app	_	-
22	)	)	$(	$(	_	0	root	_	-
23	gestern	gestern	ADV	ADV	_	16	adv	_	-
24	vor	vor	PREP	APPR	Dat	16	pp	_	-
25	der	die	ART	ART	Def|Fem|Dat|Sg	26	det	_	-
26	Landespressekonferenz	Landespressekonferenz	N	NN	Fem|Dat|Sg	24	pn	_	-
27	.	.	$.	$.	_	0	root	_	-

1	Der	die	ART	ART	Def|Masc|Nom|Sg	2	det	_	-
2	Haushaltsplan	Haushaltsplan	N	NN	Masc|Nom|Sg	4	subj	_	-
3	1996	1996	CARD	CARD	_	2	app	_	-
4	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	-
5	dafür	dafür	PROAV	PROAV	_	10	pp	_	-
6	um	um	PREP	APPR	_	10	pp	_	-
7	45	45	CARD	CARD	_	8	attr	_	-
8	Millionen	Million	N	NN	_|_|Sg	6	pn	_	-
9	Mark	Mark	N	NN	_|_|Sg	8	app	_	-
10	ergänzt	ergänzen	V	VVPP	_	11	aux	_	-
11	werden	werden	V	VAINF	_	4	aux	_	-
12	.	.	$.	$.	_	0	root	_	-

1	Dringend	dringend	ADV	ADJD	_|_	2	adv	_	-
2	brauche	brauchen	V	VVFIN	3|Sg|Pres|Subj	0	root	_	-
3	die	die	ART	ART	Def|Fem|Nom|Sg	4	det	_	(0
4	TUHH	TUHH	N	NN	Fem|Nom|Sg	2	subj	_	0)
5	einen	eine	ART	ART	Indef|Masc|Acc|Sg	7	det	_	-
6	neuen	neu	ADJA	ADJA	Pos|Masc|Acc|Sg|_|	7	attr	_	-
7	Hörsaal	Hörsaal	N	NN	Masc|Acc|Sg	2	obja	_	-
8	und	und	KON	KON	_	7	kon	_	-
9	ein	eine	ART	ART	Indef|Neut|Acc|Sg	10	det	_	-
10	Forschungsgebäude	Forschungsgebäude	N	NN	Neut|Acc|Sg	8	cj	_	-
11	.	.	$.	$.	_	0	root	_	-

1	Und	und	KON	KON	_	0	root	_	-
2	damit	damit	PROAV	PROAV	_	4	pp	_	-
3	nicht	nicht	PTKNEG	PTKNEG	_	4	adv	_	-
4	genug	genug	PRO	PIS	_	1	cj	_	-
5	:	\:	$.	$.	_	0	root	_	-
6	Stimmen	Stimme	N	NN	_|_|_	0	root	_	-
