1	Blinden	Blinde	N	NN	_|Dat|_	18	objd	_	-
2	und	und	KON	KON	_	1	kon	_	-
3	sehbehinderten	sehbehindert	ADJA	ADJA	Pos|Masc|Dat|_|_|	4	attr	_	-
4	Menschen	Mensch	N	NN	Masc|Dat|_	2	cj	_	-
5	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
6	bei	bei	PREP	APPR	Dat	18	pp	_	-
7	den	die	ART	ART	Def|Fem|Dat|Pl	8	det	_	(0
8	Wahlen	Wahl	N	NN	Fem|Dat|Pl	6	pn	_	-
9	zum	zu	PREP	APPRART	Dat	8	pp	_	-
10	Europa-Parlament	Europa-Parlament	N	NN	Neut|Dat|Sg	9	pn	_	0)
11	am	an	PREP	APPRART	Dat	18	pp	_	-
12	13.	13.	ADJA	ADJA	_|Masc|Dat|Sg|_|	13	attr	_	-
13	Juni	Juni	N	NN	Masc|Dat|Sg	11	pn	_	-
14	eine	eine	ART	ART	Indef|Fem|Nom|Sg	15	det	_	-
15	Stimmzettel-Schablone	Stimmzettel-Schablone	N	NN	Fem|Nom|Sg	5	subj	_	-
16	zur	zu	PREP	APPRART	Dat	18	objp	_	-
17	Verfügung	Verfügung	N	NN	Fem|Dat|Sg	16	pn	_	-
18	stehen	stehen	V	VVINF	_	5	aux	_	-
19	.	.	$.	$.	_	0	root	_	-

1	Damit	Damit	PROAV	PROAV	_	2	pp	_	-
2	können	können	V	VMFIN	3|Pl|Pres|_	0	root	_	-
3	sie	sie	PRO	PPER	3|Pl|_|Nom	2	subj	_	(0)
4	selbständig	selbständig	ADV	ADJD	Pos|	7	adv	_	-
5	ihre	ihre	ART	PPOSAT	Fem|_|Sg	6	det	_	(0)
6	Stimme	Stimme	N	NN	Fem|_|Sg	7	obja	_	-
7	abgeben	abgeben	V	VVINF	_	2	aux	_	-
8	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|Nom|Sg	2	det	_	-
2	Schablone	Schablone	N	NN	Fem|Nom|Sg	3	subj	_	-
3	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	-
4	in	in	PREP	APPR	Dat	11	pp	_	-
5	der	die	ART	ART	Def|Fem|Dat|Sg	6	det	_	-
6	Wahlkabine	Wahlkabine	N	NN	Fem|Dat|Sg	4	pn	_	-
7	als	als	KOKOM	KOKOM	_	6	kom	_	-
8	Hilfsmittel	Hilfsmittel	N	NN	Neut|_|_	7	cj	_	-
9	zum	zu	PREP	APPRART	Dat	11	pp	_	-
10	Ankreuzen	Ankreuzen	N	NN	Neut|Dat|Sg	9	pn	_	-
11	verwendet	verwenden	V	VVPP	_	3	neb	_	-
12	oder	oder	KON	KON	_	11	kon	_	-
13	bei	bei	PREP	APPR	Dat	16	pp	_	-
14	der	die	ART	ART	Def|Fem|Dat|Sg	15	det	_	-
15	Briefwahl	Briefwahl	N	NN	Fem|Dat|Sg	13	pn	_	-
16	benutzt	benutzen	V	VVPP	_	12	cj	_	-
17	werden	werden	V	VAINF	_	0	root	_	-
18	.	.	$.	$.	_	0	root	_	-

