1	Zurück	_	PTKVZ	_	_	5	AVZ	_	_
2	in	in	APPR	_	_	15	PP	_	_
3	die	die	ART	_	_	4	DET	_	(0
4	Eiszeit	Eiszeit	NN	_	_	2	PN	_	0)
5	können	können%aux	VMFIN	_	_	0	ROOT	_	_
6	sich	#refl	PRF	_	_	15	OBJA	_	_
7	jetzt	jetzt	ADV	_	_	15	ADV	_	_
8	Besucher	Besucher	NN	_	_	5	SUBJ	_	_
9	der	die	ART	_	_	10	DET	_	(1
10	Stadt	Stadt	NN	_	_	8	GMOD	_	_
11	Verden	Verden	NE	_	_	10	APP	_	_
12	an	an	APPR	_	_	11	PP	_	_
13	der	die	ART	_	_	14	DET	_	_
14	Aller	Aller	NE	_	_	12	PN	_	1)
15	versetzen	zurück#versetzen	VVINF	_	_	16	OBJI	_	_
16	lassen	lassen	VVINF	_	_	5	AUX	_	_
17	.	.	$.	_	_	16	-PUNCT-	_	_

1	Das	das	ART	_	_	3	DET	_	_
2	Historische	historisch	ADJA	_	_	3	ATTR	_	_
3	Museum	Museum	NN	_	_	8	SUBJ	_	_
4	,	,	$,	_	_	3	-PUNCT-	_	_
5	das	das	ART	_	_	6	DET	_	_
6	Domherrenhaus	Domherrenhaus	NN	_	_	3	APP	_	_
7	,	,	$,	_	_	6	-PUNCT-	_	_
8	zeigt	zeigen	VVFIN	_	_	0	ROOT	_	_
9	seit	seit	APPR	_	_	8	PP	_	_
10	Sonntag	Sonntag	NN	_	_	9	PN	_	_
11	einen	ein	ART	_	_	12	DET	_	_
12	Jagdplatz	Jagdplatz	NN	_	_	8	OBJA	_	_
13	früherer	früher	ADJA	_	_	14	ATTR	_	_
14	Menschen	Mensch	NN	_	_	12	GMOD	_	_
15	aus	aus	APPR	_	_	12	PP	_	_
16	der	die	ART	_	_	17	DET	_	_
17	Zeit	Zeit	NN	_	_	15	PN	_	_
18	der	der	ART	_	_	19	DET	_	_
19	Neandertaler	Neandertaler	NN	_	_	17	GMOD	_	_
20	.	.	$.	_	_	19	-PUNCT-	_	_

1	Interessierte	Interessierter|Interessierte|Interessiertes	NN	_	_	2	SUBJ	_	_
2	können	können%aux	VMFIN	_	_	0	ROOT	_	_
3	dort	dort	ADV	_	_	11	ADV	_	_
4	eine	eine	ART	_	_	6	DET	_	_
5	nachgebaute	nachgebaut	ADJA	_	_	6	ATTR	_	_
6	Feuerstelle	Feuerstelle	NN	_	_	11	OBJA	_	_
7	auch	auch	ADV	_	_	11	ADV	_	_
8	mit	mit	APPR	_	_	11	PP	_	_
9	der	die	ART	_	_	10	DET	_	_
10	Nase	Nase	NN	_	_	8	PN	_	_
11	wahrnehmen	wahr#nehmen	VVINF	_	_	2	AUX	_	_
12	,	,	$,	_	_	11	-PUNCT-	_	_
13	die	die	ART	_	_	14	DET	_	_
14	Geräuschkulisse	Geräuschkulisse	NN	_	_	17	OBJA	_	_
15	der	die	ART	_	_	16	DET	_	_
16	Steppenlandschaft	Steppenlandschaft	NN	_	_	14	GMOD	_	_
17	hören	hören	VVINF	_	_	2	KON	_	_
18	und	und	KON	_	_	17	KON	_	_
19	am	an	APPRART	_	_	21	PP	_	_
20	Feuerstein	Feuerstein	NN	_	_	19	PN	_	_
21	schlagen	schlagen	VVINF	_	_	18	CJ	_	_
22	.	.	$.	_	_	21	-PUNCT-	_	_

