1	Was	was	PWS	_	_	6	OBJA	_	(2
2	immer	immer	ADV	_	_	1	ADV	_	2)
3	er	er	PPER	_	_	7	SUBJ	_	_
4	in	in	APPR	_	_	6	PP	_	_
5	Belgrad	Belgrad	NE	_	_	4	PN	_	(0)
6	erreichen	erreichen	VVINF	_	_	7	AUX	_	_
7	werde	werden%aux	VAFIN	_	_	22	NEB	_	_
8	,	,	$,	_	_	7	-PUNCT-	_	_
9	hatte	haben%aux	VAFIN	_	_	7	PAR	_	_
10	Bill	Bill	NE	_	_	12	GMOD	_	(5
11	Clintons	Clinton	NE	_	_	10	APP	_	5)
12	Sicherheitsberater	Sicherheitsberater	NN	_	_	9	SUBJ	_	_
13	Samuel	Samuel	NE	_	_	12	APP	_	_
14	Berger	Berger	NE	_	_	13	APP	_	_
15	den	der	ART	_	_	16	DET	_	(1
16	Bürgerrechtler	Bürgerrechtler	NN	_	_	19	OBJA	_	_
17	Jesse	Jesse	NE	_	_	16	APP	_	_
18	Jackson	Jackson	NE	_	_	17	APP	_	1)
19	gewarnt	warnen	VVPP	_	_	9	AUX	_	_
20	,	,	$,	_	_	19	-PUNCT-	_	_
21	es	es	PPER	_	_	22	SUBJ	_	(2)
22	werde	werden%aux	VAFIN	_	_	0	ROOT	_	_
23	keine	keine	PIAT	_	_	24	DET	_	_
24	Auswirkungen	Auswirkung	NN	_	_	32	OBJA	_	_
25	auf	auf	APPR	_	_	24	PP	_	_
26	die	die	ART	_	_	27	DET	_	_
27	Bombenkampagne	Bombenkampagne	NN	_	_	25	PN	_	_
28	der	die	ART	_	_	29	DET	_	_
29	Nato	Nato	NE	_	_	27	GMOD	_	_
30	gegen	gegen	APPR	_	_	27	PP	_	_
31	Jugoslawien	Jugoslawien	NE	_	_	30	PN	_	_
32	haben	haben	VAINF	_	_	22	AUX	_	_
33	.	.	$.	_	_	32	-PUNCT-	_	_

1	Die	die	ART	_	_	2	DET	_	_
2	Reise	Reise	NN	_	_	7	SUBJ	_	_
3	Jacksons	Jackson	NE	_	_	2	GMOD	_	(1)
4	und	und	KON	_	_	3	KON	_	_
5	seiner	seine	PPOSAT	_	_	6	DET	_	(1)
6	Delegation	Delegation	NN	_	_	4	CJ	_	_
7	habe	haben	VAFIN	_	_	0	ROOT	_	_
8	nicht	nicht	PTKNEG	_	_	7	ADV	_	_
9	die	die	ART	_	_	10	DET	_	_
10	Unterstützung	Unterstützung	NN	_	_	7	OBJA	_	_
11	der	die	ART	_	_	12	DET	_	_
12	Administration	Administration	NN	_	_	10	GMOD	_	_
13	in	in	APPR	_	_	12	PP	_	_
14	Washington	Washington	NE	_	_	13	PN	_	(3)
15	.	.	$.	_	_	14	-PUNCT-	_	_

1	War	sein	VAFIN	_	_	0	ROOT	_	_
2	das	das	PDS	_	_	1	SUBJ	_	_
3	die	die	ART	_	_	5	DET	_	_
4	schroffe	schroff	ADJA	_	_	5	ATTR	_	_
5	Haltung	Haltung	NN	_	_	1	PRED	_	_
6	einer	eine	ART	_	_	7	DET	_	(4
7	Regierung	Regierung	NN	_	_	5	GMOD	_	4)
8	,	,	$,	_	_	7	-PUNCT-	_	_
9	die	die	PRELS	_	_	15	SUBJ	_	(4)
10	von	von	APPR	_	_	14	PP	_	_
11	Diplomatie	Diplomatie	NN	_	_	10	PN	_	_
12	einfach	einfach	ADV	_	_	14	ADV	_	_
13	nichts	nichts	PIS	_	_	14	OBJA	_	_
14	wissen	wissen	VVINF	_	_	15	AUX	_	_
15	will	wollen%aux	VMFIN	_	_	5	REL	_	_
16	?	?	$.	_	_	15	-PUNCT-	_	_

1	Mitnichten	mitnichten	ADV	_	_	0	ROOT	_	_
2	.	.	$.	_	_	1	-PUNCT-	_	_

1	Es	es	PPER	_	_	2	SUBJ	_	_
2	war	sein	VAFIN	_	_	0	ROOT	_	_
3	eher	eher	ADV	_	_	2	ADV	_	_
4	geschicktes	geschickt	ADJA	_	_	5	ATTR	_	_
5	Kalkül	Kalkül	NN	_	_	2	PRED	_	_
6	.	.	$.	_	_	5	-PUNCT-	_	_

1	Jackson	Jackson	NE	_	_	2	SUBJ	_	(1)
