1	Wie	wie	KOKOM	_	_	4	KOM	_	_
2	bereits	bereits	ADV	_	_	3	ADV	_	_
3	1992	1992	CARD	_	_	1	CJ	_	_
4	tummeln	tummeln	VVFIN	_	_	0	ROOT	_	_
5	sich	#refl	PRF	_	_	4	OBJA	_	_
6	auch	auch	ADV	_	_	4	ADV	_	_
7	diesmal	diesmal	ADV	_	_	4	ADV	_	_
8	wieder	wieder	ADV	_	_	4	ADV	_	_
9	die	der|die|das	ART	_	_	12	DET	_	(0
10	rechtsextremistischen	rechtsextremistisch	ADJA	_	_	12	ATTR	_	_
11	"	"	$(	_	_	12	-PUNCT-	_	_
12	Nationalen	Nationaler|Nationale|Nationales	NN	_	_	4	SUBJ	_	0)
13	"	"	$(	_	_	12	-PUNCT-	_	_
14	am	an	APPRART	_	_	4	PP	_	_
15	äußersten	äußerst	ADJA	_	_	17	ATTR	_	_
16	rechten	rechts	ADJA	_	_	17	ATTR	_	_
17	Rand	Rand	NN	_	_	14	PN	_	_
18	.	.	$.	_	_	17	-PUNCT-	_	_

1	Obwohl	obwohl	KOUS	_	_	19	KONJ	_	_
2	die	die	ART	_	_	3	DET	_	(1
3	Sammlungsbewegung	Sammlungsbewegung	NN	_	_	19	SUBJ	_	1)
4	,	,	$,	_	_	3	-PUNCT-	_	_
5	zu	zu	APPR	_	_	12	OBJP	_	_
6	deren	deren	PRELAT	_	_	7	DET	_	(1)
7	Unterstützern	Unterstützer	NN	_	_	5	PN	_	_
8	Mitglieder	Mitglied	NN	_	_	12	SUBJ	_	_
9	der	die	ART	_	_	11	DET	_	_
10	verbotenen	verboten	ADJA	_	_	11	ATTR	_	_
11	FAP	FAP	NE	_	_	8	GMOD	_	_
12	gehören	gehören	VVFIN	_	_	3	REL	_	_
13	,	,	$,	_	_	12	-PUNCT-	_	_
14	großspurig	großspurig	ADJD	_	_	19	ADV	_	_
15	die	die	ART	_	_	16	DET	_	_
16	Aufstellung	Aufstellung	NN	_	_	19	OBJA	_	_
17	einer	eine	ART	_	_	18	DET	_	_
18	Landesliste	Landesliste	NN	_	_	16	GMOD	_	_
19	bekanntgab	bekannt#geben	VVFIN	_	_	21	NEB	_	_
20	,	,	$,	_	_	19	-PUNCT-	_	_
21	schafften	schaffen	VVFIN	_	_	0	ROOT	_	_
22	sie	sie	PPER	_	_	21	SUBJ	_	(0)
23	es	es	PPER	_	_	21	EXPL	_	_
24	nur	nur	ADV	_	_	21	ADV	_	_
25	in	in	APPR	_	_	21	PP	_	_
26	zwei	zwei	CARD	_	_	27	ATTR	_	_
27	Wahlkreisen	Wahlkreis	NN	_	_	25	PN	_	_
28	in	in	APPR	_	_	27	PP	_	_
29	Treptow	Treptow	NE	_	_	28	PN	_	_
30	und	und	KON	_	_	29	KON	_	_
31	Tiergarten	Tiergarten	NE	_	_	30	CJ	_	_
32	,	,	$,	_	_	31	-PUNCT-	_	_
33	Kandidaten	Kandidat	NN	_	_	34	OBJA	_	_
34	aufzustellen	auf#stellen	VVIZU	_	_	21	OBJI	_	_
35	.	.	$.	_	_	34	-PUNCT-	_	_

1	Ähnlich	ähnlich	ADJD	_	_	2	ADV	_	_
2	dürftig	dürftig	ADJD	_	_	3	PRED	_	_
3	sieht	aus#sehen	VVFIN	_	_	0	ROOT	_	_
4	es	es	PPER	_	_	3	SUBJ	_	_
5	bei	bei	APPR	_	_	3	PP	_	_
6	der	die	ART	_	_	7	DET	_	(2
7	Bürgerrechtsbewegung	Bürgerrechtsbewegung	NN	_	_	5	PN	_	_
8	Solidarität	Solidarität	NN	_	_	7	APP	_	2)
9	aus	_	PTKVZ	_	_	3	AVZ	_	_
10	,	,	$,	_	_	9	-PUNCT-	_	_
11	hinter	hinter	APPR	_	_	22	PP	_	_
12	der	die	PRELS	_	_	11	PN	_	(2)
13	sich	#refl	PRF	_	_	22	OBJA	_	_
14	die	die	ART	_	_	16	DET	_	_
15	sektenartige	sektenartig	ADJA	_	_	16	ATTR	_	_
16	Organisation	Organisation	NN	_	_	22	SUBJ	_	_
17	der	die	ART	_	_	18	DET	_	_
18	Chefideologin	Chefideologin	NN	_	_	16	GMOD	_	_
19	Helga	Helga	NE	_	_	18	APP	_	_
20	Zepp-La	Zepp-La	NE	_	_	19	APP	_	_
21	Rouche	Rouche	NE	_	_	20	APP	_	_
22	verbirgt	verbergen	VVFIN	_	_	8	REL	_	_
23	(	(	$(	_	_	24	-PUNCT-	_	_
24	siehe	sehen	VVIMP	_	_	0	ROOT	_	_
25	Seite	Seite	NN	_	_	24	OBJA	_	_
26	24	24	CARD	_	_	25	APP	_	_
27	)	)	$(	_	_	26	-PUNCT-	_	_
28	.	.	$.	_	_	26	-PUNCT-	_	_

1	Im	in	APPRART	_	_	4	PP	_	_
2	rechtskonservativen	rechtskonservativ	ADJA	_	_	3	ATTR	_	_
3	Lager	Lager	NN	_	_	1	PN	_	_
4	tummeln	tummeln	VVFIN	_	_	0	ROOT	_	_
5	sich	#refl	PRF	_	_	4	OBJA	_	_
6	gleich	gleich	ADV	_	_	4	ADV	_	_
7	mehrere	mehrere	PIAT	_	_	8	DET	_	_
8	Kleinstparteien	Kleinstpartei	NN	_	_	4	SUBJ	_	_
9	.	.	$.	_	_	8	-PUNCT-	_	_

1	Die	die	ART	_	_	3	DET	_	_
2	Ökologisch-Demokratische	ökologisch-demokratisch	ADJA	_	_	3	ATTR	_	_
3	Partei	Partei	NN	_	_	12	SUBJ	_	_
4	(	(	$(	_	_	5	-PUNCT-	_	_
5	ÖDP	ÖDP	NE	_	_	3	APP	_	_
6	)	)	$(	_	_	5	-PUNCT-	_	_
7	,	,	$,	_	_	5	-PUNCT-	_	_
8	stramm	stramm	ADJD	_	_	9	ADV	_	_
9	auf	auf	APPR	_	_	5	PP	_	_
10	Anti-Abtreibungs-Kurs	Anti-Abtreibungs-Kurs	NN	_	_	9	PN	_	_
11	,	,	$,	_	_	10	-PUNCT-	_	_
12	geht	gehen	VVFIN	_	_	0	ROOT	_	_
13	mit	mit	APPR	_	_	12	PP	_	_
14	einer	eine	ART	_	_	15	DET	_	_
15	Landesliste	Landesliste	NN	_	_	13	PN	_	_
16	ins	in	APPRART	_	_	12	OBJP	_	_
17	Rennen	Rennen	NN	_	_	16	PN	_	_
18	,	,	$,	_	_	17	-PUNCT-	_	_
19	schaffte	schaffen	VVFIN	_	_	12	KON	_	_
20	es	es	PPER	_	_	19	OBJA	_	_
21	aber	aber	ADV	_	_	19	ADV	_	_
22	mangels	mangels	APPR	_	_	19	PP	_	_
23	Personal	Personal	NN	_	_	22	PN	_	_
24	nur	nur	ADV	_	_	19	ADV	_	_
25	zur	zu	APPRART	_	_	19	OBJP	_	_
26	Aufstellung	Aufstellung	NN	_	_	25	PN	_	_
27	von	von	APPR	_	_	26	PP	_	_
28	Wahlkreisbewerbern	Wahlkreisbewerber	NN	_	_	27	PN	_	_
29	in	in	APPR	_	_	28	PP	_	_
30	8	8	CARD	_	_	29	PN	_	_
31	der	der	ART	_	_	34	DET	_	_
32	24	24	CARD	_	_	34	ATTR	_	_
33	Berliner	Berliner	ADJA	_	_	34	ATTR	_	_
34	Bezirke	Bezirk	NN	_	_	30	GMOD	_	_
35	.	.	$.	_	_	34	-PUNCT-	_	_

1	Die	die	ART	_	_	11	DET	_	(3
2	zu	zu	APPR	_	_	8	PP	_	_
3	Wendezeiten	Wendezeit	NN	_	_	2	PN	_	_
4	von	von	APPR	_	_	8	PP	_	_
5	der	die	ART	_	_	7	DET	_	_
6	bayerischen	bayerisch	ADJA	_	_	7	ATTR	_	_
7	CSU	CSU	NE	_	_	4	PN	_	_
8	gestützte	gestützt	ADJA	_	_	11	ATTR	_	_
9	Deutsche	deutsch	ADJA	_	_	11	ATTR	_	_
10	Soziale	sozial	ADJA	_	_	11	ATTR	_	_
11	Union	Union	NN	_	_	15	SUBJ	_	_
12	(	(	$(	_	_	13	-PUNCT-	_	_
13	DSU	DSU	NE	_	_	11	APP	_	3)
14	)	)	$(	_	_	13	-PUNCT-	_	_
15	will	wollen%aux	VMFIN	_	_	0	ROOT	_	_
16	wieder	wieder	ADV	_	_	22	ADV	_	_
17	einmal	einmal	ADV	_	_	22	ADV	_	_
18	ihre	ihre	PPOSAT	_	_	19	DET	_	(3)
19	Bedeutungslosigkeit	Bedeutungslosigkeit	NN	_	_	22	OBJA	_	_
20	unter	unter	APPR	_	_	22	OBJP	_	_
21	Beweis	Beweis	NN	_	_	20	PN	_	_
22	stellen	stellen	VVINF	_	_	15	AUX	_	_
23	:	:	$.	_	_	22	-PUNCT-	_	_
24	In	in	APPR	_	_	26	PP	_	_
25	Reinickendorf	Reinickendorf	NE	_	_	24	PN	_	_
26	geht	gehen	VVFIN	_	_	0	ROOT	_	_
27	ein	ein	ART	_	_	28	DET	_	_
28	Wahlkreiskandidat	Wahlkreiskandidat	NN	_	_	26	SUBJ	_	_
29	ins	in	APPRART	_	_	26	PP	_	_
30	aussichtslose	aussichtslos	ADJA	_	_	31	ATTR	_	_
31	Rennen	Rennen	NN	_	_	29	PN	_	_
