1	Was	was	PRO	PWS	Neut|_|Sg	0	root	_	-
2	für	für	PREP	APPR	Acc	1	pp	_	-
3	ein	eine	ART	ART	Indef|Neut|Acc|Sg	4	det	_	-
4	Glück	Glück	N	NN	Neut|Acc|Sg	2	pn	_	-
5	,	,	$,	$,	_	0	root	_	-
6	daß	daß	KOUS	KOUS	_	13	konj	_	-
7	Berlin	Berlin	N	NE	_|Nom|Sg	13	subj	_	(0)
8	seine	seine	ART	PPOSAT	Neut|_|Pl	10	det	_	(0)
9	zernarbten	zernarbt	ADJA	ADJA	Pos|Neut|_|Pl|Wk|	10	attr	_	-
10	Vermächtnisse	Vermächtnis	N	NN	Neut|_|Pl	13	obja	_	-
11	des	die	ART	ART	Def|Masc|Gen|Sg	12	det	_	-
12	Krieges	Krieg	N	NN	Masc|Gen|Sg	10	gmod	_	-
13	hat	haben	V	VAFIN	3|Sg|Pres|Ind	4	objc	_	-
14	.	.	$.	$.	_	0	root	_	-

1	Am	an	PREP	APPRART	Dat	3	pp	_	-
2	Kubat-Dreieck	Kubat-Dreieck	N	NN	Neut|Dat|Sg	1	pn	_	(7)
3	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
4	es	es	PRO	PPER	3|Sg|Neut|Nom	3	subj	_	-
5	vor	vor	PREP	APPR	Dat	3	pp	_	-
6	vier	vier	CARD	CARD	_	7	attr	_	-
7	Jahren	Jahr	N	NN	Neut|Dat|Pl	5	pn	_	-
8	die	die	ART	ART	Def|Fem|Nom|Sg	11	det	_	(1
9	dringend	dringend	ADV	ADJD	_|_	10	adv	_	-
10	notwendige	notwendig	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	11	attr	_	-
11	Munitionssuche	Munitionssuche	N	NN	Fem|Nom|Sg	3	pred	_	-
12	,	,	$,	$,	_	0	root	_	-
13	die	die	PRO	PRELS	Fem|Nom|Sg	17	subj	_	(1)
14	vorsorglich	vorsorglich	ADV	ADJD	Pos|	17	adv	_	-
15	zur	zu	PREP	APPRART	Dat	17	objp	_	-
16	Räumung	Räumung	N	NN	Fem|Dat|Sg	15	pn	_	-
17	führte	führen	V	VVFIN	3|Sg|Past|_	11	rel	_	1)
18	.	.	$.	$.	_	0	root	_	-

1	An	an	PREP	APPR	Dat	5	pp	_	-
2	der	die	ART	ART	Def|Fem|Dat|Sg	4	det	_	(2
3	stabilen	stabil	ADJA	ADJA	Pos|Fem|Dat|Sg|Wk|	4	attr	_	-
4	Oberbaumbrücke	Oberbaumbrücke	N	NN	Fem|Dat|Sg	1	pn	_	2)
5	erzwang	erzwingen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
6	die	die	ART	ART	Def|Fem|Nom|Sg	7	det	_	-
7	Einsturzgefahr	Einsturzgefahr	N	NN	Fem|Nom|Sg	5	subj	_	-
8	den	die	ART	ART	Def|Masc|Acc|Sg	9	det	_	-
9	Polizeieinsatz	Polizeieinsatz	N	NN	Masc|Acc|Sg	5	obja	_	-
10	.	.	$.	$.	_	0	root	_	-

1	Gleichgeblieben	gleichbleiben	V	VVPP	_	2	aux	_	-
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
3	die	die	ART	ART	Def|Fem|Nom|Sg	4	det	_	-
4	Verlogenheit	Verlogenheit	N	NN	Fem|Nom|Sg	2	subj	_	-
5	der	die	ART	ART	Def|_|Gen|_	7	det	_	-
6	politisch	politisch	ADV	ADJD	Pos|	7	adv	_	-
7	Verantwortlichen	Verantwortliche	N	NN	_|Gen|_	4	gmod	_	-
8	.	.	$.	$.	_	0	root	_	-

