1	Ja	ja	PTKANT	PTKANT	_	0	root	_	-
2	,	,	$,	$,	_	0	root	_	-
3	aber	aber	KON	KON	_	0	root	_	-
4	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Meine	meine	ART	PPOSAT	Masc|Nom|Pl	4	det	_	-
3	verehrten	verehrt	ADJA	ADJA	Pos|Masc|Nom|Pl|Wk|	4	attr	_	-
4	Herren	Herr	N	NN	Masc|Nom|Pl	6	subj	_	-
5	Kollegen	Kollege	N	NN	Masc|Nom|Pl	4	app	_	-
6	müssen	müssen	V	VMFIN	3|Pl|Pres|_	0	root	_	-
7	aufhören	aufhören	V	VVINF	_	6	aux	_	-
8	,	,	$,	$,	_	0	root	_	-
9	Arte	Arte	N	NE	_	13	obja	_	(1
10	als	als	KOKOM	KOKOM	_	9	kom	_	-
11	Konkurrentin	Konkurrentin	N	NN	Fem|_|Sg	10	cj	_	(0
12	zu	zu	PTKZU	PTKZU	_	13	part	_	-
13	betrachten	betrachten	V	VVINF	_	7	obji	_	-
14	,	,	$,	$,	_	0	root	_	-
15	die	die	PRO	PRELS	Fem|Nom|Sg	19	subj	_	(0)
16	ihnen	sie	PRO	PPER	3|Pl|_|Dat	18	objd	_	(1)
17	Marktanteile	Marktanteil	N	NN	Masc|_|_	18	obja	_	-
18	wegnehmen	wegnehmen	V	VVINF	_	19	aux	_	-
19	könnte	können	V	VMFIN	3|Sg|Past|Subj	11	rel	_	0)|1)
20	"	"	$(	$(	_	0	root	_	-
21	,	,	$,	$,	_	0	root	_	-
22	funkte	funkt	ADJA	ADJA	Pos|Masc|Nom|Sg|Wk|	23	attr	_	(5
23	NDR-Intendant	NDR-Intendant	N	NN	Masc|Nom|Sg	6	vok	_	-
24	Jobst	Jobst	N	NE	Masc|Nom|Sg	23	app	_	-
25	Plog	Plog	N	NE	Masc|Nom|Sg	24	app	_	5)
26	zu	zu	PREP	APPR	Dat	23	pp	_	-
27	Neujahr	Neujahr	N	NN	Neut|Dat|Sg	26	pn	_	-
28	in	in	PREP	APPR	Dat	27	pp	_	-
29	der	die	ART	ART	Def|Fem|Dat|Sg	30	det	_	-
30	Liberation	Liberation	N	NN	Fem|Dat|Sg	28	pn	_	-
31	.	.	$.	$.	_	0	root	_	-

1	Erstmals	erstmals	ADV	ADV	_	2	adv	_	-
2	rüttelte	rütteln	V	VVFIN	_|Sg|Past|_	0	root	_	-
3	damit	damit	PROAV	PROAV	_	2	pp	_	-
4	einer	eine	ART	ART	Indef|Fem|_|Sg	0	root	_	-
5	aus	aus	PREP	APPR	Dat	0	root	_	-
6	den	die	ART	ART	Def|_|Dat|Pl	7	det	_	-
7	Reihen	Reihe	N	NN	_|Dat|Pl	5	pn	_	-
8	der	die	ART	ART	Def|_|_|_	0	root	_	-
9	deutschen	deutsch	ADJA	ADJA	Pos|_|_|_|_|	0	root	_	-
10	Arte-	Arte-	TRUNC	TRUNC	_	0	root	_	-
11	"	"	$(	$(	_	0	root	_	-
12	Zieheltern	Ziehelter	N	NN	_|_|Pl	0	root	_	-
13	"	"	$(	$(	_	0	root	_	-
14	selbst	selbst	ADV	ADV	_	12	adv	_	-
15	öffentlich	öffentlich	ADV	ADJD	Pos|	16	adv	_	-
16	an	an	PREP	APPR	Dat	12	pp	_	-
17	einem	eine	ART	ART	Indef|Neut|Dat|Sg	18	det	_	-
18	Tabu	Tabu	N	NN	Neut|Dat|Sg	16	pn	_	-
19	.	.	$.	$.	_	0	root	_	-

1	Als	Als	KOKOM	KOKOM	_	4	kom	_	-
2	neuer	neu	ADJA	ADJA	Pos|Masc|Nom|Sg|St|	3	attr	_	-
3	Arte-Präsident	Arte-Präsident	N	NN	Masc|Nom|Sg	1	cj	_	-
4	forderte	fordern	V	VVFIN	3|Sg|Past|_	0	root	_	-
5	der	die	ART	ART	Def|Masc|Nom|Sg	6	det	_	-
6	NDR-Intendant	NDR-Intendant	N	NN	Masc|Nom|Sg	4	subj	_	-
7	,	,	$,	$,	_	0	root	_	-
8	man	man	PRO	PIS	_|Nom|Sg	9	subj	_	-
9	müsse	müssen	V	VMFIN	3|Sg|Pres|Subj	4	kon	_	-
10	kräftig	kräftig	ADV	ADJD	Pos|	12	pred	_	-
