1	Wer	wer	PRO	PWS	_|Nom|Sg	7	subj	_	-
2	in	in	PREP	APPR	_	6	pp	_	-
3	Brandenburg	Brandenburg	N	NE	_|_|Sg	2	pn	_	(0)
4	ein	eine	ART	ART	Indef|Neut|_|Sg	5	det	_	-
5	Haus	Haus	N	NN	Neut|_|Sg	6	obja	_	-
6	bauen	bauen	V	VVINF	_	7	aux	_	-
7	will	wollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	-
8	,	,	$,	$,	_	0	root	_	-
9	der	die	PRO	PDS	Masc|Nom|Sg	10	subj	_	-
10	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	-
11	für	für	PREP	APPR	Acc	25	pp	_	-
12	Bauland	Bauland	N	NN	Neut|Acc|Sg	11	pn	_	-
13	in	in	PREP	APPR	_	25	pp	_	-
14	Gemeinden	Gemeinde	N	NN	_|_|_	13	pn	_	(1)
15	an	an	PREP	APPR	Dat	25	pp	_	-
16	der	die	ART	ART	Def|Fem|Dat|Sg	18	det	_	-
17	Berliner	Berliner	ADJA	ADJA	Pos|Fem|Dat|Sg|_|	18	attr	_	-
18	Stadtgrenze	Stadtgrenze	N	NN	Fem|Dat|Sg	15	pn	_	-
19	weiter	weiter	ADV	ADV	_	25	adv	_	-
20	am	am	PTKA	PTKA	_	21	adv	_	-
21	tiefsten	tiefsten	ADV	ADJD	_	25	adv	_	-
22	in	in	PREP	APPR	Acc	25	objp	_	-
23	die	die	ART	ART	Def|Fem|Acc|Sg	24	det	_	-
24	Tasche	Tasche	N	NN	Fem|Acc|Sg	22	pn	_	-
25	greifen	greifen	V	VVINF	_	10	aux	_	-
26	.	.	$.	$.	_	0	root	_	-

1	Im	in	PREP	APPRART	Dat	6	pp	_	-
2	westlichen	westlich	ADJA	ADJA	Pos|_|Dat|_|_|	5	attr	_	-
3	und	und	KON	KON	_	2	kon	_	-
4	südlichen	südlich	ADJA	ADJA	Pos|_|Dat|_|_|	3	cj	_	-
5	Umland	Umland	N	NN	_|Dat|_	1	pn	_	-
6	stiegen	steigen	V	VVFIN	3|Pl|Past|_	0	root	_	-
7	die	die	ART	ART	Def|Masc|Nom|Pl	8	det	_	-
8	Preise	Preis	N	NN	Masc|Nom|Pl	6	subj	_	-
9	für	für	PREP	APPR	Acc	8	pp	_	-
10	Wohngrundstücke	Wohngrundstück	N	NN	_|Acc|_	9	pn	_	-
11	in	in	PREP	APPR	Dat	6	pp	_	-
12	guter	gut	ADJA	ADJA	Pos|Fem|Dat|Sg|St|	13	attr	_	-
13	Lage	Lage	N	NN	Fem|Dat|Sg	11	pn	_	-
14	seit	seit	PREP	APPR	Dat	6	pp	_	-
15	Ende	Ende	N	NN	Neut|Dat|Sg	14	pn	_	-
16	1993	1993	CARD	CARD	_	15	app	_	-
17	um	um	PREP	APPR	_	6	pp	_	-
18	rund	rund	ADV	ADV	_	20	adv	_	-
19	25	25	CARD	CARD	_	20	attr	_	-
20	Prozent	Prozent	N	NN	Neut|_|Pl	17	pn	_	-
21	.	.	$.	$.	_	0	root	_	-

1	Das	die	PRO	PDS	Neut|Nom|Sg	2	subj	_	-
2	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
3	aus	aus	PREP	APPR	Dat	2	objp	_	-
4	dem	die	ART	ART	Def|Masc|Dat|Sg	5	det	_	(0
5	Grundstücksmarktbericht	Grundstücksmarktbericht	N	NN	Masc|Dat|Sg	3	pn	_	-
6	Brandenburg	Brandenburg	N	NE	_|Dat|Sg	5	app	_	0)
7	1995	1995	CARD	CARD	_	6	app	_	-
8	hervor	hervor	PTKVZ	PTKVZ	_	2	avz	_	-
9	.	.	$.	$.	_	0	root	_	-

1	Danach	Danach	PROAV	PROAV	_	2	pp	_	-
2	bewegen	bewegen	V	VVFIN	3|Pl|Pres|_	0	root	_	-
3	sich	sie	PRO	PRF	3|_|_	2	obja	_	-
4	die	die	ART	ART	Def|Masc|Nom|Pl	5	det	_	-
5	Baulandpreise	Baulandpreis	N	NN	Masc|Nom|Pl	2	subj	_	-
6	in	in	PREP	APPR	_	2	pp	_	-
7	Gemeinden	Gemeinde	N	NN	_|_|_	6	pn	_	(1)
8	mit	mit	PREP	APPR	Dat	2	pp	_	-
9	2.500	2.500	CARD	CARD	_	12	attr	_	-
10	bis	bis	PREP	APPR	Acc	9	pp	_	-
11	5.000	5.000	CARD	CARD	_	10	pn	_	-
12	Einwohnern	Einwohner	N	NN	Masc|Dat|Pl	8	pn	_	-
13	der	die	ART	ART	Def|Fem|Gen|Sg	14	det	_	-
14	Kreise	Kreis	N	NN	Fem|Gen|Sg	12	gmod	_	-
15	Potsdam-Mittelmark	Potsdam-Mittelmark	N	NN	Fem|Gen|Sg	14	app	_	-
16	und	und	KON	KON	_	12	kon	_	-
17	Dahme-Spreewald	Dahme-Spreewald	N	NN	Masc|Dat|Sg	16	cj	_	-
18	gegenwärtig	gegenwärtig	ADV	ADJD	Pos|	2	adv	_	-
19	zwischen	zwischen	PREP	APPR	_	2	pp	_	-
20	250	250	CARD	CARD	_	23	attr	_	-
21	und	und	KON	KON	_	20	kon	_	-
22	350	350	CARD	CARD	_	21	cj	_	-
23	Mark	Mark	N	NN	_|_|Pl	19	pn	_	-
24	pro	pro	PREP	APPR	Dat	23	pp	_	-
25	Quadratmeter	Quadratmeter	N	NN	_|Dat|Sg	24	pn	_	-
26	.	.	$.	$.	_	0	root	_	-

