1	Seine	seine	PPOSAT	_	_	2	DET	_	(0
2	Ausstellung	Ausstellung	NN	_	_	8	OBJA	_	_
3	"	"	$(	_	_	4	-PUNCT-	_	_
4	Tiergarten	Tiergarten	NE	_	_	2	APP	_	_
5	Mai	Mai	NN	_	_	4	APP	_	_
6	1945	1945	CARD	_	_	5	APP	_	0)
7	"	"	$(	_	_	6	-PUNCT-	_	_
8	begleitet	begleiten	VVFIN	_	_	0	ROOT	_	_
9	das	das	ART	_	_	10	DET	_	_
10	Heimatmuseum	Heimatmuseum	NN	_	_	8	SUBJ	_	_
11	Tiergarten	Tiergarten	NE	_	_	10	APP	_	_
12	,	,	$,	_	_	11	-PUNCT-	_	_
13	Turmstraße	Turmstraße	NN	_	_	11	APP	_	_
14	75	75	CARD	_	_	13	APP	_	_
15	,	,	$,	_	_	14	-PUNCT-	_	_
16	mit	mit	APPR	_	_	8	PP	_	_
17	der	die	ART	_	_	18	DET	_	_
18	Filmreihe	Filmreihe	NN	_	_	16	PN	_	_
19	"	"	$(	_	_	20	-PUNCT-	_	_
20	Kino	Kino	NN	_	_	18	APP	_	_
21	im	in	APPRART	_	_	20	PP	_	_
22	Luftschutzkeller	Luftschutzkeller	NN	_	_	21	PN	_	_
23	"	"	$(	_	_	22	-PUNCT-	_	_
24	.	.	$.	_	_	22	-PUNCT-	_	_

1	Am	an	APPRART	_	_	7	PP	_	_
2	kommenden	kommend	ADJA	_	_	3	ATTR	_	_
3	Sonntag	Sonntag	NN	_	_	1	PN	_	_
4	um	um	APPR	_	_	1	PP	_	_
5	10	10	CARD	_	_	6	ATTR	_	_
6	Uhr	Uhr	NN	_	_	4	PN	_	_
7	läuft	laufen	VVFIN	_	_	0	ROOT	_	_
8	"	"	$(	_	_	9	-PUNCT-	_	_
9	Die	die	ART	_	_	10	DET	_	_
10	Brücke	Brücke	NN	_	_	7	SUBJ	_	_
11	"	"	$(	_	_	10	-PUNCT-	_	_
12	,	,	$,	_	_	10	-PUNCT-	_	_
13	am	an	APPRART	_	_	19	PP	_	_
14	Mittwoch	Mittwoch	NN	_	_	13	PN	_	_
15	um	um	APPR	_	_	13	PP	_	_
16	19	19	CARD	_	_	17	ATTR	_	_
17	Uhr	Uhr	NN	_	_	15	PN	_	_
18	der	der	ART	_	_	19	DET	_	_
19	Dokumentarfilm	Dokumentarfilm	NN	_	_	7	KON	_	_
20	"	"	$(	_	_	21	-PUNCT-	_	_
21	Arbeit	Arbeit	NN	_	_	19	APP	_	_
22	im	in	APPRART	_	_	21	PP	_	_
23	Krieg	Krieg	NN	_	_	22	PN	_	_
24	"	"	$(	_	_	23	-PUNCT-	_	_
25	über	über	APPR	_	_	21	PP	_	_
26	Rüstungsproduktion	Rüstungsproduktion	NN	_	_	25	PN	_	_
27	und	und	KON	_	_	26	KON	_	_
28	Widerstand	Widerstand	NN	_	_	27	CJ	_	_
29	bei	bei	APPR	_	_	26	PP	_	_
30	Rheinmetall-Borsig	Rheinmetall-Borsig	NE	_	_	29	PN	_	_
31	.	.	$.	_	_	30	-PUNCT-	_	_

