1	Blinden	Blinder|Blinde|Blindes	NN	_	_	18	OBJD	_	(0
2	und	und	KON	_	_	1	KON	_	_
3	sehbehinderten	sehbehindert	ADJA	_	_	4	ATTR	_	_
4	Menschen	Mensch	NN	_	_	2	CJ	_	0)
5	wird	werden%aux	VAFIN	_	_	0	ROOT	_	_
6	bei	bei	APPR	_	_	18	PP	_	_
7	den	die	ART	_	_	8	DET	_	_
8	Wahlen	Wahl	NN	_	_	6	PN	_	_
9	zum	zu	APPRART	_	_	8	PP	_	_
10	Europa-Parlament	Europa-Parlament	NN	_	_	9	PN	_	_
11	am	an	APPRART	_	_	18	PP	_	_
12	13.	13.	ADJA	_	_	13	ATTR	_	_
13	Juni	Juni	NN	_	_	11	PN	_	_
14	eine	eine	ART	_	_	15	DET	_	(1
15	Stimmzettel-Schablone	Stimmzettel-Schablone	NN	_	_	5	SUBJ	_	1)
16	zur	zu	APPRART	_	_	18	OBJP	_	_
17	Verfügung	Verfügung	NN	_	_	16	PN	_	_
18	stehen	stehen	VVINF	_	_	5	AUX	_	_
19	.	.	$.	_	_	18	-PUNCT-	_	_

1	Damit	damit	PROP	_	_	2	PP	_	_
2	können	können%aux	VMFIN	_	_	0	ROOT	_	_
3	sie	sie	PPER	_	_	2	SUBJ	_	(0)
4	selbständig	selbständig	ADJD	_	_	7	ADV	_	_
5	ihre	ihre	PPOSAT	_	_	6	DET	_	(0)
6	Stimme	Stimme	NN	_	_	7	OBJA	_	_
7	abgeben	ab#geben	VVINF	_	_	2	AUX	_	_
8	.	.	$.	_	_	7	-PUNCT-	_	_

1	Die	die	ART	_	_	2	DET	_	(1
2	Schablone	Schablone	NN	_	_	3	SUBJ	_	1)
3	kann	können%aux	VMFIN	_	_	0	ROOT	_	_
4	in	in	APPR	_	_	11	PP	_	_
5	der	die	ART	_	_	6	DET	_	_
6	Wahlkabine	Wahlkabine	NN	_	_	4	PN	_	_
7	als	als	KOKOM	_	_	11	KOM	_	_
8	Hilfsmittel	Hilfsmittel	NN	_	_	7	CJ	_	_
9	zum	zu	APPRART	_	_	8	PP	_	_
10	Ankreuzen	Ankreuzen	NN	_	_	9	PN	_	_
11	verwendet	verwenden	VVPP	_	_	3	AUX	_	_
12	oder	oder	KON	_	_	3	KON	_	_
13	bei	bei	APPR	_	_	16	PP	_	_
14	der	die	ART	_	_	15	DET	_	_
15	Briefwahl	Briefwahl	NN	_	_	13	PN	_	_
16	benutzt	benutzen	VVPP	_	_	17	AUX	_	_
17	werden	werden%passiv	VAINF	_	_	12	CJ	_	_
18	.	.	$.	_	_	17	-PUNCT-	_	_

