1	Eines	eine	PRO	PIS	Neut|Nom|Sg	8	subj	_	-
2	der	die	ART	ART	Def|Neut|Gen|Pl	4	det	_	-
3	spektakulärsten	spektakulär	ADJA	ADJA	Sup|Neut|Gen|Pl|Wk|	4	attr	_	-
4	Wiederaufnahmeverfahren	Wiederaufnahmeverfahren	N	NN	Neut|Gen|Pl	1	gmod	_	-
5	der	die	ART	ART	Def|Fem|Gen|Sg	7	det	_	-
6	deutschen	deutsch	ADJA	ADJA	Pos|Fem|Gen|Sg|Wk|	7	attr	_	-
7	Justizgeschichte	Justizgeschichte	N	NN	Fem|Gen|Sg	4	gmod	_	-
8	beginnt	beginnen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
9	am	an	PREP	APPRART	Dat	8	pp	_	-
10	kommenden	kommend	ADJA	ADJA	Pos|_|Dat|Sg|Wk|_	11	attr	_	-
11	Dienstag	Dienstag	N	NN	_|Dat|Sg	9	pn	_	-
12	in	in	PREP	APPR	_	8	pp	_	-
13	Hamburg	Hamburg	N	NE	_|_|Sg	12	pn	_	-
14	.	.	$.	$.	_	0	root	_	-

1	Vor	vor	PREP	APPR	Dat	4	pp	_	-
2	dem	die	ART	ART	Def|Neut|Dat|Sg	3	det	_	-
3	Landgericht	Landgericht	N	NN	Neut|Dat|Sg	1	pn	_	-
4	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
5	der	die	ART	ART	Def|Masc|Nom|Sg	6	det	_	-
6	Prozeß	Prozeß	N	NN	Masc|Nom|Sg	4	subj	_	-
7	gegen	gegen	PREP	APPR	Acc	6	pp	_	-
8	den	die	ART	ART	Def|_|_|_	11	det	_	-
9	zu	zu	PTKZU	PTKZU	_	10	part	_	-
10	lebenslanger	lebenslang	ADJA	ADJA	Pos|_|_|_|St|	11	attr	_	-
11	Freiheitsstrafe	Freiheitsstrafe	N	NN	Masc|Acc|Sg	7	pn	_	-
12	verurteilten	verurteilen	V	VVFIN	_|Pl|Past|_	0	root	_	-
13	Jürgen	Jürgen	N	NE	_|Nom|Sg	16	subj	_	(0
14	Auer	Auer	N	NE	_|Nom|Sg	13	app	_	0)
15	neu	neu	ADV	ADJD	Pos|	16	adv	_	-
16	aufgerollt	aufrollen	V	VVPP	_	12	neb	_	-
17	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|Nom|Sg	2	det	_	-
2	Wiederaufnahme	Wiederaufnahme	N	NN	Fem|Nom|Sg	5	subj	_	-
3	des	die	ART	ART	Def|Masc|Gen|Sg	4	det	_	-
4	Falles	Fall	N	NN	Masc|Gen|Sg	2	gmod	_	-
5	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
6	ein	eine	ART	ART	Indef|Masc|Nom|Sg	7	det	_	-
