1	Blutig	blutig	ADJD	_	_	2	ADV	_	_
2	endeten	enden	VVFIN	_	_	0	ROOT	_	_
3	zwei	zwei	CARD	_	_	4	ATTR	_	_
4	Familienstreitigkeiten	Familienstreitigkeit	NN	_	_	2	SUBJ	_	_
5	.	.	$.	_	_	4	-PUNCT-	_	_

1	In	in	APPR	_	_	3	PP	_	_
2	Spandau	Spandau	NE	_	_	1	PN	_	_
3	war	sein%aux	VAFIN	_	_	0	ROOT	_	_
4	ein	ein	ART	_	_	6	DET	_	(0
5	53jähriger	53jährig	ADJA	_	_	6	ATTR	_	_
6	Mann	Mann	NN	_	_	3	SUBJ	_	0)
7	in	in	APPR	_	_	21	PP	_	_
8	einer	eine	ART	_	_	9	DET	_	_
9	Wohnung	Wohnung	NN	_	_	7	PN	_	_
10	mit	mit	APPR	_	_	21	PP	_	_
11	einem	ein	ART	_	_	12	DET	_	_
12	Brieföffner	Brieföffner	NN	_	_	10	PN	_	_
13	auf	auf	APPR	_	_	21	OBJP	_	_
14	seine	seine	PPOSAT	_	_	16	DET	_	(0)|(1
15	51jährige	51jährig	ADJA	_	_	16	ATTR	_	_
16	Ehefrau	Ehefrau	NN	_	_	13	PN	_	_
17	und	und	KON	_	_	16	KON	_	_
18	seine	seine	PPOSAT	_	_	20	DET	_	(0)
19	20jährige	20jährig	ADJA	_	_	20	ATTR	_	_
20	Tochter	Tochter	NN	_	_	17	CJ	_	1)
21	losgegangen	los#gehen	VVPP	_	_	3	AUX	_	_
22	.	.	$.	_	_	21	-PUNCT-	_	_

1	Beide	beide	PIDAT	_	_	2	DET	_	(1
2	Frauen	Frau	NN	_	_	3	SUBJ	_	1)
3	kamen	kommen	VVFIN	_	_	0	ROOT	_	_
4	zur	zu	APPRART	_	_	3	PP	_	_
5	stationären	stationär	ADJA	_	_	6	ATTR	_	_
6	Behandlung	Behandlung	NN	_	_	4	PN	_	_
7	in	in	APPR	_	_	3	OBJP	_	_
8	ein	ein	ART	_	_	9	DET	_	_
9	Krankenhaus	Krankenhaus	NN	_	_	7	PN	_	_
10	.	.	$.	_	_	9	-PUNCT-	_	_

1	Dem	der	ART	_	_	2	DET	_	_
2	Streit	Streit	NN	_	_	3	-UNKNOWN-	_	_
3	vorausgegangen	voraus#gehen	VVPP	_	_	4	AUX	_	_
4	war	sein%aux	VAFIN	_	_	0	ROOT	_	_
5	ein	ein	ART	_	_	7	DET	_	_
6	gemeinsamer	gemeinsam	ADJA	_	_	7	ATTR	_	_
7	Lokalbesuch	Lokalbesuch	NN	_	_	4	SUBJ	_	_
8	.	.	$.	_	_	7	-PUNCT-	_	_

1	Mit	mit	APPR	_	_	10	PP	_	_
2	mehreren	mehrere	PIAT	_	_	4	DET	_	_
3	lebensgefährlichen	lebensgefährlich	ADJA	_	_	4	ATTR	_	_
4	Messerstichen	Messerstich	NN	_	_	1	PN	_	_
5	im	in	APPRART	_	_	4	PP	_	_
6	Oberkörper	Oberkörper	NN	_	_	5	PN	_	_
7	wurde	werden%passiv	VAFIN	_	_	0	ROOT	_	_
8	ein	ein	ART	_	_	10	DET	_	(2
9	31jähriger	31jährig	ADJA	_	_	10	ATTR	_	_
10	Mann	Mann	NN	_	_	7	SUBJ	_	_
11	aus	aus	APPR	_	_	10	PP	_	_
12	Friedrichshain	Friedrichshain	NE	_	_	11	PN	_	2)
13	in	in	APPR	_	_	16	PP	_	_
14	ein	ein	ART	_	_	15	DET	_	_
15	Krankenhaus	Krankenhaus	NN	_	_	13	PN	_	_
16	gebracht	bringen	VVPP	_	_	7	AUX	_	_
17	.	.	$.	_	_	16	-PUNCT-	_	_

1	Seine	seine	PPOSAT	_	_	3	DET	_	(2)
2	39jährige	39jährig	ADJA	_	_	3	ATTR	_	_
3	Lebensgefährtin	Lebensgefährtin	NN	_	_	4	SUBJ	_	_
4	hatte	haben%aux	VAFIN	_	_	0	ROOT	_	_
5	mit	mit	APPR	_	_	10	PP	_	_
6	einem	ein	ART	_	_	7	DET	_	_
7	Küchenmesser	Küchenmesser	NN	_	_	5	PN	_	_
8	auf	auf	APPR	_	_	10	OBJP	_	_
9	ihn	er	PPER	_	_	8	PN	_	(2)
10	eingestochen	ein#stechen	VVPP	_	_	4	AUX	_	_
11	.	.	$.	_	_	10	-PUNCT-	_	_

