1	Erst	erst	ADV	ADV	_	2	adv	_	-
2	im	in	PREP	APPRART	Dat	4	pp	_	-
3	Endspiel	Endspiel	N	NN	Neut|Dat|Sg	2	pn	_	-
4	fand	finden	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
5	Jörg	Jörg	N	NE	_|Nom|Sg	4	subj	_	(0
6	Roßkopf	Roßkopf	N	NE	_|Nom|Sg	5	app	_	0)
7	beim	bei	PREP	APPRART	Dat	4	pp	_	-
8	Weltcup	Weltcup	N	NN	_|Dat|_	7	pn	_	-
9	in	in	PREP	APPR	_	4	pp	_	-
10	Nimes	Nimes	N	NE	_|_|_	9	pn	_	-
11	seinen	seine	ART	PPOSAT	_|_|_	15	det	_	(0)
12	(	(	$(	$(	_	0	root	_	-
13	Welt-	Welt-	TRUNC	TRUNC	_	11	par	_	-
14	)	)	$(	$(	_	0	root	_	-
15	Meister	Meister	N	NN	_|_|_	4	obja	_	-
16	.	.	$.	$.	_	0	root	_	-

1	Er	er	PRO	PPER	3|Sg|Masc|Nom	2	subj	_	(0)
2	unterlag	unterliegen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
3	dem	die	ART	ART	Def|Masc|Dat|Sg	4	det	_	-
4	Chinesen	Chinese	N	NN	Masc|Dat|Sg	2	objd	_	-
5	Kong	Kong	N	NE	Masc|Dat|Sg	4	app	_	-
6	Linghui	Linghui	N	NE	Masc|Dat|Sg	5	app	_	-
7	nach	nach	PREP	APPR	Dat	2	pp	_	-
8	hartem	hart	ADJA	ADJA	Pos|Masc|Dat|Sg|St|	9	attr	_	-
9	Kampf	Kampf	N	NN	Masc|Dat|Sg	7	pn	_	-
10	mit	mit	PREP	APPR	Dat	2	pp	_	-
11	21	21	CARD	CARD	_	10	pn	_	-
12	:	\:	$.	$.	_	0	root	_	-
13	18	18	CARD	CARD	_	0	root	_	-
14	,	,	$,	$,	_	0	root	_	-
15	22	22	CARD	CARD	_	0	root	_	-
16	:	\:	$.	$.	_	0	root	_	-
17	24	24	CARD	CARD	_	0	root	_	-
18	,	,	$,	$,	_	0	root	_	-
19	20	20	CARD	CARD	_	0	root	_	-
20	:	\:	$.	$.	_	0	root	_	-
21	22	22	CARD	CARD	_	0	root	_	-
22	,	,	$,	$,	_	0	root	_	-
23	14	14	CARD	CARD	_	0	root	_	-
24	:	\:	$.	$.	_	0	root	_	-
25	21.	21.	ADJA	ADJA	_|_|_|_|_|	0	root	_	-

