1	Oh	oh	ITJ	ITJ	_	0	root	_	-
2	,	,	$,	$,	_	0	root	_	-
3	wie	wie	PWAV	PWAV	_	5	adv	_	-
4	schön	schön	ADV	ADJD	Pos|	5	pred	_	-
5	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
6	Panama	Panama	N	NE	Neut|Nom|Sg	5	subj	_	(0)
7	!	!	$.	$.	_	0	root	_	-

1	Dreimal	dreimal	ADV	ADV	_	2	adv	_	-
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
3	ihr	ihre	ART	PPOSAT	Masc|Nom|Sg	4	det	_	(1
4	Mann	Mann	N	NN	Masc|Nom|Sg	2	subj	_	-
5	Arnulfo	Arnulfo	N	NE	Masc|Nom|Sg	4	app	_	-
6	Arias	Arias	N	NE	Masc|Nom|Sg	5	app	_	1)
7	Präsident	Präsident	N	NN	Masc|Nom|Sg	2	pred	_	-
8	Panamas	Panama	N	NE	Neut|Gen|Sg	7	gmod	_	(0)
9	,	,	$,	$,	_	0	root	_	-
10	jetzt	jetzt	ADV	ADV	_	11	adv	_	-
11	macht	machen	V	VVFIN	3|Sg|Pres|Ind	2	kon	_	-
12	es	es	PRO	PPER	3|Sg|Neut|Nom	11	subj	_	-
13	ihm	er	PRO	PPER	3|Sg|_|Dat	11	objd	_	(1)
14	seine	seine	ART	PPOSAT	Fem|_|Sg	15	det	_	(1)
15	Witwe	Witwe	N	NN	Fem|_|Sg	11	obja	_	-
16	nach	nach	PTKVZ	PTKVZ	_	11	avz	_	-
17	.	.	$.	$.	_	0	root	_	-

1	Am	an	PREP	APPRART	Dat	3	pp	_	-
2	Sonntag	Sonntag	N	NN	_|Dat|Sg	1	pn	_	-
3	wurde	werden	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
4	die	die	ART	ART	Def|Fem|Nom|Sg	6	det	_	(2
5	52jährige	52jährig	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	6	attr	_	-
6	Mireya	Mireya	N	NN	Fem|Nom|Sg	3	subj	_	-
7	Moscoso	Moscoso	N	NE	Fem|Nom|Sg	6	app	_	2)
8	von	von	PREP	APPR	_	6	pp	_	-
9	der	die	ART	ART	Def|Fem|_|Sg	11	det	_	-
10	oppositionellen	oppositionellen	ADJA	ADJA	_|Fem|_|Sg|_	11	attr	_	-
11	Arnulfista-Partei	Arnulfista-Partei	N	NN	Fem|_|Sg	8	pn	_	-
12	zur	zu	PREP	APPRART	Dat	8	kon	_	-
13	neuen	neu	ADJA	ADJA	Pos|Fem|Dat|Sg|Wk|	14	attr	_	-
14	Präsidentin	Präsidentin	N	NN	Fem|Dat|Sg	12	pn	_	-
15	und	und	KON	KON	_	12	kon	_	-
16	damit	damit	PROAV	PROAV	_	15	cj	_	-
17	als	als	KOKOM	KOKOM	_	26	kom	_	-
18	erste	erst	ADJA	ADJA	_|Fem|_|Sg|_|	19	attr	_	-
19	Frau	Frau	N	NN	Fem|_|Sg	17	cj	_	-
20	an	an	PREP	APPR	Acc	26	pp	_	-
21	die	die	ART	ART	Def|_|Acc|_	22	det	_	-
22	Spitze	Spitz	N	NN	_|Acc|_	20	pn	_	-
23	des	die	ART	ART	Def|Neut|Gen|Sg	25	det	_	-
24	mittelamerikanischen	mittelamerikanisch	ADJA	ADJA	Pos|Neut|Gen|Sg|_|	25	attr	_	-
25	Landes	Land	N	NN	Neut|Gen|Sg	22	gmod	_	-
26	gewählt	wählen	V	VVPP	_	3	aux	_	-
27	.	.	$.	$.	_	0	root	_	-

1	Moscoso	Moscoso	N	NE	_|Nom|Sg	2	subj	_	(2)
