1	24	24	CARD	CARD	_	2	attr	_	-
2	Jahre	Jahr	N	NN	Neut|Nom|Pl	8	subj	_	-
3	,	,	$,	$,	_	0	root	_	-
4	geboren	gebären	V	VVPP	_	8	aux	_	-
5	in	in	PREP	APPR	_	4	pp	_	-
6	Ludwigslust	Ludwigslust	N	NE	Neut|_|Sg	5	pn	_	-
7	,	,	$,	$,	_	0	root	_	-
8	aufgewachsen	aufwachsen	V	VVPP	_	12	neb	_	-
9	in	in	PREP	APPR	_	8	pp	_	-
10	Greifswald	Greifswald	N	NE	Neut|_|Sg	9	pn	_	-
11	,	,	$,	$,	_	0	root	_	-
12	lebt	leben	V	VVFIN	_|_|Pres|Ind	0	root	_	-
13	in	in	PREP	APPR	_	12	pp	_	-
14	Berlin	Berlin	N	NE	_|_|Sg	13	pn	_	(0)
15	.	.	$.	$.	_	0	root	_	-

1	Sie	sie	PRO	PPER	3|Sg|Fem|Nom	2	subj	_	(0)
2	studiert	studieren	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
3	an	an	PREP	APPR	Dat	2	pp	_	-
4	der	die	ART	ART	Def|Fem|Dat|Sg	5	det	_	-
5	FU	FU	N	NN	Fem|Dat|Sg	3	pn	_	-
6	Politikwissenschaften	Politikwissenschaft	N	NN	Fem|_|Pl	2	obja	_	-
7	.	.	$.	$.	_	0	root	_	-

