1	Unermüdlich	unermüdlich	ADV	ADJD	Pos|	2	adv	_	-
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
3	Diedrich	Diedrich	N	NE	_|Nom|Sg	2	subj	_	(0
4	Diederichsen	Diederichsen	N	NE	_|Nom|Sg	3	app	_	0)
5	in	in	PREP	APPR	_	2	pp	_	-
6	Sachen	Sache	N	NN	Masc|_|Sg	5	pn	_	-
7	Pop	Pop	N	NN	Masc|_|Sg	6	app	_	-
8	unterwegs	unterwegs	ADV	ADV	_	2	pred	_	-
9	.	.	$.	$.	_	0	root	_	-

1	Neuerdings	neuerdings	ADV	ADV	_	2	adv	_	-
2	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
3	sich	sie	PRO	PRF	3|_|_	22	obja	_	-
4	der	die	ART	ART	Def|Masc|Nom|Sg	5	det	_	-
5	Pop-Professor	Pop-Professor	N	NN	Masc|Nom|Sg	2	subj	_	-
6	und	und	KON	KON	_	5	kon	_	-
7	Spex-Nestor	Spex-Nestor	N	NE	Neut|Nom|Sg	6	cj	_	-
8	aus	aus	PREP	APPR	Dat	7	pp	_	-
9	Köln	Köln	N	NE	Neut|Dat|Sg	8	pn	_	-
10	"	"	$(	$(	_	0	root	_	-
11	Das	die	ART	ART	Def|Neut|_|Sg	12	det	_	-
12	Neue	neu	ADJA	ADJA	Neut|_|Sg	7	app	_	-
13	als	als	KOKOM	KOKOM	_	12	kom	_	-
14	Legitimationsfigur	Legitimationsfigur	N	NN	Fem|_|Sg	13	cj	_	-
15	von	von	PREP	APPR	Dat	14	pp	_	-
16	Pop	Pop	N	NN	Masc|Dat|Sg	15	pn	_	-
17	,	,	$,	$,	_	0	root	_	-
18	Produkten	Produkt	N	NN	Neut|Dat|Pl	16	kon	_	-
19	und	und	KON	KON	_	18	kon	_	-
20	Politik	Politik	N	NN	Fem|Dat|Sg	19	cj	_	-
21	"	"	$(	$(	_	0	root	_	-
22	ausgeguckt	ausgucken	V	VVPP	_	2	aux	_	-
23	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|Nom|Sg	2	det	_	(1
2	Popkultur	Popkultur	N	NN	Fem|Nom|Sg	3	subj	_	1)
3	nutzt	nutzen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
4	laut	laut	PREP	APPR	Dat	3	pp	_	-
5	Diederichsen	Diederichsen	N	NE	_|Dat|_	4	pn	_	(0)
6	Neues	Neues	N	NN	Neut|_|Sg	3	obja	_	-
7	in	in	PREP	APPR	Dat	3	pp	_	-
8	einem	eine	ART	ART	Indef|Masc|Dat|Sg	10	det	_	-
9	widersprüchlichen	widersprüchlich	ADJA	ADJA	Pos|Masc|Dat|Sg|Wk|	10	attr	_	-
10	Sinn	Sinn	N	NN	Masc|Dat|Sg	7	pn	_	-
11	,	,	$,	$,	_	0	root	_	-
12	indem	indem	KOUS	KOUS	_	26	konj	_	-
13	sie	sie	PRO	PPER	3|Sg|Fem|Nom	26	subj	_	(1)
14	sich	sie	PRO	PRF	3|_|_	26	obja	_	-
15	sowohl	sowohl	KON	KON	_	18	kon	_	-
16	als	als	KOKOM	KOKOM	_	18	kom	_	-
17	Träger	Träger	N	NN	_|_|_	16	cj	_	-
18	von	von	PREP	APPR	Dat	26	pp	_	-
19	alternativen	alternativ	ADJA	ADJA	Pos|Neut|Dat|Pl|_|	20	attr	_	-
20	Gesellschaftsmodellen	Gesellschaftsmodell	N	NN	Neut|Dat|Pl	18	pn	_	-
21	als	als	KOKOM	KOKOM	_	18	kon	_	-
22	auch	auch	ADV	ADV	Dat	21	cj	_	-
23	von	von	PREP	APPR	Dat	22	kon	_	-
24	neuen	neu	ADJA	ADJA	Pos|Neut|Dat|Pl|_|	25	attr	_	-
25	Produkten	Produkt	N	NN	Neut|Dat|Pl	23	pn	_	-
26	versteht	verstehen	V	VVFIN	3|Sg|Pres|Ind	3	neb	_	-
27	.	.	$.	$.	_	0	root	_	-

